Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Seaking,LV9.5,0,4,15,520
Seaking,LV9.5,0,6,12,520
Seaking,LV9.5,0,7,11,520
Seaking,LV9.5,0,8,10,520
Seaking,LV9.5,0,9,8,520
Seaking,LV9.5,0,10,7,520
Seaking,LV9.5,0,11,6,520
Seaking,LV9.5,0,14,2,520
Seaking,LV9.5,0,15,1,520
Seaking,LV9.5,1,2,15,520
Seaking,LV9.5,1,3,14,520
Seaking,LV9.5,1,5,11,520
Seaking,LV9.5,1,6,10,520
Seaking,LV9.5,1,7,9,520
Seaking,LV9.5,1,8,7,520
Seaking,LV9.5,1,9,6,520
Seaking,LV9.5,1,10,5,520
Seaking,LV9.5,1,11,4,520
Seaking,LV9.5,1,13,1,520
Seaking,LV9.5,1,14,0,520
Seaking,LV9.5,2,1,14,520
Seaking,LV9.5,2,2,13,520
Seaking,LV9.5,2,3,12,520
Seaking,LV9.5,2,4,10,520
Seaking,LV9.5,2,5,9,520
Seaking,LV9.5,2,6,8,520
Seaking,LV9.5,2,8,5,520
Seaking,LV9.5,2,9,4,520
Seaking,LV9.5,2,10,3,520
Seaking,LV9.5,2,12,0,520
Seaking,LV9.5,3,1,12,520
Seaking,LV9.5,3,2,11,520
Seaking,LV9.5,3,4,8,520
Seaking,LV9.5,3,5,7,520
Seaking,LV9.5,3,7,4,520
Seaking,LV9.5,3,8,3,520
Seaking,LV9.5,3,9,2,520
Seaking,LV9.5,4,0,11,520
Seaking,LV9.5,4,1,10,520
Seaking,LV9.5,4,3,7,520
Seaking,LV9.5,4,4,6,520
Seaking,LV9.5,4,6,3,520
Seaking,LV9.5,4,7,2,520
Seaking,LV9.5,4,8,1,520
Seaking,LV9,4,15,15,520
Seaking,LV9.5,5,0,9,520
Seaking,LV9.5,5,1,8,520
Seaking,LV9.5,5,2,6,520
Seaking,LV9.5,5,3,5,520
Seaking,LV9.5,5,4,4,520
Seaking,LV9.5,5,6,1,520
Seaking,LV9.5,5,7,0,520
Seaking,LV9,5,13,15,520
Seaking,LV9,5,14,14,520
Seaking,LV9.5,6,0,7,520
Seaking,LV9.5,6,2,4,520
Seaking,LV9.5,6,3,3,520
Seaking,LV9.5,6,5,0,520
Seaking,LV9,6,11,15,520
Seaking,LV9,6,12,14,520
Seaking,LV9,6,13,13,520
Seaking,LV9,6,15,10,520
Seaking,LV9.5,7,1,3,520
Seaking,LV9.5,7,2,2,520
Seaking,LV9.5,7,3,1,520
Seaking,LV9,7,10,14,520
Seaking,LV9,7,11,13,520
Seaking,LV9,7,12,12,520
Seaking,LV9,7,14,9,520
Seaking,LV9,7,15,8,520
Seaking,LV9.5,8,1,1,520
Seaking,LV9.5,8,2,0,520
Seaking,LV9,8,8,15,520
Seaking,LV9,8,10,12,520
Seaking,LV9,8,11,11,520
Seaking,LV9,8,13,8,520
Seaking,LV9,8,14,7,520
Seaking,LV9,8,15,6,520
Seaking,LV9,9,6,15,520
Seaking,LV9,9,7,14,520
Seaking,LV9,9,9,11,520
Seaking,LV9,9,10,10,520
Seaking,LV9,9,11,9,520
Seaking,LV9,9,13,6,520
Seaking,LV9,9,14,5,520
Seaking,LV9,9,15,4,520
Seaking,LV9,10,5,14,520
Seaking,LV9,10,6,13,520
Seaking,LV9,10,7,12,520
Seaking,LV9,10,8,10,520
Seaking,LV9,10,9,9,520
Seaking,LV9,10,10,8,520
Seaking,LV9,10,12,5,520
Seaking,LV9,10,13,4,520
Seaking,LV9,10,14,3,520
Seaking,LV9,10,15,2,520
Seaking,LV9,11,3,15,520
Seaking,LV9,11,5,12,520
Seaking,LV9,11,6,11,520
Seaking,LV9,11,8,8,520
Seaking,LV9,11,9,7,520
Seaking,LV9,11,10,6,520
Seaking,LV9,11,12,3,520
Seaking,LV9,11,13,2,520
Seaking,LV9,11,14,1,520
Seaking,LV9,11,15,0,520
Seaking,LV9,12,1,15,520
Seaking,LV9,12,2,14,520
Seaking,LV9,12,3,13,520
Seaking,LV9,12,4,11,520
Seaking,LV9,12,5,10,520
Seaking,LV9,12,6,9,520
Seaking,LV9,12,7,7,520
Seaking,LV9,12,8,6,520
Seaking,LV9,12,9,5,520
Seaking,LV9,12,12,1,520
Seaking,LV9,12,13,0,520
Seaking,LV9,13,1,13,520
Seaking,LV9,13,2,12,520
Seaking,LV9,13,4,9,520
Seaking,LV9,13,5,8,520
Seaking,LV9,13,7,5,520
Seaking,LV9,13,8,4,520
Seaking,LV9,13,9,3,520
Seaking,LV9,13,11,0,520
Seaking,LV9,14,1,11,520
Seaking,LV9,14,2,10,520
Seaking,LV9,14,3,8,520
Seaking,LV9,14,4,7,520
Seaking,LV9,14,5,6,520
Seaking,LV9,14,7,3,520
Seaking,LV9,14,8,2,520
Seaking,LV9,14,9,1,520
Seaking,LV9,15,0,10,520
Seaking,LV9,15,1,9,520
Seaking,LV9,15,3,6,520
Seaking,LV9,15,4,5,520
Seaking,LV9,15,5,4,520
Seaking,LV9,15,7,1,520
Seaking,LV9,15,8,0,520
Seaking,LV8.5,15,15,15,520
