Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Sealeo,LV12.5,0,0,13,520
Sealeo,LV12.5,0,1,11,520
Sealeo,LV12.5,0,3,8,520
Sealeo,LV12.5,0,4,6,520
Sealeo,LV12.5,0,5,5,520
Sealeo,LV12.5,0,6,3,520
Sealeo,LV12.5,0,7,2,520
Sealeo,LV12.5,0,8,0,520
Sealeo,LV12,0,10,15,520
Sealeo,LV12,0,11,13,520
Sealeo,LV12,0,13,10,520
Sealeo,LV12,0,15,7,520
Sealeo,LV12.5,1,1,8,520
Sealeo,LV12.5,1,2,6,520
Sealeo,LV12.5,1,3,5,520
Sealeo,LV12.5,1,4,3,520
Sealeo,LV12.5,1,5,2,520
Sealeo,LV12.5,1,6,0,520
Sealeo,LV12,1,9,13,520
Sealeo,LV12,1,10,11,520
Sealeo,LV12,1,11,10,520
Sealeo,LV12,1,12,8,520
Sealeo,LV12,1,13,7,520
Sealeo,LV12,1,14,5,520
Sealeo,LV12,1,15,4,520
Sealeo,LV12.5,2,1,5,520
Sealeo,LV12.5,2,2,3,520
Sealeo,LV12.5,2,3,2,520
Sealeo,LV12.5,2,4,0,520
Sealeo,LV12,2,7,13,520
Sealeo,LV12,2,8,11,520
Sealeo,LV12,2,9,10,520
Sealeo,LV12,2,10,8,520
Sealeo,LV12,2,11,7,520
Sealeo,LV12,2,12,5,520
Sealeo,LV12,2,13,4,520
Sealeo,LV12,2,14,2,520
Sealeo,LV12,2,15,1,520
Sealeo,LV12.5,3,0,3,520
Sealeo,LV12.5,3,1,2,520
Sealeo,LV12.5,3,2,0,520
Sealeo,LV12,3,5,13,520
Sealeo,LV12,3,6,11,520
Sealeo,LV12,3,7,10,520
Sealeo,LV12,3,8,8,520
Sealeo,LV12,3,9,7,520
Sealeo,LV12,3,10,5,520
Sealeo,LV12,3,11,4,520
Sealeo,LV12,3,12,2,520
Sealeo,LV12,3,13,1,520
Sealeo,LV12,4,2,15,520
Sealeo,LV12,4,3,13,520
Sealeo,LV12,4,5,10,520
Sealeo,LV12,4,6,8,520
Sealeo,LV12,4,7,7,520
Sealeo,LV12,4,8,5,520
Sealeo,LV12,4,9,4,520
Sealeo,LV12,4,10,2,520
Sealeo,LV12,4,11,1,520
Sealeo,LV11.5,4,15,13,520
Sealeo,LV12,5,0,15,520
Sealeo,LV12,5,1,13,520
Sealeo,LV12,5,3,10,520
Sealeo,LV12,5,4,8,520
Sealeo,LV12,5,5,7,520
Sealeo,LV12,5,6,5,520
Sealeo,LV12,5,7,4,520
Sealeo,LV12,5,8,2,520
Sealeo,LV12,5,9,1,520
Sealeo,LV11.5,5,13,13,520
Sealeo,LV11.5,5,14,11,520
Sealeo,LV11.5,5,15,10,520
Sealeo,LV12,6,0,12,520
Sealeo,LV12,6,1,10,520
Sealeo,LV12,6,3,7,520
Sealeo,LV12,6,4,5,520
Sealeo,LV12,6,5,4,520
Sealeo,LV12,6,6,2,520
Sealeo,LV12,6,7,1,520
Sealeo,LV11.5,6,11,13,520
Sealeo,LV11.5,6,12,11,520
Sealeo,LV11.5,6,13,10,520
Sealeo,LV11.5,6,14,8,520
Sealeo,LV11.5,6,15,7,520
Sealeo,LV12,7,0,9,520
Sealeo,LV12,7,1,7,520
Sealeo,LV12,7,3,4,520
Sealeo,LV12,7,5,1,520
Sealeo,LV11.5,7,9,13,520
Sealeo,LV11.5,7,10,11,520
Sealeo,LV11.5,7,11,10,520
Sealeo,LV11.5,7,12,8,520
Sealeo,LV11.5,7,13,7,520
Sealeo,LV11.5,7,14,5,520
Sealeo,LV11.5,7,15,4,520
Sealeo,LV12,8,0,6,520
Sealeo,LV12,8,1,4,520
Sealeo,LV12,8,2,3,520
Sealeo,LV12,8,3,1,520
Sealeo,LV11.5,8,6,15,520
Sealeo,LV11.5,8,7,13,520
Sealeo,LV11.5,8,9,10,520
Sealeo,LV11.5,8,10,8,520
Sealeo,LV11.5,8,11,7,520
Sealeo,LV11.5,8,12,5,520
Sealeo,LV11.5,8,13,4,520
Sealeo,LV11.5,8,15,1,520
Sealeo,LV12,9,0,3,520
Sealeo,LV12,9,1,1,520
Sealeo,LV12,9,2,0,520
Sealeo,LV11.5,9,4,15,520
Sealeo,LV11.5,9,5,13,520
Sealeo,LV11.5,9,6,12,520
Sealeo,LV11.5,9,7,10,520
Sealeo,LV11.5,9,9,7,520
Sealeo,LV11.5,9,11,4,520
Sealeo,LV11.5,9,13,1,520
Sealeo,LV11.5,9,14,0,520
Sealeo,LV12,10,0,0,520
Sealeo,LV11.5,10,2,15,520
Sealeo,LV11.5,10,3,13,520
Sealeo,LV11.5,10,4,12,520
Sealeo,LV11.5,10,5,10,520
Sealeo,LV11.5,10,6,9,520
Sealeo,LV11.5,10,7,7,520
Sealeo,LV11.5,10,9,4,520
Sealeo,LV11.5,10,11,1,520
Sealeo,LV11.5,10,12,0,520
Sealeo,LV11,10,15,14,520
Sealeo,LV11.5,11,0,15,520
Sealeo,LV11.5,11,1,14,520
Sealeo,LV11.5,11,2,12,520
Sealeo,LV11.5,11,4,9,520
Sealeo,LV11.5,11,5,7,520
Sealeo,LV11.5,11,6,6,520
Sealeo,LV11.5,11,7,4,520
Sealeo,LV11.5,11,8,3,520
Sealeo,LV11.5,11,9,1,520
Sealeo,LV11.5,11,10,0,520
Sealeo,LV11,11,13,14,520
Sealeo,LV11,11,14,13,520
