Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Seel,LV24,0,0,6,520
Seel,LV23.5,0,0,13,520
Seel,LV23.5,0,1,12,520
Seel,LV24,0,2,3,520
Seel,LV24,0,3,2,520
Seel,LV23.5,0,3,9,520
Seel,LV23,0,4,15,520
Seel,LV23.5,0,5,6,520
Seel,LV23,0,5,14,520
Seel,LV23.5,0,6,5,520
Seel,LV23,0,6,12,520
Seel,LV23,0,7,11,520
Seel,LV23.5,0,8,2,520
Seel,LV23.5,0,9,1,520
Seel,LV23,0,9,8,520
Seel,LV23.5,0,10,0,520
Seel,LV23,0,10,7,520
Seel,LV22.5,0,11,13,520
Seel,LV22.5,0,12,12,520
Seel,LV23,0,13,3,520
Seel,LV23,0,14,2,520
Seel,LV22.5,0,14,9,520
Seel,LV22.5,0,15,8,520
Seel,LV24,1,0,2,520
Seel,LV23.5,1,0,9,520
Seel,LV24,1,1,1,520
Seel,LV23.5,1,1,8,520
Seel,LV23,1,1,15,520
Seel,LV23,1,2,14,520
Seel,LV23.5,1,3,5,520
Seel,LV23,1,4,11,520
Seel,LV23.5,1,5,2,520
Seel,LV23.5,1,6,1,520
Seel,LV23,1,6,8,520
Seel,LV23.5,1,7,0,520
Seel,LV23,1,7,7,520
Seel,LV22.5,1,8,13,520
Seel,LV23,1,9,4,520
Seel,LV22.5,1,9,12,520
Seel,LV23,1,10,3,520
Seel,LV23,1,11,2,520
Seel,LV22.5,1,11,9,520
Seel,LV22.5,1,12,8,520
Seel,LV22.5,1,14,5,520
Seel,LV22,1,14,13,520
Seel,LV22.5,1,15,4,520
Seel,LV22,1,15,12,520
Seel,LV23.5,2,0,5,520
Seel,LV23.5,2,1,4,520
Seel,LV23,2,1,11,520
Seel,LV23,2,2,10,520
Seel,LV23.5,2,3,1,520
Seel,LV23.5,2,4,0,520
Seel,LV23,2,4,7,520
Seel,LV22.5,2,5,13,520
Seel,LV23,2,6,4,520
Seel,LV22.5,2,6,12,520
Seel,LV23,2,7,3,520
Seel,LV23,2,8,2,520
Seel,LV22.5,2,8,9,520
Seel,LV22.5,2,9,8,520
Seel,LV22,2,10,14,520
Seel,LV22.5,2,11,5,520
Seel,LV22,2,11,13,520
Seel,LV22.5,2,12,4,520
Seel,LV22.5,2,13,3,520
Seel,LV22,2,13,10,520
Seel,LV22,2,14,9,520
Seel,LV22.5,2,15,0,520
Seel,LV22,2,15,8,520
Seel,LV23.5,3,1,0,520
Seel,LV23,3,1,7,520
Seel,LV22.5,3,1,15,520
Seel,LV23,3,2,6,520
Seel,LV22.5,3,3,12,520
Seel,LV23,3,4,3,520
Seel,LV23,3,5,2,520
Seel,LV22.5,3,5,9,520
Seel,LV22.5,3,6,8,520
Seel,LV22,3,7,14,520
Seel,LV22.5,3,8,5,520
Seel,LV22,3,8,13,520
Seel,LV22.5,3,9,4,520
Seel,LV22,3,10,10,520
Seel,LV22,3,11,9,520
Seel,LV22.5,3,12,0,520
Seel,LV22,3,14,5,520
Seel,LV21.5,3,14,13,520
Seel,LV22,3,15,4,520
Seel,LV21.5,3,15,12,520
Seel,LV23,4,0,5,520
Seel,LV22.5,4,1,11,520
Seel,LV23,4,2,2,520
Seel,LV23,4,3,1,520
Seel,LV22.5,4,3,8,520
Seel,LV22.5,4,4,7,520
Seel,LV22,4,5,13,520
Seel,LV22.5,4,6,4,520
Seel,LV22,4,6,12,520
Seel,LV22.5,4,7,3,520
Seel,LV22,4,8,9,520
Seel,LV22.5,4,9,0,520
