Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Seviper,LV10,0,1,9,520
Seviper,LV10,0,3,6,520
Seviper,LV10,0,5,3,520
Seviper,LV10,0,7,0,520
Seviper,LV9.5,0,11,14,520
Seviper,LV9.5,0,12,13,520
Seviper,LV9.5,0,13,11,520
Seviper,LV9.5,0,14,10,520
Seviper,LV10,1,0,9,520
Seviper,LV10,1,1,7,520
Seviper,LV10,1,3,4,520
Seviper,LV10,1,5,1,520
Seviper,LV10,1,6,0,520
Seviper,LV9.5,1,9,15,520
Seviper,LV9.5,1,10,14,520
Seviper,LV9.5,1,11,12,520
Seviper,LV9.5,1,12,11,520
Seviper,LV9.5,1,14,8,520
Seviper,LV10,2,0,7,520
Seviper,LV10,2,1,5,520
Seviper,LV10,2,2,4,520
Seviper,LV10,2,3,2,520
Seviper,LV10,2,4,1,520
Seviper,LV9.5,2,8,15,520
Seviper,LV9.5,2,9,13,520
Seviper,LV9.5,2,10,12,520
Seviper,LV9.5,2,12,9,520
Seviper,LV9.5,2,14,6,520
Seviper,LV9.5,2,15,5,520
Seviper,LV10,3,0,5,520
Seviper,LV10,3,2,2,520
Seviper,LV9.5,3,8,13,520
Seviper,LV9.5,3,10,10,520
Seviper,LV9.5,3,12,7,520
Seviper,LV9.5,3,13,6,520
Seviper,LV9.5,3,14,4,520
Seviper,LV9.5,3,15,3,520
Seviper,LV10,4,0,3,520
Seviper,LV10,4,2,0,520
Seviper,LV9.5,4,6,14,520
Seviper,LV9.5,4,8,11,520
Seviper,LV9.5,4,10,8,520
Seviper,LV9.5,4,11,7,520
Seviper,LV9.5,4,12,5,520
Seviper,LV9.5,4,13,4,520
Seviper,LV9.5,4,15,1,520
Seviper,LV10,5,1,0,520
Seviper,LV9.5,5,4,15,520
Seviper,LV9.5,5,5,14,520
Seviper,LV9.5,5,6,12,520
Seviper,LV9.5,5,7,11,520
Seviper,LV9.5,5,8,9,520
Seviper,LV9.5,5,9,8,520
Seviper,LV9.5,5,10,6,520
Seviper,LV9.5,5,11,5,520
Seviper,LV9.5,5,13,2,520
Seviper,LV9.5,5,14,1,520
Seviper,LV9.5,6,3,15,520
Seviper,LV9.5,6,5,12,520
Seviper,LV9.5,6,6,10,520
Seviper,LV9.5,6,7,9,520
Seviper,LV9.5,6,8,7,520
Seviper,LV9.5,6,9,6,520
Seviper,LV9.5,6,11,3,520
Seviper,LV9.5,6,13,0,520
Seviper,LV9.5,7,2,15,520
Seviper,LV9.5,7,3,13,520
Seviper,LV9.5,7,5,10,520
Seviper,LV9.5,7,7,7,520
Seviper,LV9.5,7,9,4,520
Seviper,LV9.5,7,10,3,520
Seviper,LV9.5,7,11,1,520
Seviper,LV9.5,7,12,0,520
Seviper,LV9.5,8,1,14,520
Seviper,LV9.5,8,2,13,520
Seviper,LV9.5,8,3,11,520
Seviper,LV9.5,8,4,10,520
Seviper,LV9.5,8,5,8,520
Seviper,LV9.5,8,7,5,520
Seviper,LV9.5,8,8,4,520
Seviper,LV9.5,8,9,2,520
Seviper,LV9.5,8,10,1,520
Seviper,LV9,8,15,15,520
Seviper,LV9.5,9,0,14,520
Seviper,LV9.5,9,2,11,520
Seviper,LV9.5,9,4,8,520
Seviper,LV9.5,9,5,6,520
Seviper,LV9.5,9,6,5,520
Seviper,LV9.5,9,8,2,520
Seviper,LV9,9,15,13,520
Seviper,LV9.5,10,0,12,520
Seviper,LV9.5,10,1,11,520
Seviper,LV9.5,10,2,9,520
Seviper,LV9.5,10,4,6,520
Seviper,LV9.5,10,6,3,520
Seviper,LV9.5,10,8,0,520
Seviper,LV9,10,13,14,520
Seviper,LV9,10,14,13,520
Seviper,LV9,10,15,11,520
Seviper,LV9.5,11,1,9,520
Seviper,LV9.5,11,2,7,520
Seviper,LV9.5,11,3,6,520
Seviper,LV9.5,11,4,4,520
Seviper,LV9.5,11,5,3,520
Seviper,LV9.5,11,7,0,520
Seviper,LV9,11,11,15,520
Seviper,LV9,11,12,14,520
Seviper,LV9,11,13,12,520
Seviper,LV9,11,14,11,520
Seviper,LV9.5,12,1,7,520
Seviper,LV9.5,12,3,4,520
Seviper,LV9.5,12,5,1,520
Seviper,LV9,12,10,15,520
Seviper,LV9,12,12,12,520
Seviper,LV9,12,14,9,520
Seviper,LV9,12,15,8,520
Seviper,LV9.5,13,0,7,520
Seviper,LV9.5,13,1,5,520
Seviper,LV9.5,13,2,4,520
Seviper,LV9.5,13,3,2,520
Seviper,LV9.5,13,4,1,520
Seviper,LV9,13,10,13,520
Seviper,LV9,13,12,10,520
Seviper,LV9,13,13,9,520
Seviper,LV9,13,14,7,520
Seviper,LV9,13,15,6,520
Seviper,LV9.5,14,0,5,520
Seviper,LV9.5,14,2,2,520
Seviper,LV9,14,8,14,520
Seviper,LV9,14,9,13,520
Seviper,LV9,14,10,11,520
Seviper,LV9,14,11,10,520
Seviper,LV9,14,13,7,520
Seviper,LV9,14,15,4,520
Seviper,LV9.5,15,1,2,520
Seviper,LV9,15,7,14,520
Seviper,LV9,15,9,11,520
Seviper,LV9,15,11,8,520
Seviper,LV9,15,13,5,520
Seviper,LV9,15,14,4,520
