Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Shiinotic,LV11.5,0,5,2,520
Shiinotic,LV11.5,0,6,1,520
Shiinotic,LV11,0,6,15,520
Shiinotic,LV11.5,0,7,0,520
Shiinotic,LV11,0,13,9,520
Shiinotic,LV11,0,14,8,520
Shiinotic,LV11,0,15,7,520
Shiinotic,LV11,1,4,15,520
Shiinotic,LV11.5,1,5,0,520
Shiinotic,LV11,1,5,14,520
Shiinotic,LV11,1,6,13,520
Shiinotic,LV11,1,7,12,520
Shiinotic,LV11,1,8,11,520
Shiinotic,LV11,1,9,10,520
Shiinotic,LV11,1,14,6,520
Shiinotic,LV11,1,15,5,520
Shiinotic,LV11.5,2,0,2,520
Shiinotic,LV11,2,2,15,520
Shiinotic,LV11,2,3,14,520
Shiinotic,LV11,2,4,13,520
Shiinotic,LV11,2,5,12,520
Shiinotic,LV11,2,6,11,520
Shiinotic,LV11,2,7,10,520
Shiinotic,LV11,2,8,9,520
Shiinotic,LV11,2,9,8,520
Shiinotic,LV11,2,10,7,520
Shiinotic,LV11,2,15,3,520
Shiinotic,LV11.5,3,0,0,520
Shiinotic,LV11,3,0,15,520
Shiinotic,LV11,3,1,14,520
Shiinotic,LV11,3,2,13,520
Shiinotic,LV11,3,3,12,520
Shiinotic,LV11,3,4,11,520
Shiinotic,LV11,3,5,10,520
Shiinotic,LV11,3,6,9,520
Shiinotic,LV11,3,7,8,520
Shiinotic,LV11,3,8,7,520
Shiinotic,LV11,3,9,6,520
Shiinotic,LV11,3,10,5,520
Shiinotic,LV11,3,11,4,520
Shiinotic,LV11,3,15,1,520
Shiinotic,LV11,4,5,8,520
Shiinotic,LV11,4,6,7,520
Shiinotic,LV11,4,7,6,520
Shiinotic,LV11,4,8,5,520
Shiinotic,LV11,4,9,4,520
Shiinotic,LV11,4,10,3,520
Shiinotic,LV11,4,11,2,520
Shiinotic,LV10.5,4,14,15,520
Shiinotic,LV10.5,4,15,14,520
Shiinotic,LV11,5,6,5,520
Shiinotic,LV11,5,7,4,520
Shiinotic,LV11,5,8,3,520
Shiinotic,LV11,5,9,2,520
Shiinotic,LV11,5,10,1,520
Shiinotic,LV11,5,11,0,520
Shiinotic,LV10.5,5,15,12,520
Shiinotic,LV11,6,6,3,520
Shiinotic,LV11,6,7,2,520
Shiinotic,LV11,6,8,1,520
Shiinotic,LV11,6,9,0,520
Shiinotic,LV10.5,6,9,15,520
Shiinotic,LV10.5,6,10,14,520
Shiinotic,LV10.5,6,11,13,520
Shiinotic,LV11,7,5,2,520
Shiinotic,LV11,7,6,1,520
Shiinotic,LV11,7,7,0,520
Shiinotic,LV10.5,7,7,15,520
Shiinotic,LV10.5,7,8,14,520
Shiinotic,LV10.5,7,9,13,520
Shiinotic,LV10.5,7,10,12,520
Shiinotic,LV10.5,7,11,11,520
Shiinotic,LV10.5,7,12,10,520
Shiinotic,LV11,8,5,0,520
Shiinotic,LV10.5,8,5,15,520
Shiinotic,LV10.5,8,6,14,520
Shiinotic,LV10.5,8,7,13,520
Shiinotic,LV10.5,8,8,12,520
Shiinotic,LV10.5,8,9,11,520
Shiinotic,LV10.5,8,10,10,520
Shiinotic,LV10.5,8,11,9,520
Shiinotic,LV10.5,8,12,8,520
Shiinotic,LV10.5,9,3,15,520
Shiinotic,LV10.5,9,4,14,520
Shiinotic,LV10.5,9,5,13,520
Shiinotic,LV10.5,9,6,12,520
Shiinotic,LV10.5,9,7,11,520
Shiinotic,LV10.5,9,8,10,520
Shiinotic,LV10.5,9,9,9,520
Shiinotic,LV10.5,9,10,8,520
Shiinotic,LV10.5,9,11,7,520
Shiinotic,LV10.5,9,12,6,520
Shiinotic,LV10.5,10,3,13,520
Shiinotic,LV10.5,10,4,12,520
Shiinotic,LV10.5,10,5,11,520
Shiinotic,LV10.5,10,6,10,520
Shiinotic,LV10.5,10,7,9,520
Shiinotic,LV10.5,10,8,8,520
Shiinotic,LV10.5,10,9,7,520
Shiinotic,LV10.5,10,10,6,520
Shiinotic,LV10.5,10,11,5,520
Shiinotic,LV10.5,10,12,4,520
Shiinotic,LV10.5,11,4,10,520
Shiinotic,LV10.5,11,5,9,520
Shiinotic,LV10.5,11,6,8,520
Shiinotic,LV10.5,11,7,7,520
Shiinotic,LV10.5,11,8,6,520
Shiinotic,LV10.5,11,9,5,520
Shiinotic,LV10.5,11,10,4,520
Shiinotic,LV10.5,11,11,3,520
Shiinotic,LV10.5,11,15,0,520
Shiinotic,LV10.5,12,4,8,520
Shiinotic,LV10.5,12,5,7,520
Shiinotic,LV10.5,12,6,6,520
Shiinotic,LV10.5,12,7,5,520
Shiinotic,LV10.5,12,8,4,520
Shiinotic,LV10.5,12,9,3,520
Shiinotic,LV10.5,12,10,2,520
Shiinotic,LV10.5,13,3,7,520
Shiinotic,LV10.5,13,4,6,520
Shiinotic,LV10.5,13,5,5,520
Shiinotic,LV10.5,13,6,4,520
Shiinotic,LV10.5,13,7,3,520
Shiinotic,LV10.5,13,8,2,520
Shiinotic,LV10.5,13,9,1,520
Shiinotic,LV10,13,11,15,520
Shiinotic,LV10.5,14,2,6,520
Shiinotic,LV10.5,14,3,5,520
Shiinotic,LV10.5,14,4,4,520
Shiinotic,LV10.5,14,5,3,520
Shiinotic,LV10.5,14,6,2,520
Shiinotic,LV10.5,14,7,1,520
Shiinotic,LV10.5,14,8,0,520
Shiinotic,LV10,14,9,15,520
Shiinotic,LV10,14,10,14,520
Shiinotic,LV10,14,11,13,520
Shiinotic,LV10.5,15,0,6,520
Shiinotic,LV10.5,15,1,5,520
Shiinotic,LV10.5,15,2,4,520
Shiinotic,LV10.5,15,3,3,520
Shiinotic,LV10.5,15,4,2,520
Shiinotic,LV10.5,15,5,1,520
Shiinotic,LV10.5,15,6,0,520
Shiinotic,LV10,15,7,15,520
Shiinotic,LV10,15,8,14,520
Shiinotic,LV10,15,9,13,520
Shiinotic,LV10,15,10,12,520
