Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Shinx,LV27,0,0,5,520
Shinx,LV27,0,1,3,520
Shinx,LV26.5,0,1,8,520
Shinx,LV27,0,2,1,520
Shinx,LV26.5,0,2,6,520
Shinx,LV26.5,0,3,4,520
Shinx,LV26,0,3,9,520
Shinx,LV26.5,0,4,2,520
Shinx,LV26,0,4,7,520
Shinx,LV26,0,5,5,520
Shinx,LV25,0,6,14,520
Shinx,LV25,0,7,12,520
Shinx,LV25,0,8,10,520
Shinx,LV25.5,0,9,3,520
Shinx,LV25,0,9,8,520
Shinx,LV24.5,0,9,14,520
Shinx,LV25.5,0,10,1,520
Shinx,LV24.5,0,10,12,520
Shinx,LV24.5,0,11,10,520
Shinx,LV25,0,12,3,520
Shinx,LV24.5,0,12,8,520
Shinx,LV24,0,12,14,520
Shinx,LV25,0,13,1,520
Shinx,LV24,0,13,12,520
Shinx,LV24.5,0,15,3,520
Shinx,LV27,1,0,3,520
Shinx,LV26.5,1,0,8,520
Shinx,LV26,1,0,13,520
Shinx,LV27,1,1,1,520
Shinx,LV26.5,1,1,6,520
Shinx,LV26,1,1,11,520
Shinx,LV26.5,1,2,4,520
Shinx,LV26,1,2,9,520
Shinx,LV26.5,1,3,2,520
Shinx,LV26,1,3,7,520
Shinx,LV25.5,1,3,12,520
Shinx,LV26.5,1,4,0,520
Shinx,LV26,1,4,5,520
Shinx,LV25.5,1,4,10,520
Shinx,LV26,1,5,3,520
Shinx,LV25.5,1,5,8,520
Shinx,LV26,1,6,1,520
Shinx,LV25.5,1,6,6,520
Shinx,LV25,1,8,8,520
Shinx,LV25,1,9,6,520
Shinx,LV25,1,10,4,520
Shinx,LV24.5,1,12,6,520
Shinx,LV24.5,1,13,4,520
Shinx,LV24,1,13,10,520
Shinx,LV24,1,14,8,520
Shinx,LV23.5,1,14,14,520
Shinx,LV24.5,1,15,1,520
Shinx,LV23.5,1,15,12,520
Shinx,LV27,2,0,1,520
Shinx,LV26,2,0,11,520
Shinx,LV25.5,2,1,14,520
Shinx,LV25.5,2,2,12,520
Shinx,LV25.5,2,3,10,520
Shinx,LV25.5,2,4,8,520
Shinx,LV26,2,5,1,520
Shinx,LV25.5,2,5,6,520
Shinx,LV25.5,2,6,4,520
Shinx,LV24.5,2,6,15,520
Shinx,LV25.5,2,7,2,520
Shinx,LV24.5,2,7,13,520
Shinx,LV24.5,2,8,11,520
Shinx,LV24.5,2,9,9,520
Shinx,LV24,2,9,15,520
Shinx,LV25,2,10,2,520
Shinx,LV24.5,2,10,7,520
Shinx,LV24,2,10,13,520
Shinx,LV25,2,11,0,520
Shinx,LV24,2,11,11,520
Shinx,LV24,2,12,9,520
Shinx,LV23.5,2,12,15,520
Shinx,LV24.5,2,13,2,520
Shinx,LV24,2,15,4,520
Shinx,LV25.5,3,0,14,520
Shinx,LV25.5,3,1,12,520
Shinx,LV25,3,2,15,520
Shinx,LV25,3,3,13,520
Shinx,LV25,3,4,11,520
Shinx,LV25,3,5,9,520
Shinx,LV25.5,3,6,2,520
Shinx,LV25,3,6,7,520
Shinx,LV25.5,3,7,0,520
Shinx,LV25,3,7,5,520
Shinx,LV24.5,3,9,7,520
Shinx,LV24.5,3,10,5,520
Shinx,LV24.5,3,11,3,520
Shinx,LV24,3,11,9,520
Shinx,LV24,3,12,7,520
Shinx,LV23.5,3,12,13,520
Shinx,LV24.5,3,13,0,520
Shinx,LV24,3,13,5,520
Shinx,LV23.5,3,13,11,520
Shinx,LV23.5,3,14,9,520
Shinx,LV23,3,14,15,520
Shinx,LV24,3,15,2,520
Shinx,LV26,4,1,4,520
Shinx,LV25,4,1,15,520
Shinx,LV26,4,2,2,520
Shinx,LV25,4,2,13,520
Shinx,LV25,4,3,11,520
Shinx,LV25,4,6,5,520
Shinx,LV25,4,7,3,520
Shinx,LV24,4,7,14,520
Shinx,LV25,4,8,1,520
Shinx,LV24,4,8,12,520
Shinx,LV24,4,9,10,520
Shinx,LV24.5,4,10,3,520
Shinx,LV23.5,4,10,14,520
Shinx,LV24.5,4,11,1,520
Shinx,LV24,4,13,3,520
Shinx,LV23.5,4,14,7,520
Shinx,LV23,4,14,13,520
Shinx,LV23.5,4,15,5,520
Shinx,LV23,4,15,11,520
Shinx,LV26,5,0,4,520
Shinx,LV25,5,0,15,520
Shinx,LV26,5,1,2,520
Shinx,LV25.5,5,1,7,520
Shinx,LV26,5,2,0,520
Shinx,LV25.5,5,2,5,520
Shinx,LV25.5,5,3,3,520
Shinx,LV24.5,5,3,14,520
Shinx,LV24.5,5,4,12,520
Shinx,LV24.5,5,5,10,520
Shinx,LV24.5,5,6,8,520
Shinx,LV24,5,6,14,520
Shinx,LV25,5,7,1,520
Shinx,LV24.5,5,7,6,520
Shinx,LV24,5,7,12,520
Shinx,LV24.5,5,8,4,520
Shinx,LV24,5,8,10,520
Shinx,LV24,5,9,8,520
Shinx,LV23.5,5,9,14,520
Shinx,LV24,5,10,6,520
Shinx,LV23.5,5,10,12,520
Shinx,LV23.5,5,11,10,520
Shinx,LV23.5,5,12,8,520
Shinx,LV23,5,12,14,520
Shinx,LV24,5,13,1,520
Shinx,LV23.5,5,15,3,520
Shinx,LV23,5,15,9,520
Shinx,LV22.5,5,15,15,520
Shinx,LV26,6,0,2,520
Shinx,LV25.5,6,0,7,520
Shinx,LV26,6,1,0,520
Shinx,LV25.5,6,1,5,520
Shinx,LV25.5,6,2,3,520
Shinx,LV24.5,6,2,14,520
Shinx,LV25.5,6,3,1,520
Shinx,LV24.5,6,3,12,520
Shinx,LV24.5,6,4,10,520
Shinx,LV24.5,6,5,8,520
Shinx,LV24.5,6,6,6,520
Shinx,LV24.5,6,7,4,520
