Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Simipour,LV9,0,0,7,520
Simipour,LV9,0,1,6,520
Simipour,LV9,0,3,3,520
Simipour,LV9,0,4,2,520
Simipour,LV8.5,0,12,14,520
Simipour,LV8.5,0,13,13,520
Simipour,LV8.5,0,15,10,520
Simipour,LV9,1,1,4,520
Simipour,LV9,1,2,3,520
Simipour,LV9,1,4,0,520
Simipour,LV8.5,1,10,15,520
Simipour,LV8.5,1,12,12,520
Simipour,LV8.5,1,13,11,520
Simipour,LV8.5,1,15,8,520
Simipour,LV9,2,0,4,520
Simipour,LV9,2,1,2,520
Simipour,LV9,2,2,1,520
Simipour,LV8.5,2,10,13,520
Simipour,LV8.5,2,11,12,520
Simipour,LV8.5,2,12,10,520
Simipour,LV8.5,2,13,9,520
Simipour,LV8.5,2,14,8,520
Simipour,LV9,3,0,2,520
Simipour,LV8.5,3,7,15,520
Simipour,LV8.5,3,8,14,520
Simipour,LV8.5,3,10,11,520
Simipour,LV8.5,3,11,10,520
Simipour,LV8.5,3,13,7,520
Simipour,LV8.5,3,14,6,520
Simipour,LV8.5,3,15,5,520
Simipour,LV9,4,0,0,520
Simipour,LV8.5,4,6,15,520
Simipour,LV8.5,4,8,12,520
Simipour,LV8.5,4,9,11,520
Simipour,LV8.5,4,10,9,520
Simipour,LV8.5,4,11,8,520
Simipour,LV8.5,4,12,7,520
Simipour,LV8.5,4,14,4,520
Simipour,LV8.5,4,15,3,520
Simipour,LV8.5,5,6,13,520
Simipour,LV8.5,5,8,10,520
Simipour,LV8.5,5,9,9,520
Simipour,LV8.5,5,11,6,520
Simipour,LV8.5,5,12,5,520
Simipour,LV8.5,5,13,4,520
Simipour,LV8.5,5,15,1,520
Simipour,LV8.5,6,4,14,520
Simipour,LV8.5,6,6,11,520
Simipour,LV8.5,6,7,10,520
Simipour,LV8.5,6,9,7,520
Simipour,LV8.5,6,10,6,520
Simipour,LV8.5,6,12,3,520
Simipour,LV8.5,6,13,2,520
Simipour,LV8.5,6,14,1,520
Simipour,LV8.5,7,2,15,520
Simipour,LV8.5,7,4,12,520
Simipour,LV8.5,7,5,11,520
Simipour,LV8.5,7,6,9,520
Simipour,LV8.5,7,7,8,520
Simipour,LV8.5,7,8,7,520
Simipour,LV8.5,7,9,5,520
Simipour,LV8.5,7,10,4,520
Simipour,LV8.5,7,11,3,520
Simipour,LV8.5,7,13,0,520
Simipour,LV8.5,8,2,13,520
Simipour,LV8.5,8,3,12,520
Simipour,LV8.5,8,4,10,520
Simipour,LV8.5,8,5,9,520
Simipour,LV8.5,8,7,6,520
Simipour,LV8.5,8,8,5,520
Simipour,LV8.5,8,10,2,520
Simipour,LV8.5,8,11,1,520
Simipour,LV8.5,8,12,0,520
Simipour,LV8.5,9,0,14,520
Simipour,LV8.5,9,1,13,520
Simipour,LV8.5,9,2,11,520
Simipour,LV8.5,9,3,10,520
Simipour,LV8.5,9,5,7,520
Simipour,LV8.5,9,6,6,520
Simipour,LV8.5,9,8,3,520
Simipour,LV8.5,9,9,2,520
Simipour,LV8.5,10,1,11,520
Simipour,LV8.5,10,3,8,520
Simipour,LV8.5,10,4,7,520
Simipour,LV8.5,10,6,4,520
Simipour,LV8.5,10,7,3,520
Simipour,LV8.5,10,9,0,520
Simipour,LV8.5,11,0,11,520
Simipour,LV8.5,11,1,9,520
Simipour,LV8.5,11,2,8,520
Simipour,LV8.5,11,4,5,520
Simipour,LV8.5,11,5,4,520
Simipour,LV8.5,11,7,1,520
Simipour,LV8.5,11,8,0,520
Simipour,LV8,11,15,15,520
Simipour,LV8.5,12,0,9,520
Simipour,LV8.5,12,2,6,520
Simipour,LV8.5,12,3,5,520
Simipour,LV8.5,12,5,2,520
Simipour,LV8.5,12,6,1,520
Simipour,LV8,12,15,13,520
Simipour,LV8.5,13,0,7,520
Simipour,LV8.5,13,1,6,520
Simipour,LV8.5,13,3,3,520
Simipour,LV8.5,13,4,2,520
Simipour,LV8,13,13,14,520
Simipour,LV8,13,14,13,520
Simipour,LV8.5,14,1,4,520
Simipour,LV8.5,14,2,3,520
Simipour,LV8.5,14,4,0,520
Simipour,LV8,14,11,15,520
Simipour,LV8,14,12,14,520
Simipour,LV8,14,14,11,520
Simipour,LV8,14,15,10,520
Simipour,LV8.5,15,0,4,520
Simipour,LV8.5,15,2,1,520
Simipour,LV8.5,15,3,0,520
Simipour,LV8,15,10,15,520
Simipour,LV8,15,11,13,520
Simipour,LV8,15,12,12,520
Simipour,LV8,15,13,11,520
Simipour,LV8,15,14,9,520
Simipour,LV8,15,15,8,520
