Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Sinistcha,LV7,0,6,9,520
Sinistcha,LV7,0,7,8,520
Sinistcha,LV7,0,8,7,520
Sinistcha,LV7,0,9,6,520
Sinistcha,LV7,0,10,5,520
Sinistcha,LV7,0,11,4,520
Sinistcha,LV7,0,12,3,520
Sinistcha,LV7,0,15,1,520
Sinistcha,LV7,1,0,13,520
Sinistcha,LV7,1,1,12,520
Sinistcha,LV7,1,2,11,520
Sinistcha,LV7,1,3,10,520
Sinistcha,LV7,1,4,9,520
Sinistcha,LV7,1,5,8,520
Sinistcha,LV7,1,6,7,520
Sinistcha,LV7,1,7,6,520
Sinistcha,LV7,1,8,5,520
Sinistcha,LV7,1,9,4,520
Sinistcha,LV7,1,12,2,520
Sinistcha,LV7,1,13,1,520
Sinistcha,LV7,1,14,0,520
Sinistcha,LV7,2,0,11,520
Sinistcha,LV7,2,1,10,520
Sinistcha,LV7,2,2,9,520
Sinistcha,LV7,2,3,8,520
Sinistcha,LV7,2,4,7,520
Sinistcha,LV7,2,9,3,520
Sinistcha,LV7,2,10,2,520
Sinistcha,LV7,2,11,1,520
Sinistcha,LV7,2,12,0,520
Sinistcha,LV7,3,4,6,520
Sinistcha,LV7,3,5,5,520
Sinistcha,LV7,3,6,4,520
Sinistcha,LV7,3,7,3,520
Sinistcha,LV7,3,8,2,520
Sinistcha,LV7,3,9,1,520
Sinistcha,LV7,4,0,8,520
Sinistcha,LV7,4,1,7,520
Sinistcha,LV7,4,2,6,520
Sinistcha,LV7,4,3,5,520
Sinistcha,LV7,4,4,4,520
Sinistcha,LV7,4,5,3,520
Sinistcha,LV7,4,6,2,520
Sinistcha,LV7,4,9,0,520
Sinistcha,LV7,5,0,6,520
Sinistcha,LV7,5,5,2,520
Sinistcha,LV7,5,6,1,520
Sinistcha,LV7,5,7,0,520
Sinistcha,LV7,6,0,5,520
Sinistcha,LV7,6,1,4,520
Sinistcha,LV7,6,2,3,520
Sinistcha,LV7,6,3,2,520
Sinistcha,LV7,6,4,1,520
Sinistcha,LV7,6,5,0,520
Sinistcha,LV7,7,0,3,520
Sinistcha,LV7,7,1,2,520
Sinistcha,LV7,8,0,2,520
Sinistcha,LV7,8,1,1,520
Sinistcha,LV7,8,2,0,520
Sinistcha,LV7,9,0,0,520
Sinistcha,LV6.5,10,14,15,520
Sinistcha,LV6.5,10,15,14,520
Sinistcha,LV6.5,11,12,15,520
Sinistcha,LV6.5,11,13,14,520
Sinistcha,LV6.5,12,12,14,520
Sinistcha,LV6.5,12,13,13,520
Sinistcha,LV6.5,12,14,12,520
Sinistcha,LV6.5,12,15,11,520
Sinistcha,LV6.5,13,9,15,520
Sinistcha,LV6.5,13,10,14,520
Sinistcha,LV6.5,13,11,13,520
Sinistcha,LV6.5,13,12,12,520
Sinistcha,LV6.5,13,13,11,520
Sinistcha,LV6.5,13,14,10,520
Sinistcha,LV6.5,14,7,15,520
Sinistcha,LV6.5,14,8,14,520
Sinistcha,LV6.5,14,9,13,520
Sinistcha,LV6.5,14,14,9,520
Sinistcha,LV6.5,14,15,8,520
Sinistcha,LV6.5,15,8,13,520
Sinistcha,LV6.5,15,9,12,520
Sinistcha,LV6.5,15,10,11,520
Sinistcha,LV6.5,15,11,10,520
Sinistcha,LV6.5,15,12,9,520
Sinistcha,LV6.5,15,13,8,520
Sinistcha,LV6.5,15,14,7,520
Sinistcha,LV6.5,15,15,6,520
