Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Sizzlipede,LV21.5,0,0,10,520
Sizzlipede,LV21.5,0,1,8,520
Sizzlipede,LV21,0,1,15,520
Sizzlipede,LV22,0,2,0,520
Sizzlipede,LV21.5,0,3,5,520
Sizzlipede,LV21,0,3,12,520
Sizzlipede,LV21.5,0,5,2,520
Sizzlipede,LV21,0,5,9,520
Sizzlipede,LV21,0,7,6,520
Sizzlipede,LV20.5,0,7,13,520
Sizzlipede,LV21,0,9,3,520
Sizzlipede,LV20.5,0,9,10,520
Sizzlipede,LV21,0,11,0,520
Sizzlipede,LV20.5,0,11,7,520
Sizzlipede,LV20,0,11,14,520
Sizzlipede,LV20,0,12,13,520
Sizzlipede,LV20.5,0,13,4,520
Sizzlipede,LV20.5,0,14,3,520
Sizzlipede,LV20,0,14,10,520
Sizzlipede,LV22,1,0,1,520
Sizzlipede,LV21.5,1,1,6,520
Sizzlipede,LV21,1,2,11,520
Sizzlipede,LV21.5,1,3,3,520
Sizzlipede,LV21,1,4,8,520
Sizzlipede,LV20.5,1,4,15,520
Sizzlipede,LV21.5,1,5,0,520
Sizzlipede,LV21,1,6,5,520
Sizzlipede,LV20.5,1,6,12,520
Sizzlipede,LV21,1,8,2,520
Sizzlipede,LV20.5,1,8,9,520
Sizzlipede,LV20,1,9,15,520
Sizzlipede,LV20.5,1,10,6,520
Sizzlipede,LV20,1,10,13,520
Sizzlipede,LV20,1,11,12,520
Sizzlipede,LV20.5,1,12,3,520
Sizzlipede,LV20,1,12,10,520
Sizzlipede,LV20.5,1,13,2,520
Sizzlipede,LV20,1,13,9,520
Sizzlipede,LV19.5,1,14,15,520
Sizzlipede,LV20,1,15,6,520
Sizzlipede,LV21.5,2,0,5,520
Sizzlipede,LV21,2,0,12,520
Sizzlipede,LV21,2,1,10,520
Sizzlipede,LV21.5,2,2,2,520
Sizzlipede,LV21,2,3,7,520
Sizzlipede,LV20.5,2,3,14,520
Sizzlipede,LV21,2,5,4,520
Sizzlipede,LV20.5,2,5,11,520
Sizzlipede,LV21,2,7,1,520
Sizzlipede,LV20.5,2,7,8,520
Sizzlipede,LV20,2,7,15,520
Sizzlipede,LV20,2,8,14,520
Sizzlipede,LV20.5,2,9,5,520
Sizzlipede,LV20,2,9,12,520
Sizzlipede,LV20.5,2,11,2,520
Sizzlipede,LV20,2,11,9,520
Sizzlipede,LV20.5,2,12,1,520
Sizzlipede,LV20,2,12,8,520
Sizzlipede,LV19.5,2,13,14,520
Sizzlipede,LV20,2,14,5,520
Sizzlipede,LV19.5,2,15,11,520
Sizzlipede,LV21.5,3,1,1,520
Sizzlipede,LV21,3,1,8,520
Sizzlipede,LV20.5,3,1,15,520
Sizzlipede,LV21,3,2,6,520
Sizzlipede,LV21,3,4,3,520
Sizzlipede,LV20.5,3,4,10,520
Sizzlipede,LV21,3,6,0,520
Sizzlipede,LV20.5,3,6,7,520
Sizzlipede,LV20,3,7,13,520
Sizzlipede,LV20.5,3,8,4,520
Sizzlipede,LV20,3,8,11,520
Sizzlipede,LV20,3,9,10,520
Sizzlipede,LV20.5,3,11,0,520
Sizzlipede,LV20,3,11,7,520
Sizzlipede,LV19.5,3,12,13,520
Sizzlipede,LV20,3,13,4,520
Sizzlipede,LV19.5,3,14,10,520
Sizzlipede,LV21,4,0,7,520
Sizzlipede,LV20.5,4,0,14,520
Sizzlipede,LV21,4,2,4,520
Sizzlipede,LV20.5,4,2,11,520
Sizzlipede,LV20.5,4,3,9,520
Sizzlipede,LV21,4,4,1,520
Sizzlipede,LV20,4,4,15,520
Sizzlipede,LV20.5,4,5,6,520
Sizzlipede,LV20,4,6,12,520
Sizzlipede,LV20.5,4,7,3,520
Sizzlipede,LV20.5,4,8,2,520
Sizzlipede,LV20,4,8,9,520
Sizzlipede,LV19.5,4,9,15,520
Sizzlipede,LV20,4,10,6,520
Sizzlipede,LV19.5,4,11,12,520
Sizzlipede,LV20,4,12,3,520
Sizzlipede,LV20,4,13,2,520
Sizzlipede,LV19.5,4,13,9,520
Sizzlipede,LV19,4,14,15,520
Sizzlipede,LV19.5,4,15,6,520
Sizzlipede,LV19,4,15,14,520
Sizzlipede,LV21,5,1,3,520
Sizzlipede,LV20.5,5,1,10,520
Sizzlipede,LV21,5,3,0,520
Sizzlipede,LV20.5,5,3,7,520
Sizzlipede,LV20,5,3,14,520
Sizzlipede,LV20.5,5,5,4,520
Sizzlipede,LV20,5,5,11,520
Sizzlipede,LV20.5,5,7,1,520
Sizzlipede,LV20,5,7,8,520
Sizzlipede,LV19.5,5,8,14,520
Sizzlipede,LV20,5,9,5,520
Sizzlipede,LV19.5,5,10,11,520
Sizzlipede,LV20,5,11,2,520
Sizzlipede,LV20,5,12,1,520
Sizzlipede,LV19.5,5,12,8,520
Sizzlipede,LV19,5,13,14,520
Sizzlipede,LV19.5,5,14,5,520
Sizzlipede,LV19,5,14,13,520
Sizzlipede,LV19.5,5,15,4,520
Sizzlipede,LV21,6,1,1,520
Sizzlipede,LV20,6,1,15,520
Sizzlipede,LV20.5,6,2,6,520
Sizzlipede,LV20,6,3,12,520
Sizzlipede,LV20.5,6,4,3,520
Sizzlipede,LV20,6,4,10,520
Sizzlipede,LV20.5,6,6,0,520
Sizzlipede,LV20,6,6,7,520
Sizzlipede,LV19.5,6,7,13,520
Sizzlipede,LV20,6,8,4,520
Sizzlipede,LV20,6,9,3,520
Sizzlipede,LV19.5,6,9,10,520
Sizzlipede,LV20,6,11,0,520
Sizzlipede,LV19.5,6,11,7,520
Sizzlipede,LV19,6,11,15,520
Sizzlipede,LV19,6,12,13,520
Sizzlipede,LV19,6,13,12,520
Sizzlipede,LV19.5,6,14,3,520
Sizzlipede,LV19,6,15,9,520
Sizzlipede,LV21,7,0,0,520
Sizzlipede,LV20.5,7,0,7,520
Sizzlipede,LV20,7,0,14,520
Sizzlipede,LV20.5,7,2,4,520
Sizzlipede,LV20,7,2,11,520
Sizzlipede,LV20.5,7,4,1,520
Sizzlipede,LV20,7,4,8,520
Sizzlipede,LV19.5,7,5,14,520
Sizzlipede,LV20,7,6,5,520
Sizzlipede,LV19.5,7,6,12,520
Sizzlipede,LV20,7,8,2,520
Sizzlipede,LV19.5,7,8,9,520
Sizzlipede,LV19.5,7,10,6,520
Sizzlipede,LV19,7,10,14,520
Sizzlipede,LV19.5,7,11,5,520
Sizzlipede,LV19,7,12,11,520
Sizzlipede,LV19.5,7,13,2,520
Sizzlipede,LV19,7,14,8,520
Sizzlipede,LV20,8,0,12,520
Sizzlipede,LV20.5,8,1,3,520
Sizzlipede,LV20,8,1,10,520
Sizzlipede,LV20.5,8,3,0,520
Sizzlipede,LV20,8,3,7,520
Sizzlipede,LV19.5,8,4,13,520
Sizzlipede,LV20,8,5,4,520
Sizzlipede,LV19.5,8,6,10,520
Sizzlipede,LV20,8,7,1,520
Sizzlipede,LV19.5,8,8,7,520
Sizzlipede,LV19,8,9,13,520
Sizzlipede,LV19.5,8,10,4,520
Sizzlipede,LV19,8,11,10,520
Sizzlipede,LV19.5,8,12,1,520
Sizzlipede,LV19.5,8,13,0,520
Sizzlipede,LV19,8,13,7,520
Sizzlipede,LV18.5,8,13,15,520
Sizzlipede,LV19,8,14,6,520
Sizzlipede,LV18.5,8,15,12,520
Sizzlipede,LV20.5,9,1,1,520
Sizzlipede,LV20,9,1,8,520
Sizzlipede,LV19.5,9,2,14,520
Sizzlipede,LV20,9,3,5,520
Sizzlipede,LV19.5,9,3,12,520
Sizzlipede,LV20,9,5,2,520
Sizzlipede,LV19.5,9,5,9,520
Sizzlipede,LV19,9,6,15,520
Sizzlipede,LV19.5,9,7,6,520
Sizzlipede,LV19,9,8,12,520
Sizzlipede,LV19.5,9,9,3,520
Sizzlipede,LV19,9,10,9,520
Sizzlipede,LV19,9,12,6,520
Sizzlipede,LV18.5,9,12,14,520
Sizzlipede,LV19,9,13,5,520
Sizzlipede,LV18.5,9,14,11,520
Sizzlipede,LV19,9,15,2,520
Sizzlipede,LV18.5,9,15,10,520
