Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Skiddo,LV18,0,0,5,520
Skiddo,LV17.5,0,0,15,520
Skiddo,LV17.5,0,1,13,520
Skiddo,LV18,0,2,2,520
Skiddo,LV18,0,3,0,520
Skiddo,LV17.5,0,3,10,520
Skiddo,LV17.5,0,4,8,520
Skiddo,LV17.5,0,6,5,520
Skiddo,LV17,0,6,15,520
Skiddo,LV17.5,0,8,2,520
Skiddo,LV17,0,8,12,520
Skiddo,LV17,0,9,10,520
Skiddo,LV17,0,10,9,520
Skiddo,LV17,0,11,7,520
Skiddo,LV17,0,12,6,520
Skiddo,LV17,0,13,4,520
Skiddo,LV17,0,14,3,520
Skiddo,LV16.5,0,14,13,520
Skiddo,LV17,0,15,1,520
Skiddo,LV17.5,1,0,12,520
Skiddo,LV18,1,1,1,520
Skiddo,LV17.5,1,2,9,520
Skiddo,LV17.5,1,3,7,520
Skiddo,LV17.5,1,5,4,520
Skiddo,LV17,1,5,14,520
Skiddo,LV17.5,1,6,2,520
Skiddo,LV17,1,6,12,520
Skiddo,LV17.5,1,7,1,520
Skiddo,LV17,1,8,9,520
Skiddo,LV17,1,10,6,520
Skiddo,LV16.5,1,11,15,520
Skiddo,LV17,1,12,3,520
Skiddo,LV16.5,1,12,13,520
Skiddo,LV16.5,1,13,12,520
Skiddo,LV17,1,14,0,520
Skiddo,LV16.5,1,14,10,520
Skiddo,LV16.5,1,15,9,520
Skiddo,LV18,2,0,0,520
Skiddo,LV17.5,2,0,9,520
Skiddo,LV17.5,2,2,6,520
Skiddo,LV17.5,2,3,4,520
Skiddo,LV17.5,2,4,3,520
Skiddo,LV17,2,4,13,520
Skiddo,LV17.5,2,5,1,520
Skiddo,LV17,2,5,11,520
Skiddo,LV17,2,7,8,520
Skiddo,LV17,2,8,6,520
Skiddo,LV17,2,9,5,520
Skiddo,LV16.5,2,9,15,520
Skiddo,LV17,2,10,3,520
Skiddo,LV17,2,11,2,520
Skiddo,LV16.5,2,11,12,520
Skiddo,LV17,2,12,0,520
Skiddo,LV16.5,2,13,9,520
Skiddo,LV16.5,2,15,6,520
Skiddo,LV17.5,3,1,5,520
Skiddo,LV17,3,1,15,520
Skiddo,LV17.5,3,2,3,520
Skiddo,LV17,3,2,13,520
Skiddo,LV17.5,3,4,0,520
Skiddo,LV17,3,4,10,520
Skiddo,LV17,3,5,8,520
Skiddo,LV17,3,6,7,520
Skiddo,LV17,3,7,5,520
Skiddo,LV16.5,3,8,14,520
Skiddo,LV17,3,9,2,520
Skiddo,LV16.5,3,9,12,520
Skiddo,LV16.5,3,10,11,520
Skiddo,LV16.5,3,11,9,520
Skiddo,LV16.5,3,13,6,520
