Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Skorupi,LV23,0,0,3,520
Skorupi,LV22.5,0,1,8,520
Skorupi,LV22.5,0,2,7,520
Skorupi,LV22,0,2,13,520
Skorupi,LV22.5,0,3,6,520
Skorupi,LV22,0,3,12,520
Skorupi,LV23,0,4,0,520
Skorupi,LV22,0,4,11,520
Skorupi,LV22.5,0,7,3,520
Skorupi,LV22.5,0,8,2,520
Skorupi,LV22,0,8,8,520
Skorupi,LV21.5,0,8,14,520
Skorupi,LV22,0,9,7,520
Skorupi,LV21.5,0,9,13,520
Skorupi,LV22,0,10,6,520
Skorupi,LV21.5,0,10,12,520
Skorupi,LV22.5,0,11,0,520
Skorupi,LV22,0,13,4,520
Skorupi,LV21.5,0,13,10,520
Skorupi,LV22,0,14,3,520
Skorupi,LV21.5,0,14,9,520
Skorupi,LV21,0,14,15,520
Skorupi,LV21.5,0,15,8,520
Skorupi,LV22.5,1,0,6,520
Skorupi,LV22.5,1,1,5,520
Skorupi,LV22,1,1,11,520
Skorupi,LV22,1,2,10,520
Skorupi,LV22,1,3,9,520
Skorupi,LV22.5,1,5,2,520
Skorupi,LV22.5,1,6,1,520
Skorupi,LV22,1,7,6,520
Skorupi,LV21.5,1,7,12,520
Skorupi,LV22,1,8,5,520
Skorupi,LV21.5,1,8,11,520
Skorupi,LV21.5,1,9,10,520
Skorupi,LV22,1,11,3,520
Skorupi,LV21,1,11,15,520
Skorupi,LV22,1,12,2,520
Skorupi,LV21.5,1,12,8,520
Skorupi,LV21,1,12,14,520
Skorupi,LV21.5,1,13,7,520
Skorupi,LV21,1,13,13,520
Skorupi,LV22,1,15,0,520
Skorupi,LV22,2,0,9,520
Skorupi,LV21.5,2,0,15,520
Skorupi,LV22,2,1,8,520
Skorupi,LV21.5,2,1,14,520
Skorupi,LV22.5,2,3,1,520
Skorupi,LV22.5,2,4,0,520
Skorupi,LV22,2,5,5,520
Skorupi,LV22,2,6,4,520
Skorupi,LV21.5,2,6,10,520
Skorupi,LV21.5,2,7,9,520
Skorupi,LV22,2,10,1,520
Skorupi,LV21,2,10,13,520
