Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Slowking Galarian Form,LV7.5,0,8,15,520
Slowking Galarian Form,LV7.5,0,9,14,520
Slowking Galarian Form,LV7.5,0,10,13,520
Slowking Galarian Form,LV7.5,0,11,12,520
Slowking Galarian Form,LV7.5,0,13,9,520
Slowking Galarian Form,LV7.5,0,14,8,520
Slowking Galarian Form,LV7.5,0,15,7,520
Slowking Galarian Form,LV7.5,1,6,15,520
Slowking Galarian Form,LV7.5,1,7,14,520
Slowking Galarian Form,LV7.5,1,8,13,520
Slowking Galarian Form,LV7.5,1,9,12,520
Slowking Galarian Form,LV7.5,1,11,9,520
Slowking Galarian Form,LV7.5,1,12,8,520
Slowking Galarian Form,LV7.5,1,13,7,520
Slowking Galarian Form,LV7.5,1,14,6,520
Slowking Galarian Form,LV7.5,1,15,5,520
Slowking Galarian Form,LV7.5,2,4,15,520
Slowking Galarian Form,LV7.5,2,5,14,520
Slowking Galarian Form,LV7.5,2,6,13,520
Slowking Galarian Form,LV7.5,2,7,12,520
Slowking Galarian Form,LV7.5,2,9,9,520
Slowking Galarian Form,LV7.5,2,10,8,520
Slowking Galarian Form,LV7.5,2,11,7,520
Slowking Galarian Form,LV7.5,2,12,6,520
Slowking Galarian Form,LV7.5,2,13,5,520
Slowking Galarian Form,LV7.5,2,15,2,520
Slowking Galarian Form,LV7.5,3,3,14,520
Slowking Galarian Form,LV7.5,3,4,13,520
Slowking Galarian Form,LV7.5,3,5,12,520
Slowking Galarian Form,LV7.5,3,7,9,520
Slowking Galarian Form,LV7.5,3,8,8,520
Slowking Galarian Form,LV7.5,3,9,7,520
Slowking Galarian Form,LV7.5,3,10,6,520
Slowking Galarian Form,LV7.5,3,11,5,520
Slowking Galarian Form,LV7.5,3,13,2,520
Slowking Galarian Form,LV7.5,3,14,1,520
Slowking Galarian Form,LV7.5,3,15,0,520
Slowking Galarian Form,LV7.5,4,1,14,520
Slowking Galarian Form,LV7.5,4,2,13,520
Slowking Galarian Form,LV7.5,4,3,12,520
Slowking Galarian Form,LV7.5,4,4,11,520
Slowking Galarian Form,LV7.5,4,6,8,520
Slowking Galarian Form,LV7.5,4,7,7,520
Slowking Galarian Form,LV7.5,4,8,6,520
Slowking Galarian Form,LV7.5,4,9,5,520
Slowking Galarian Form,LV7.5,4,11,2,520
Slowking Galarian Form,LV7.5,4,12,1,520
Slowking Galarian Form,LV7.5,4,13,0,520
Slowking Galarian Form,LV7.5,5,0,13,520
Slowking Galarian Form,LV7.5,5,1,12,520
Slowking Galarian Form,LV7.5,5,2,11,520
Slowking Galarian Form,LV7.5,5,3,10,520
Slowking Galarian Form,LV7.5,5,4,8,520
Slowking Galarian Form,LV7.5,5,5,7,520
Slowking Galarian Form,LV7.5,5,6,6,520
Slowking Galarian Form,LV7.5,5,7,5,520
Slowking Galarian Form,LV7.5,5,9,2,520
Slowking Galarian Form,LV7.5,5,10,1,520
Slowking Galarian Form,LV7.5,5,11,0,520
Slowking Galarian Form,LV7.5,6,0,11,520
Slowking Galarian Form,LV7.5,6,1,10,520
Slowking Galarian Form,LV7.5,6,3,7,520
Slowking Galarian Form,LV7.5,6,4,6,520
Slowking Galarian Form,LV7.5,6,5,5,520
Slowking Galarian Form,LV7.5,6,6,4,520
Slowking Galarian Form,LV7.5,6,8,1,520
Slowking Galarian Form,LV7.5,6,9,0,520
Slowking Galarian Form,LV7.5,7,0,9,520
Slowking Galarian Form,LV7.5,7,2,6,520
Slowking Galarian Form,LV7.5,7,3,5,520
Slowking Galarian Form,LV7.5,7,4,4,520
Slowking Galarian Form,LV7.5,7,5,3,520
Slowking Galarian Form,LV7.5,7,7,0,520
Slowking Galarian Form,LV7.5,8,1,5,520
Slowking Galarian Form,LV7.5,8,2,4,520
Slowking Galarian Form,LV7.5,8,3,3,520
Slowking Galarian Form,LV7.5,8,4,2,520
Slowking Galarian Form,LV7.5,9,0,4,520
Slowking Galarian Form,LV7.5,9,1,3,520
Slowking Galarian Form,LV7.5,9,2,2,520
Slowking Galarian Form,LV7.5,9,3,1,520
Slowking Galarian Form,LV7.5,10,0,2,520
Slowking Galarian Form,LV7.5,10,1,1,520
Slowking Galarian Form,LV7.5,10,2,0,520
Slowking Galarian Form,LV7.5,11,0,0,520
Slowking Galarian Form,LV7,11,15,15,520
Slowking Galarian Form,LV7,12,13,15,520
Slowking Galarian Form,LV7,12,14,14,520
Slowking Galarian Form,LV7,12,15,13,520
Slowking Galarian Form,LV7,13,12,14,520
Slowking Galarian Form,LV7,13,13,13,520
Slowking Galarian Form,LV7,13,14,12,520
Slowking Galarian Form,LV7,13,15,11,520
Slowking Galarian Form,LV7,14,10,14,520
Slowking Galarian Form,LV7,14,11,13,520
Slowking Galarian Form,LV7,14,12,12,520
Slowking Galarian Form,LV7,14,13,11,520
Slowking Galarian Form,LV7,14,14,10,520
Slowking Galarian Form,LV7,15,8,15,520
Slowking Galarian Form,LV7,15,9,13,520
Slowking Galarian Form,LV7,15,10,12,520
Slowking Galarian Form,LV7,15,11,11,520
Slowking Galarian Form,LV7,15,12,10,520
Slowking Galarian Form,LV7,15,13,9,520
Slowking Galarian Form,LV7,15,15,6,520
