Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Slowking,LV8,0,9,15,520
Slowking,LV8,0,10,14,520
Slowking,LV8,0,11,12,520
Slowking,LV8,0,12,11,520
Slowking,LV8,0,13,10,520
Slowking,LV8,0,14,9,520
Slowking,LV8,0,15,8,520
Slowking,LV8,1,7,15,520
Slowking,LV8,1,8,13,520
Slowking,LV8,1,9,12,520
Slowking,LV8,1,10,11,520
Slowking,LV8,1,11,10,520
Slowking,LV8,1,12,9,520
Slowking,LV8,1,14,6,520
Slowking,LV8,1,15,5,520
Slowking,LV8,2,6,13,520
Slowking,LV8,2,7,12,520
Slowking,LV8,2,8,11,520
Slowking,LV8,2,9,10,520
Slowking,LV8,2,11,7,520
Slowking,LV8,2,12,6,520
Slowking,LV8,2,13,5,520
Slowking,LV8,2,14,4,520
Slowking,LV8,2,15,3,520
Slowking,LV8,3,4,13,520
Slowking,LV8,3,5,12,520
Slowking,LV8,3,6,11,520
Slowking,LV8,3,8,8,520
Slowking,LV8,3,9,7,520
Slowking,LV8,3,10,6,520
Slowking,LV8,3,11,5,520
Slowking,LV8,3,12,4,520
Slowking,LV8,3,14,1,520
Slowking,LV8,3,15,0,520
Slowking,LV8,4,2,13,520
Slowking,LV8,4,3,12,520
Slowking,LV8,4,4,11,520
Slowking,LV8,4,6,8,520
Slowking,LV8,4,7,7,520
Slowking,LV8,4,8,6,520
Slowking,LV8,4,9,5,520
Slowking,LV8,4,11,2,520
Slowking,LV8,4,12,1,520
Slowking,LV8,4,13,0,520
Slowking,LV8,5,0,13,520
Slowking,LV8,5,1,12,520
Slowking,LV8,5,2,11,520
Slowking,LV8,5,4,8,520
Slowking,LV8,5,5,7,520
Slowking,LV8,5,6,6,520
Slowking,LV8,5,7,5,520
Slowking,LV8,5,9,2,520
Slowking,LV8,5,10,1,520
Slowking,LV8,5,11,0,520
Slowking,LV8,6,0,11,520
Slowking,LV8,6,2,8,520
Slowking,LV8,6,3,7,520
Slowking,LV8,6,4,6,520
Slowking,LV8,6,6,3,520
Slowking,LV8,6,7,2,520
Slowking,LV8,6,8,1,520
Slowking,LV8,6,9,0,520
Slowking,LV8,7,0,8,520
Slowking,LV8,7,1,7,520
Slowking,LV8,7,2,6,520
Slowking,LV8,7,4,3,520
Slowking,LV8,7,5,2,520
Slowking,LV8,7,6,1,520
Slowking,LV8,7,7,0,520
Slowking,LV8,8,0,6,520
Slowking,LV8,8,1,5,520
Slowking,LV8,8,2,3,520
Slowking,LV8,8,3,2,520
Slowking,LV8,8,4,1,520
Slowking,LV8,8,5,0,520
Slowking,LV8,9,1,2,520
Slowking,LV8,9,2,1,520
Slowking,LV8,9,3,0,520
Slowking,LV8,10,0,1,520
Slowking,LV8,10,1,0,520
Slowking,LV7.5,10,14,15,520
Slowking,LV7.5,10,15,14,520
Slowking,LV7.5,11,12,15,520
Slowking,LV7.5,11,13,14,520
Slowking,LV7.5,11,14,13,520
Slowking,LV7.5,11,15,12,520
Slowking,LV7.5,12,10,15,520
Slowking,LV7.5,12,11,14,520
Slowking,LV7.5,12,12,13,520
Slowking,LV7.5,12,13,12,520
Slowking,LV7.5,12,15,9,520
Slowking,LV7.5,13,8,15,520
Slowking,LV7.5,13,9,14,520
Slowking,LV7.5,13,10,13,520
Slowking,LV7.5,13,11,12,520
Slowking,LV7.5,13,13,9,520
Slowking,LV7.5,13,14,8,520
Slowking,LV7.5,13,15,7,520
Slowking,LV7.5,14,6,15,520
Slowking,LV7.5,14,7,14,520
Slowking,LV7.5,14,8,13,520
Slowking,LV7.5,14,9,12,520
Slowking,LV7.5,14,11,9,520
Slowking,LV7.5,14,12,8,520
Slowking,LV7.5,14,13,7,520
Slowking,LV7.5,14,14,6,520
Slowking,LV7.5,14,15,5,520
Slowking,LV7.5,15,4,15,520
Slowking,LV7.5,15,5,14,520
Slowking,LV7.5,15,6,13,520
Slowking,LV7.5,15,7,12,520
Slowking,LV7.5,15,9,9,520
Slowking,LV7.5,15,10,8,520
Slowking,LV7.5,15,11,7,520
Slowking,LV7.5,15,12,6,520
Slowking,LV7.5,15,13,5,520
Slowking,LV7.5,15,15,2,520
