Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Slugma,LV26.5,0,1,1,520
Slugma,LV26,0,2,4,520
Slugma,LV25,0,2,14,520
Slugma,LV26,0,3,2,520
Slugma,LV25.5,0,3,7,520
Slugma,LV25,0,3,12,520
Slugma,LV24.5,0,5,14,520
Slugma,LV25.5,0,6,2,520
Slugma,LV25,0,6,7,520
Slugma,LV24.5,0,6,12,520
Slugma,LV24.5,0,8,9,520
Slugma,LV25,0,9,2,520
Slugma,LV24.5,0,9,7,520
Slugma,LV24,0,10,11,520
Slugma,LV24.5,0,11,4,520
Slugma,LV23.5,0,11,15,520
Slugma,LV24,0,12,8,520
Slugma,LV24.5,0,13,1,520
Slugma,LV24,0,14,5,520
Slugma,LV23.5,0,14,10,520
Slugma,LV26,1,0,5,520
Slugma,LV25.5,1,0,10,520
Slugma,LV26,1,3,0,520
Slugma,LV25.5,1,3,5,520
Slugma,LV25,1,3,10,520
Slugma,LV24.5,1,3,15,520
Slugma,LV25.5,1,4,3,520
Slugma,LV25,1,4,8,520
Slugma,LV25.5,1,6,0,520
Slugma,LV25,1,6,5,520
Slugma,LV24.5,1,6,10,520
Slugma,LV25,1,7,3,520
Slugma,LV24,1,8,12,520
Slugma,LV25,1,9,0,520
Slugma,LV24.5,1,9,5,520
Slugma,LV24,1,10,9,520
Slugma,LV24.5,1,11,2,520
Slugma,LV24,1,11,7,520
Slugma,LV23.5,1,12,11,520
Slugma,LV24,1,13,4,520
Slugma,LV23,1,13,15,520
Slugma,LV23.5,1,14,8,520
Slugma,LV23,1,15,12,520
Slugma,LV26,2,0,3,520
Slugma,LV25.5,2,0,8,520
Slugma,LV25,2,0,13,520
Slugma,LV25.5,2,1,6,520
Slugma,LV24.5,2,2,15,520
Slugma,LV25.5,2,3,3,520
Slugma,LV24.5,2,3,13,520
Slugma,LV25.5,2,4,1,520
Slugma,LV25,2,4,6,520
Slugma,LV24.5,2,4,11,520
Slugma,LV24,2,5,15,520
Slugma,LV24.5,2,6,8,520
Slugma,LV24,2,6,13,520
Slugma,LV25,2,7,1,520
Slugma,LV24.5,2,7,6,520
Slugma,LV24,2,8,10,520
Slugma,LV24.5,2,9,3,520
Slugma,LV24,2,9,8,520
Slugma,LV23.5,2,10,12,520
Slugma,LV24.5,2,11,0,520
Slugma,LV24,2,11,5,520
Slugma,LV23.5,2,12,9,520
Slugma,LV24,2,13,2,520
Slugma,LV23,2,13,13,520
Slugma,LV23.5,2,14,6,520
Slugma,LV23,2,15,10,520
Slugma,LV26,3,0,1,520
Slugma,LV25.5,3,0,6,520
Slugma,LV25,3,0,11,520
Slugma,LV25.5,3,1,4,520
Slugma,LV25,3,1,9,520
Slugma,LV24.5,3,3,11,520
Slugma,LV25,3,4,4,520
Slugma,LV24.5,3,4,9,520
Slugma,LV24,3,6,11,520
Slugma,LV24.5,3,7,4,520
Slugma,LV23.5,3,7,15,520
