Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Smoliv,LV28,0,0,1,520
Smoliv,LV27,0,0,10,520
Smoliv,LV26.5,0,0,15,520
Smoliv,LV27.5,0,1,4,520
Smoliv,LV27,0,2,7,520
Smoliv,LV26.5,0,2,12,520
Smoliv,LV27,0,3,6,520
Smoliv,LV27.5,0,4,0,520
Smoliv,LV27,0,5,3,520
Smoliv,LV26.5,0,5,8,520
Smoliv,LV26,0,5,13,520
Smoliv,LV27,0,6,2,520
Smoliv,LV26.5,0,7,5,520
Smoliv,LV26,0,7,10,520
Smoliv,LV26.5,0,8,4,520
Smoliv,LV25.5,0,8,14,520
Smoliv,LV26,0,10,6,520
Smoliv,LV25.5,0,10,11,520
Smoliv,LV26.5,0,11,0,520
Smoliv,LV26,0,11,5,520
Smoliv,LV25.5,0,11,10,520
Smoliv,LV25,0,11,15,520
Smoliv,LV25,0,12,14,520
Smoliv,LV26,0,14,1,520
Smoliv,LV25.5,0,14,6,520
Smoliv,LV25,0,14,11,520
Smoliv,LV26,0,15,0,520
Smoliv,LV25.5,0,15,5,520
Smoliv,LV25,0,15,10,520
Smoliv,LV27.5,1,0,3,520
Smoliv,LV27,1,1,6,520
Smoliv,LV26.5,1,1,11,520
Smoliv,LV27.5,1,2,0,520
Smoliv,LV26.5,1,3,8,520
Smoliv,LV26,1,3,13,520
Smoliv,LV27,1,4,2,520
Smoliv,LV26,1,5,10,520
Smoliv,LV26.5,1,6,4,520
Smoliv,LV26,1,6,9,520
Smoliv,LV25.5,1,6,14,520
Smoliv,LV26,1,8,6,520
Smoliv,LV25.5,1,8,11,520
Smoliv,LV26.5,1,9,0,520
Smoliv,LV26,1,9,5,520
Smoliv,LV25.5,1,9,10,520
Smoliv,LV25,1,9,15,520
Smoliv,LV25,1,10,14,520
Smoliv,LV26,1,12,1,520
Smoliv,LV25.5,1,12,6,520
Smoliv,LV25,1,12,11,520
Smoliv,LV26,1,13,0,520
Smoliv,LV25,1,13,10,520
Smoliv,LV24.5,1,13,15,520
Smoliv,LV24.5,1,14,14,520
Smoliv,LV27,2,0,5,520
Smoliv,LV26.5,2,0,10,520
Smoliv,LV26,2,0,15,520
Smoliv,LV26.5,2,2,7,520
Smoliv,LV26,2,2,12,520
Smoliv,LV27,2,3,1,520
Smoliv,LV26.5,2,4,4,520
Smoliv,LV26,2,4,9,520
Smoliv,LV25.5,2,4,14,520
Smoliv,LV26.5,2,5,3,520
Smoliv,LV25.5,2,5,13,520
Smoliv,LV26,2,7,5,520
Smoliv,LV25.5,2,7,10,520
Smoliv,LV25,2,8,14,520
Smoliv,LV26,2,10,1,520
Smoliv,LV25.5,2,10,6,520
Smoliv,LV25,2,10,11,520
Smoliv,LV26,2,11,0,520
Smoliv,LV25,2,11,10,520
Smoliv,LV24.5,2,11,15,520
Smoliv,LV24.5,2,12,14,520
Smoliv,LV25.5,2,14,1,520
Smoliv,LV25,2,14,6,520
Smoliv,LV25.5,2,15,0,520
Smoliv,LV25,2,15,5,520
Smoliv,LV24.5,2,15,10,520
Smoliv,LV27,3,1,1,520
Smoliv,LV26.5,3,1,6,520
Smoliv,LV26,3,1,11,520
Smoliv,LV27,3,2,0,520
Smoliv,LV26.5,3,3,3,520
Smoliv,LV26,3,3,8,520
Smoliv,LV25.5,3,3,13,520
Smoliv,LV26.5,3,4,2,520
Smoliv,LV26,3,5,5,520
Smoliv,LV25.5,3,5,10,520
Smoliv,LV26,3,6,4,520
Smoliv,LV25.5,3,6,9,520
Smoliv,LV25,3,6,14,520
Smoliv,LV25.5,3,8,6,520
Smoliv,LV26,3,9,0,520
Smoliv,LV25.5,3,9,5,520
Smoliv,LV25,3,9,10,520
Smoliv,LV24.5,3,10,14,520
Smoliv,LV25.5,3,12,1,520
Smoliv,LV25,3,12,6,520
Smoliv,LV25.5,3,13,0,520
Smoliv,LV25,3,13,5,520
Smoliv,LV24.5,3,13,10,520
Smoliv,LV24,3,14,14,520
Smoliv,LV24,3,15,13,520
