Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Sneasler,LV6.5,0,0,12,520
Sneasler,LV6.5,0,2,9,520
Sneasler,LV6.5,0,3,8,520
Sneasler,LV6.5,0,4,7,520
Sneasler,LV6.5,0,5,6,520
Sneasler,LV6.5,0,7,3,520
Sneasler,LV6.5,0,8,2,520
Sneasler,LV6.5,0,9,1,520
Sneasler,LV6.5,0,10,0,520
Sneasler,LV6.5,1,0,10,520
Sneasler,LV6.5,1,1,9,520
Sneasler,LV6.5,1,2,8,520
Sneasler,LV6.5,1,5,4,520
Sneasler,LV6.5,1,6,3,520
Sneasler,LV6.5,1,7,2,520
Sneasler,LV6.5,1,8,1,520
Sneasler,LV6.5,2,0,9,520
Sneasler,LV6.5,2,2,6,520
Sneasler,LV6.5,2,3,5,520
Sneasler,LV6.5,2,4,4,520
Sneasler,LV6.5,2,5,3,520
Sneasler,LV6.5,3,0,7,520
Sneasler,LV6.5,3,1,6,520
Sneasler,LV6.5,3,2,5,520
Sneasler,LV6.5,3,5,1,520
Sneasler,LV6.5,3,6,0,520
Sneasler,LV6.5,4,0,6,520
Sneasler,LV6.5,4,2,3,520
Sneasler,LV6.5,4,3,2,520
Sneasler,LV6.5,4,4,1,520
Sneasler,LV6.5,4,5,0,520
Sneasler,LV6.5,5,0,4,520
Sneasler,LV6.5,5,1,3,520
Sneasler,LV6.5,5,2,2,520
Sneasler,LV6.5,5,3,1,520
Sneasler,LV6.5,6,0,3,520
Sneasler,LV6.5,7,1,0,520
Sneasler,LV6.5,8,0,0,520
Sneasler,LV6,9,15,15,520
Sneasler,LV6,10,14,15,520
Sneasler,LV6,10,15,14,520
Sneasler,LV6,11,14,13,520
Sneasler,LV6,11,15,12,520
Sneasler,LV6,12,11,15,520
Sneasler,LV6,12,12,14,520
Sneasler,LV6,12,13,13,520
Sneasler,LV6,12,14,12,520
Sneasler,LV6,12,15,11,520
Sneasler,LV6,13,10,15,520
Sneasler,LV6,13,11,14,520
Sneasler,LV6,13,12,13,520
Sneasler,LV6,13,14,10,520
Sneasler,LV6,13,15,9,520
Sneasler,LV6,14,9,15,520
Sneasler,LV6,14,11,12,520
Sneasler,LV6,14,12,11,520
Sneasler,LV6,14,13,10,520
Sneasler,LV6,14,14,9,520
Sneasler,LV6,14,15,8,520
Sneasler,LV6,15,9,13,520
Sneasler,LV6,15,10,12,520
Sneasler,LV6,15,11,11,520
Sneasler,LV6,15,12,10,520
Sneasler,LV6,15,15,6,520
