Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Snom,LV49.5,4,15,14,520
Snom,LV50,5,13,13,520
Snom,LV49.5,5,14,13,520
Snom,LV49,5,14,14,520
Snom,LV50,5,15,10,520
Snom,LV48.5,5,15,14,520
Snom,LV50,6,10,15,520
Snom,LV49.5,6,11,15,520
Snom,LV50,6,12,12,520
Snom,LV49.5,6,12,13,520
Snom,LV49,6,13,13,520
Snom,LV49.5,6,14,10,520
Snom,LV48,6,14,14,520
Snom,LV50,6,15,7,520
Snom,LV49,6,15,10,520
Snom,LV48.5,6,15,11,520
Snom,LV47.5,6,15,14,520
Snom,LV50,7,9,14,520
Snom,LV49,7,10,15,520
Snom,LV49.5,7,11,12,520
Snom,LV48.5,7,11,15,520
Snom,LV50,7,12,9,520
Snom,LV48.5,7,12,13,520
Snom,LV49.5,7,13,9,520
Snom,LV49,7,13,10,520
Snom,LV48,7,13,13,520
Snom,LV50,7,14,6,520
Snom,LV48.5,7,14,10,520
Snom,LV47,7,14,14,520
Snom,LV49.5,7,15,6,520
Snom,LV49,7,15,7,520
Snom,LV48,7,15,10,520
Snom,LV47.5,7,15,11,520
Snom,LV46.5,7,15,14,520
Snom,LV50,8,8,13,520
Snom,LV49,8,9,14,520
Snom,LV49.5,8,10,11,520
Snom,LV48,8,10,15,520
Snom,LV50,8,11,8,520
Snom,LV48.5,8,11,12,520
Snom,LV47.5,8,11,15,520
Snom,LV49,8,12,9,520
Snom,LV48,8,12,12,520
Snom,LV47.5,8,12,13,520
Snom,LV50,8,13,5,520
Snom,LV48.5,8,13,9,520
Snom,LV48,8,13,10,520
Snom,LV47,8,13,13,520
Snom,LV49,8,14,6,520
Snom,LV47.5,8,14,10,520
Snom,LV46,8,14,14,520
Snom,LV50,8,15,2,520
Snom,LV48.5,8,15,6,520
Snom,LV48,8,15,7,520
Snom,LV47,8,15,10,520
Snom,LV46.5,8,15,11,520
Snom,LV45.5,8,15,14,520
Snom,LV49.5,9,6,15,520
Snom,LV50,9,7,12,520
Snom,LV49,9,8,13,520
Snom,LV49.5,9,9,10,520
Snom,LV48,9,9,14,520
Snom,LV50,9,10,7,520
Snom,LV48.5,9,10,11,520
Snom,LV47,9,10,15,520
Snom,LV49,9,11,8,520
Snom,LV47.5,9,11,12,520
Snom,LV46.5,9,11,15,520
Snom,LV50,9,12,4,520
Snom,LV49.5,9,12,5,520
Snom,LV48.5,9,12,8,520
Snom,LV48,9,12,9,520
Snom,LV47,9,12,12,520
Snom,LV49,9,13,5,520
Snom,LV47.5,9,13,9,520
Snom,LV46,9,13,13,520
Snom,LV50,9,14,1,520
Snom,LV48,9,14,6,520
Snom,LV46.5,9,14,10,520
Snom,LV45.5,9,14,13,520
Snom,LV49.5,9,15,1,520
Snom,LV49,9,15,2,520
Snom,LV47.5,9,15,6,520
Snom,LV46,9,15,10,520
Snom,LV44.5,9,15,14,520
Snom,LV50,10,5,13,520
Snom,LV49.5,10,5,14,520
Snom,LV50,10,6,11,520
Snom,LV48.5,10,6,15,520
Snom,LV49,10,7,12,520
Snom,LV48,10,7,15,520
Snom,LV49.5,10,8,9,520
Snom,LV48,10,8,13,520
Snom,LV50,10,9,6,520
Snom,LV48.5,10,9,10,520
Snom,LV47,10,9,14,520
Snom,LV49,10,10,7,520
Snom,LV47.5,10,10,11,520
Snom,LV46.5,10,10,14,520
