Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Solgaleo,LV5,3,15,14,520
Solgaleo,LV5,4,13,15,520
Solgaleo,LV5,4,14,14,520
Solgaleo,LV5,4,15,12,520
Solgaleo,LV5,5,12,14,520
Solgaleo,LV5,5,13,13,520
Solgaleo,LV5,5,14,11,520
Solgaleo,LV5,5,15,10,520
Solgaleo,LV5,6,10,15,520
Solgaleo,LV5,6,11,13,520
Solgaleo,LV5,6,12,12,520
Solgaleo,LV5,6,13,11,520
Solgaleo,LV5,6,14,9,520
Solgaleo,LV5,6,15,8,520
Solgaleo,LV5,7,8,15,520
Solgaleo,LV5,7,9,14,520
Solgaleo,LV5,7,10,13,520
Solgaleo,LV5,7,11,11,520
Solgaleo,LV5,7,12,10,520
Solgaleo,LV5,7,13,9,520
Solgaleo,LV5,7,14,7,520
Solgaleo,LV5,7,15,6,520
Solgaleo,LV5,8,7,15,520
Solgaleo,LV5,8,8,13,520
Solgaleo,LV5,8,9,12,520
Solgaleo,LV5,8,10,11,520
Solgaleo,LV5,8,11,9,520
Solgaleo,LV5,8,12,8,520
Solgaleo,LV5,8,13,7,520
Solgaleo,LV5,8,14,5,520
Solgaleo,LV5,8,15,4,520
Solgaleo,LV5,9,5,15,520
Solgaleo,LV5,9,6,14,520
Solgaleo,LV5,9,7,13,520
Solgaleo,LV5,9,8,11,520
Solgaleo,LV5,9,9,10,520
Solgaleo,LV5,9,10,8,520
Solgaleo,LV5,9,10,9,520
Solgaleo,LV5,9,11,7,520
Solgaleo,LV5,9,12,6,520
Solgaleo,LV5,9,13,4,520
Solgaleo,LV5,9,14,3,520
Solgaleo,LV5,9,15,2,520
Solgaleo,LV5,10,4,15,520
Solgaleo,LV5,10,5,13,520
Solgaleo,LV5,10,6,12,520
Solgaleo,LV5,10,7,11,520
Solgaleo,LV5,10,8,9,520
Solgaleo,LV5,10,9,8,520
Solgaleo,LV5,10,10,6,520
Solgaleo,LV5,10,11,5,520
Solgaleo,LV5,10,12,4,520
Solgaleo,LV5,10,13,2,520
Solgaleo,LV5,10,14,1,520
Solgaleo,LV5,10,15,0,520
Solgaleo,LV5,11,2,15,520
Solgaleo,LV5,11,3,14,520
Solgaleo,LV5,11,4,13,520
Solgaleo,LV5,11,5,11,520
Solgaleo,LV5,11,6,10,520
Solgaleo,LV5,11,7,8,520
Solgaleo,LV5,11,8,7,520
Solgaleo,LV5,11,9,6,520
Solgaleo,LV5,11,10,4,520
Solgaleo,LV5,11,11,3,520
Solgaleo,LV5,11,12,2,520
Solgaleo,LV5,11,13,0,520
Solgaleo,LV5,12,1,15,520
Solgaleo,LV5,12,2,13,520
Solgaleo,LV5,12,3,12,520
Solgaleo,LV5,12,4,11,520
Solgaleo,LV5,12,5,9,520
Solgaleo,LV5,12,6,8,520
Solgaleo,LV5,12,7,6,520
Solgaleo,LV5,12,8,5,520
Solgaleo,LV5,12,9,4,520
Solgaleo,LV5,12,10,2,520
Solgaleo,LV5,12,11,1,520
Solgaleo,LV5,12,12,0,520
Solgaleo,LV5,13,0,14,520
Solgaleo,LV5,13,1,13,520
Solgaleo,LV5,13,2,11,520
Solgaleo,LV5,13,3,10,520
Solgaleo,LV5,13,4,9,520
Solgaleo,LV5,13,5,7,520
Solgaleo,LV5,13,6,6,520
Solgaleo,LV5,13,7,4,520
Solgaleo,LV5,13,8,3,520
Solgaleo,LV5,13,9,2,520
Solgaleo,LV5,13,10,0,520
Solgaleo,LV5,14,0,12,520
Solgaleo,LV5,14,1,11,520
Solgaleo,LV5,14,2,9,520
Solgaleo,LV5,14,3,8,520
Solgaleo,LV5,14,4,7,520
Solgaleo,LV5,14,5,5,520
Solgaleo,LV5,14,6,4,520
Solgaleo,LV5,14,7,2,520
Solgaleo,LV5,14,8,1,520
Solgaleo,LV5,14,9,0,520
Solgaleo,LV5,15,0,10,520
Solgaleo,LV5,15,1,9,520
Solgaleo,LV5,15,2,7,520
Solgaleo,LV5,15,3,6,520
Solgaleo,LV5,15,4,5,520
Solgaleo,LV5,15,5,3,520
Solgaleo,LV5,15,6,2,520
Solgaleo,LV5,15,7,0,520
