Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Solosis,LV16,0,1,9,520
Solosis,LV16,0,4,4,520
Solosis,LV15.5,0,4,13,520
Solosis,LV15.5,0,5,11,520
Solosis,LV16,0,6,1,520
Solosis,LV16,0,7,0,520
Solosis,LV15.5,0,7,8,520
Solosis,LV15.5,0,9,5,520
Solosis,LV15,0,9,14,520
Solosis,LV15,0,11,11,520
Solosis,LV15.5,0,12,1,520
Solosis,LV15,0,14,7,520
Solosis,LV14.5,0,15,15,520
Solosis,LV16,1,0,9,520
Solosis,LV16,1,3,4,520
Solosis,LV15.5,1,3,13,520
Solosis,LV15.5,1,4,11,520
Solosis,LV16,1,5,1,520
Solosis,LV15.5,1,6,8,520
Solosis,LV15.5,1,8,5,520
Solosis,LV15,1,8,14,520
Solosis,LV15.5,1,10,2,520
Solosis,LV15,1,10,11,520
Solosis,LV15.5,1,11,1,520
Solosis,LV15,1,12,8,520
Solosis,LV15,1,15,4,520
Solosis,LV14.5,1,15,13,520
Solosis,LV16,2,2,4,520
Solosis,LV15.5,2,2,13,520
Solosis,LV15.5,2,3,11,520
Solosis,LV16,2,4,1,520
Solosis,LV15.5,2,5,8,520
Solosis,LV15.5,2,7,5,520
Solosis,LV15,2,7,14,520
Solosis,LV15.5,2,9,2,520
Solosis,LV15,2,9,11,520
Solosis,LV15,2,11,8,520
Solosis,LV15,2,13,5,520
Solosis,LV14.5,2,14,13,520
Solosis,LV16,3,0,6,520
Solosis,LV16,3,1,4,520
Solosis,LV15.5,3,1,13,520
Solosis,LV15.5,3,2,11,520
Solosis,LV16,3,3,1,520
Solosis,LV15.5,3,4,8,520
Solosis,LV15.5,3,6,5,520
Solosis,LV15,3,6,14,520
Solosis,LV15.5,3,8,2,520
Solosis,LV15,3,8,11,520
Solosis,LV15,3,10,8,520
Solosis,LV15,3,12,5,520
Solosis,LV14.5,3,13,13,520
Solosis,LV15,3,14,2,520
Solosis,LV15,3,15,1,520
Solosis,LV14.5,3,15,10,520
Solosis,LV16,4,0,4,520
Solosis,LV15.5,4,0,13,520
Solosis,LV15.5,4,1,11,520
Solosis,LV16,4,2,1,520
Solosis,LV15.5,4,3,8,520
Solosis,LV15.5,4,5,5,520
Solosis,LV15,4,5,14,520
Solosis,LV15.5,4,7,2,520
Solosis,LV15,4,7,11,520
Solosis,LV15,4,8,9,520
Solosis,LV15,4,11,5,520
Solosis,LV14.5,4,11,14,520
Solosis,LV15,4,13,2,520
Solosis,LV14.5,4,13,11,520
Solosis,LV14.5,4,14,10,520
Solosis,LV16,5,1,1,520
Solosis,LV15.5,5,2,8,520
Solosis,LV15.5,5,4,5,520
Solosis,LV15,5,4,14,520
Solosis,LV15.5,5,6,2,520
Solosis,LV15,5,7,9,520
Solosis,LV15,5,9,6,520
Solosis,LV14.5,5,10,14,520
Solosis,LV15,5,12,2,520
Solosis,LV14.5,5,12,11,520
Solosis,LV14.5,5,14,8,520
Solosis,LV14.5,5,15,7,520
Solosis,LV16,6,0,1,520
Solosis,LV15.5,6,1,8,520
Solosis,LV15.5,6,3,5,520
Solosis,LV15,6,3,14,520
Solosis,LV15.5,6,5,2,520
Solosis,LV15,6,6,9,520
Solosis,LV15,6,8,6,520
Solosis,LV14.5,6,9,14,520
Solosis,LV15,6,10,3,520
Solosis,LV15,6,11,2,520
Solosis,LV14.5,6,11,11,520
Solosis,LV14.5,6,13,8,520
Solosis,LV14,6,15,15,520
Solosis,LV16,7,0,0,520
Solosis,LV15.5,7,0,8,520
Solosis,LV15.5,7,2,5,520
Solosis,LV15,7,2,14,520
Solosis,LV15.5,7,4,2,520
Solosis,LV15,7,5,9,520
Solosis,LV15,7,7,6,520
Solosis,LV14.5,7,8,14,520
Solosis,LV15,7,9,3,520
Solosis,LV15,7,10,2,520
Solosis,LV14.5,7,10,11,520
Solosis,LV14.5,7,12,8,520
Solosis,LV14.5,7,14,5,520
Solosis,LV14,7,14,15,520
Solosis,LV14.5,7,15,4,520
Solosis,LV15.5,8,1,5,520
Solosis,LV15,8,1,14,520
Solosis,LV15.5,8,3,2,520
Solosis,LV15,8,3,11,520
Solosis,LV15,8,4,9,520
Solosis,LV15,8,6,6,520
Solosis,LV14.5,8,7,14,520
Solosis,LV15,8,8,3,520
Solosis,LV14.5,8,9,11,520
Solosis,LV14.5,8,11,8,520
Solosis,LV14.5,8,13,5,520
Solosis,LV14,8,14,13,520
Solosis,LV14,8,15,12,520
Solosis,LV15.5,9,0,5,520
Solosis,LV15,9,0,14,520
Solosis,LV15.5,9,2,2,520
Solosis,LV15,9,2,11,520
Solosis,LV15,9,3,9,520
Solosis,LV15,9,5,6,520
Solosis,LV14.5,9,6,14,520
Solosis,LV15,9,7,3,520
Solosis,LV14.5,9,8,11,520
Solosis,LV14.5,9,9,9,520
Solosis,LV14.5,9,10,8,520
Solosis,LV14.5,9,12,5,520
Solosis,LV14,9,13,13,520
Solosis,LV14.5,9,14,2,520
Solosis,LV14.5,9,15,1,520
Solosis,LV14,9,15,10,520
Solosis,LV15.5,10,1,2,520
Solosis,LV15,10,1,11,520
Solosis,LV15,10,4,6,520
Solosis,LV14.5,10,5,14,520
Solosis,LV15,10,6,3,520
Solosis,LV14.5,10,7,11,520
Solosis,LV15,10,8,0,520
Solosis,LV14.5,10,8,9,520
Solosis,LV14.5,10,11,5,520
Solosis,LV14,10,12,13,520
Solosis,LV14.5,10,13,2,520
Solosis,LV14,10,14,10,520
Solosis,LV15.5,11,0,2,520
Solosis,LV15,11,0,11,520
Solosis,LV15,11,2,8,520
Solosis,LV15,11,3,6,520
Solosis,LV14.5,11,4,14,520
Solosis,LV15,11,5,3,520
Solosis,LV14.5,11,6,11,520
Solosis,LV15,11,7,0,520
Solosis,LV14.5,11,7,9,520
Solosis,LV14.5,11,9,6,520
Solosis,LV14.5,11,10,5,520
Solosis,LV14,11,11,13,520
