Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Spewpa,LV50,13,13,15,520
Spewpa,LV50,13,14,14,520
Spewpa,LV49.5,13,15,14,520
Spewpa,LV50,14,10,15,520
Spewpa,LV49.5,14,11,15,520
Spewpa,LV50,14,12,12,520
Spewpa,LV49.5,14,13,12,520
Spewpa,LV49,14,13,14,520
Spewpa,LV50,14,14,9,520
Spewpa,LV49.5,14,14,11,520
Spewpa,LV48.5,14,14,14,520
Spewpa,LV50,14,15,8,520
Spewpa,LV49,14,15,11,520
Spewpa,LV48.5,14,15,13,520
Spewpa,LV50,15,8,13,520
Spewpa,LV49.5,15,8,15,520
Spewpa,LV49,15,9,15,520
Spewpa,LV49.5,15,10,12,520
Spewpa,LV50,15,11,9,520
Spewpa,LV49,15,11,12,520
Spewpa,LV48.5,15,11,14,520
Spewpa,LV49.5,15,12,9,520
Spewpa,LV49,15,12,11,520
Spewpa,LV48,15,12,14,520
Spewpa,LV50,15,13,6,520
Spewpa,LV49.5,15,13,8,520
Spewpa,LV48.5,15,13,11,520
Spewpa,LV48,15,13,13,520
Spewpa,LV50,15,14,5,520
Spewpa,LV49,15,14,8,520
Spewpa,LV48.5,15,14,10,520
Spewpa,LV47.5,15,14,13,520
Spewpa,LV47,15,14,15,520
Spewpa,LV49.5,15,15,5,520
Spewpa,LV49,15,15,7,520
Spewpa,LV48,15,15,10,520
Spewpa,LV47.5,15,15,12,520
Spewpa,LV46.5,15,15,15,520
