Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Spidops,LV13,0,0,2,520
Spidops,LV12.5,0,0,15,520
Spidops,LV13,0,1,1,520
Spidops,LV12.5,0,1,14,520
Spidops,LV13,0,2,0,520
Spidops,LV12.5,0,2,13,520
Spidops,LV12.5,0,3,12,520
Spidops,LV12.5,0,4,11,520
Spidops,LV12.5,0,5,10,520
Spidops,LV12.5,0,6,9,520
Spidops,LV12.5,0,7,8,520
Spidops,LV12.5,0,8,7,520
Spidops,LV12.5,0,9,6,520
Spidops,LV12.5,0,10,5,520
Spidops,LV12.5,0,11,4,520
Spidops,LV12.5,0,12,3,520
Spidops,LV12,0,14,15,520
Spidops,LV12,0,15,14,520
Spidops,LV12.5,1,0,12,520
Spidops,LV12.5,1,1,11,520
Spidops,LV12.5,1,2,10,520
Spidops,LV12.5,1,10,3,520
Spidops,LV12.5,1,11,2,520
Spidops,LV12,1,11,15,520
Spidops,LV12.5,1,12,1,520
Spidops,LV12,1,12,14,520
Spidops,LV12.5,1,13,0,520
Spidops,LV12.5,2,0,10,520
Spidops,LV12.5,2,1,9,520
Spidops,LV12.5,2,2,8,520
Spidops,LV12.5,2,3,7,520
Spidops,LV12.5,2,4,6,520
Spidops,LV12.5,2,5,5,520
Spidops,LV12.5,2,6,4,520
Spidops,LV12.5,2,7,3,520
Spidops,LV12,2,9,15,520
Spidops,LV12,2,10,14,520
Spidops,LV12,2,11,13,520
Spidops,LV12,2,12,12,520
Spidops,LV12,2,13,11,520
Spidops,LV12,2,14,10,520
Spidops,LV12,2,15,9,520
Spidops,LV12.5,3,3,5,520
Spidops,LV12.5,3,4,4,520
Spidops,LV12.5,3,5,3,520
Spidops,LV12.5,3,6,2,520
Spidops,LV12,3,6,15,520
Spidops,LV12.5,3,7,1,520
Spidops,LV12,3,7,14,520
Spidops,LV12.5,3,8,0,520
Spidops,LV12,3,14,8,520
Spidops,LV12,3,15,7,520
Spidops,LV12,4,4,15,520
Spidops,LV12,4,5,14,520
Spidops,LV12.5,4,6,0,520
Spidops,LV12,4,6,13,520
Spidops,LV12,4,7,12,520
Spidops,LV12,4,8,11,520
Spidops,LV12,4,9,10,520
Spidops,LV12,4,10,9,520
Spidops,LV12,4,11,8,520
Spidops,LV12,4,12,7,520
Spidops,LV12.5,5,0,3,520
Spidops,LV12.5,5,1,2,520
Spidops,LV12.5,5,2,1,520
Spidops,LV12,5,9,8,520
Spidops,LV12,5,10,7,520
Spidops,LV12,5,11,6,520
Spidops,LV12,5,12,5,520
Spidops,LV12,5,13,4,520
Spidops,LV12,5,14,3,520
Spidops,LV12.5,6,0,1,520
Spidops,LV12,6,0,14,520
