Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Spinda,LV18.5,0,0,4,520
Spinda,LV18,0,0,13,520
Spinda,LV18.5,0,1,3,520
Spinda,LV18,0,1,12,520
Spinda,LV18.5,0,3,0,520
Spinda,LV18,0,3,9,520
Spinda,LV18,0,5,6,520
Spinda,LV18,0,6,5,520
Spinda,LV17.5,0,6,14,520
Spinda,LV17.5,0,7,13,520
Spinda,LV18,0,9,1,520
Spinda,LV17.5,0,9,10,520
Spinda,LV18,0,10,0,520
Spinda,LV17.5,0,10,9,520
Spinda,LV17.5,0,12,6,520
Spinda,LV17.5,0,13,5,520
Spinda,LV17.5,0,14,4,520
Spinda,LV17,0,14,13,520
Spinda,LV17,0,15,12,520
Spinda,LV18.5,1,1,0,520
Spinda,LV18,1,1,9,520
Spinda,LV18,1,3,6,520
Spinda,LV18,1,4,5,520
Spinda,LV17.5,1,4,14,520
Spinda,LV17.5,1,5,13,520
Spinda,LV18,1,6,2,520
Spinda,LV18,1,7,1,520
Spinda,LV17.5,1,7,10,520
Spinda,LV17.5,1,10,6,520
Spinda,LV17.5,1,11,5,520
Spinda,LV17,1,11,14,520
Spinda,LV17,1,12,13,520
Spinda,LV17,1,13,12,520
Spinda,LV17.5,1,14,1,520
Spinda,LV17.5,1,15,0,520
Spinda,LV17,1,15,9,520
Spinda,LV18,2,1,6,520
Spinda,LV18,2,2,5,520
Spinda,LV17.5,2,2,14,520
Spinda,LV18,2,4,2,520
Spinda,LV17.5,2,4,11,520
Spinda,LV18,2,5,1,520
Spinda,LV17.5,2,5,10,520
Spinda,LV17.5,2,7,7,520
Spinda,LV17.5,2,8,6,520
Spinda,LV17,2,9,14,520
Spinda,LV17,2,10,13,520
Spinda,LV17.5,2,11,2,520
Spinda,LV17.5,2,12,1,520
Spinda,LV17,2,12,10,520
Spinda,LV17,2,13,9,520
Spinda,LV18,3,0,5,520
Spinda,LV17.5,3,0,14,520
Spinda,LV18,3,2,2,520
Spinda,LV17.5,3,2,11,520
Spinda,LV18,3,3,1,520
Spinda,LV17.5,3,3,10,520
Spinda,LV17.5,3,5,7,520
Spinda,LV17.5,3,6,6,520
Spinda,LV17,3,7,14,520
Spinda,LV17.5,3,8,3,520
Spinda,LV17.5,3,9,2,520
Spinda,LV17,3,9,11,520
Spinda,LV17,3,10,10,520
Spinda,LV17,3,13,6,520
Spinda,LV17,3,14,5,520
Spinda,LV16.5,3,14,15,520
