Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Spiritomb,LV10,0,1,12,520
Spiritomb,LV10,0,2,11,520
Spiritomb,LV10,0,5,9,520
Spiritomb,LV10,0,6,8,520
Spiritomb,LV10,0,8,7,520
Spiritomb,LV10,0,9,6,520
Spiritomb,LV10,0,11,5,520
Spiritomb,LV10,0,12,4,520
Spiritomb,LV10,0,14,3,520
Spiritomb,LV10,0,15,2,520
Spiritomb,LV10,1,0,11,520
Spiritomb,LV10,1,1,10,520
Spiritomb,LV10,1,4,8,520
Spiritomb,LV10,1,5,7,520
Spiritomb,LV10,1,7,6,520
Spiritomb,LV10,1,8,5,520
Spiritomb,LV10,1,10,4,520
Spiritomb,LV10,1,11,3,520
Spiritomb,LV10,1,13,2,520
Spiritomb,LV10,1,14,1,520
Spiritomb,LV10,2,0,9,520
Spiritomb,LV10,2,3,7,520
Spiritomb,LV10,2,4,6,520
Spiritomb,LV10,2,6,5,520
Spiritomb,LV10,2,7,4,520
Spiritomb,LV10,2,9,3,520
Spiritomb,LV10,2,10,2,520
Spiritomb,LV10,2,12,1,520
Spiritomb,LV10,2,13,0,520
Spiritomb,LV9.5,2,14,15,520
Spiritomb,LV10,3,2,6,520
Spiritomb,LV10,3,5,4,520
Spiritomb,LV10,3,6,3,520
Spiritomb,LV10,3,8,2,520
Spiritomb,LV10,3,9,1,520
Spiritomb,LV10,3,11,0,520
Spiritomb,LV9.5,3,12,15,520
Spiritomb,LV9.5,3,13,14,520
Spiritomb,LV10,4,0,6,520
Spiritomb,LV10,4,1,5,520
Spiritomb,LV10,4,4,3,520
Spiritomb,LV10,4,5,2,520
Spiritomb,LV10,4,7,1,520
Spiritomb,LV10,4,8,0,520
Spiritomb,LV9.5,4,9,15,520
Spiritomb,LV9.5,4,11,14,520
Spiritomb,LV9.5,4,12,13,520
Spiritomb,LV9.5,4,15,11,520
Spiritomb,LV10,5,0,4,520
Spiritomb,LV10,5,3,2,520
Spiritomb,LV10,5,6,0,520
Spiritomb,LV9.5,5,7,15,520
Spiritomb,LV9.5,5,8,14,520
Spiritomb,LV9.5,5,10,13,520
Spiritomb,LV9.5,5,11,12,520
Spiritomb,LV9.5,5,14,10,520
Spiritomb,LV9.5,5,15,9,520
Spiritomb,LV10,6,1,2,520
Spiritomb,LV10,6,2,1,520
Spiritomb,LV10,6,4,0,520
Spiritomb,LV9.5,6,6,14,520
Spiritomb,LV9.5,6,7,13,520
Spiritomb,LV9.5,6,9,12,520
Spiritomb,LV9.5,6,10,11,520
Spiritomb,LV9.5,6,13,9,520
Spiritomb,LV9.5,6,14,8,520
Spiritomb,LV10,7,0,1,520
Spiritomb,LV10,7,1,0,520
Spiritomb,LV9.5,7,2,15,520
Spiritomb,LV9.5,7,5,13,520
Spiritomb,LV9.5,7,6,12,520
Spiritomb,LV9.5,7,8,11,520
Spiritomb,LV9.5,7,9,10,520
Spiritomb,LV9.5,7,12,8,520
Spiritomb,LV9.5,7,15,6,520
Spiritomb,LV9.5,8,0,15,520
Spiritomb,LV9.5,8,1,14,520
Spiritomb,LV9.5,8,3,13,520
Spiritomb,LV9.5,8,4,12,520
Spiritomb,LV9.5,8,5,11,520
Spiritomb,LV9.5,8,7,10,520
Spiritomb,LV9.5,8,8,9,520
Spiritomb,LV9.5,8,10,8,520
Spiritomb,LV9.5,8,11,7,520
Spiritomb,LV9.5,8,14,5,520
Spiritomb,LV9.5,9,2,12,520
Spiritomb,LV9.5,9,3,11,520
Spiritomb,LV9.5,9,6,9,520
Spiritomb,LV9.5,9,7,8,520
Spiritomb,LV9.5,9,9,7,520
Spiritomb,LV9.5,9,10,6,520
