Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Sprigatito,LV22.5,0,0,6,520
Sprigatito,LV22,0,0,12,520
Sprigatito,LV22.5,0,1,5,520
Sprigatito,LV22,0,3,8,520
Sprigatito,LV21.5,0,3,14,520
Sprigatito,LV22,0,4,7,520
Sprigatito,LV21.5,0,4,13,520
Sprigatito,LV22.5,0,5,0,520
Sprigatito,LV21.5,0,7,9,520
Sprigatito,LV21,0,7,15,520
Sprigatito,LV22,0,8,2,520
Sprigatito,LV21.5,0,8,8,520
Sprigatito,LV21,0,8,14,520
Sprigatito,LV22,0,9,1,520
Sprigatito,LV21,0,9,13,520
Sprigatito,LV22,0,10,0,520
Sprigatito,LV21.5,0,12,3,520
Sprigatito,LV21,0,12,9,520
Sprigatito,LV21.5,0,13,2,520
Sprigatito,LV21,0,13,8,520
Sprigatito,LV21.5,0,14,1,520
Sprigatito,LV21,0,14,7,520
Sprigatito,LV20.5,0,14,13,520
Sprigatito,LV21.5,0,15,0,520
Sprigatito,LV21,0,15,6,520
Sprigatito,LV20.5,0,15,12,520
Sprigatito,LV22.5,1,0,4,520
Sprigatito,LV22.5,1,1,3,520
Sprigatito,LV22,1,2,7,520
Sprigatito,LV21.5,1,2,13,520
Sprigatito,LV22,1,3,6,520
Sprigatito,LV21.5,1,3,12,520
Sprigatito,LV21.5,1,6,8,520
Sprigatito,LV21,1,6,14,520
Sprigatito,LV22,1,7,1,520
Sprigatito,LV21.5,1,7,7,520
Sprigatito,LV21,1,7,13,520
Sprigatito,LV22,1,8,0,520
Sprigatito,LV21.5,1,11,2,520
Sprigatito,LV21,1,11,8,520
Sprigatito,LV21.5,1,12,1,520
Sprigatito,LV21,1,12,7,520
Sprigatito,LV20.5,1,12,13,520
Sprigatito,LV21.5,1,13,0,520
Sprigatito,LV21,1,13,6,520
Sprigatito,LV20.5,1,13,12,520
Sprigatito,LV20.5,1,14,11,520
Sprigatito,LV22.5,2,0,2,520
Sprigatito,LV21.5,2,1,12,520
Sprigatito,LV22,2,2,5,520
Sprigatito,LV21.5,2,2,11,520
Sprigatito,LV22,2,3,4,520
Sprigatito,LV21.5,2,5,7,520
Sprigatito,LV21,2,5,13,520
Sprigatito,LV21.5,2,6,6,520
Sprigatito,LV21,2,6,12,520
Sprigatito,LV21,2,10,7,520
Sprigatito,LV21.5,2,11,0,520
Sprigatito,LV21,2,11,6,520
Sprigatito,LV20.5,2,11,12,520
Sprigatito,LV21,2,12,5,520
Sprigatito,LV20.5,2,12,11,520
Sprigatito,LV20.5,2,13,10,520
Sprigatito,LV20,2,14,15,520
Sprigatito,LV20,2,15,14,520
Sprigatito,LV22.5,3,0,0,520
Sprigatito,LV22,3,1,4,520
Sprigatito,LV21.5,3,1,10,520
Sprigatito,LV22,3,2,3,520
Sprigatito,LV21,3,2,15,520
Sprigatito,LV21.5,3,4,6,520
Sprigatito,LV21.5,3,5,5,520
Sprigatito,LV21,3,5,11,520
Sprigatito,LV21.5,3,6,4,520
Sprigatito,LV20.5,3,7,15,520
Sprigatito,LV21,3,9,6,520
Sprigatito,LV21,3,10,5,520
Sprigatito,LV20.5,3,10,11,520
Sprigatito,LV21,3,11,4,520
Sprigatito,LV20.5,3,11,10,520
Sprigatito,LV20.5,3,12,9,520
Sprigatito,LV20,3,13,14,520
Sprigatito,LV20,3,14,13,520
Sprigatito,LV20,3,15,12,520
Sprigatito,LV21.5,4,0,9,520
Sprigatito,LV22,4,1,2,520
Sprigatito,LV21.5,4,1,8,520
Sprigatito,LV21,4,1,14,520
Sprigatito,LV22,4,2,1,520
Sprigatito,LV21.5,4,4,4,520
Sprigatito,LV21,4,4,10,520
Sprigatito,LV21.5,4,5,3,520
Sprigatito,LV21,4,5,9,520
Sprigatito,LV20.5,4,5,15,520
Sprigatito,LV20.5,4,6,14,520
Sprigatito,LV21,4,8,5,520
Sprigatito,LV21,4,9,4,520
Sprigatito,LV20.5,4,9,10,520
Sprigatito,LV21,4,10,3,520
Sprigatito,LV20.5,4,10,9,520
Sprigatito,LV21,4,11,2,520
Sprigatito,LV20.5,4,11,8,520
Sprigatito,LV20,4,12,13,520
Sprigatito,LV20,4,13,12,520
Sprigatito,LV21.5,5,0,7,520
Sprigatito,LV21,5,0,13,520
Sprigatito,LV22,5,1,0,520
Sprigatito,LV21,5,1,12,520
Sprigatito,LV21,5,3,9,520
Sprigatito,LV21.5,5,4,2,520
Sprigatito,LV21,5,4,8,520
Sprigatito,LV20.5,5,4,14,520
Sprigatito,LV21.5,5,5,1,520
Sprigatito,LV20.5,5,5,13,520
Sprigatito,LV21,5,8,3,520
Sprigatito,LV20.5,5,8,9,520
Sprigatito,LV21,5,9,2,520
Sprigatito,LV20.5,5,9,8,520
Sprigatito,LV21,5,10,1,520
Sprigatito,LV20.5,5,10,7,520
Sprigatito,LV21,5,11,0,520
Sprigatito,LV20,5,11,12,520
Sprigatito,LV20,5,12,11,520
