Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Spritzee,LV18,0,0,6,520
Spritzee,LV18,0,1,4,520
Spritzee,LV17.5,0,1,15,520
Spritzee,LV18,0,2,3,520
Spritzee,LV17.5,0,2,14,520
Spritzee,LV18,0,3,1,520
Spritzee,LV17.5,0,3,12,520
Spritzee,LV17.5,0,4,10,520
Spritzee,LV17.5,0,6,7,520
Spritzee,LV17.5,0,7,5,520
Spritzee,LV17.5,0,8,4,520
Spritzee,LV17,0,8,15,520
Spritzee,LV17.5,0,9,2,520
Spritzee,LV17.5,0,10,1,520
Spritzee,LV17,0,10,12,520
Spritzee,LV17,0,11,10,520
Spritzee,LV17,0,13,7,520
Spritzee,LV17,0,15,4,520
Spritzee,LV18,1,1,1,520
Spritzee,LV17.5,1,1,12,520
Spritzee,LV17.5,1,2,10,520
Spritzee,LV17.5,1,3,8,520
Spritzee,LV17.5,1,4,7,520
Spritzee,LV17.5,1,5,5,520
Spritzee,LV17,1,6,15,520
Spritzee,LV17.5,1,7,2,520
Spritzee,LV17,1,7,13,520
Spritzee,LV17.5,1,8,0,520
Spritzee,LV17,1,9,10,520
Spritzee,LV17,1,10,8,520
Spritzee,LV17,1,11,7,520
Spritzee,LV17,1,12,5,520
Spritzee,LV16.5,1,13,15,520
Spritzee,LV17,1,14,2,520
Spritzee,LV16.5,1,14,14,520
Spritzee,LV17,1,15,1,520
Spritzee,LV16.5,1,15,12,520
Spritzee,LV17.5,2,0,10,520
Spritzee,LV17.5,2,1,8,520
Spritzee,LV17.5,2,3,5,520
Spritzee,LV17.5,2,4,3,520
Spritzee,LV17.5,2,5,2,520
Spritzee,LV17,2,5,13,520
Spritzee,LV17.5,2,6,0,520
Spritzee,LV17,2,6,11,520
Spritzee,LV17,2,8,8,520
Spritzee,LV17,2,9,6,520
Spritzee,LV17,2,10,5,520
Spritzee,LV17,2,11,3,520
Spritzee,LV16.5,2,11,15,520
Spritzee,LV17,2,12,2,520
Spritzee,LV16.5,2,12,13,520
Spritzee,LV17,2,13,0,520
Spritzee,LV16.5,2,13,12,520
Spritzee,LV16.5,2,14,10,520
Spritzee,LV17.5,3,1,5,520
Spritzee,LV17.5,3,2,3,520
Spritzee,LV17,3,3,13,520
Spritzee,LV17.5,3,4,0,520
Spritzee,LV17,3,4,11,520
Spritzee,LV17,3,5,9,520
Spritzee,LV17,3,6,8,520
Spritzee,LV17,3,7,6,520
Spritzee,LV17,3,9,3,520
Spritzee,LV16.5,3,10,13,520
Spritzee,LV17,3,11,0,520
Spritzee,LV16.5,3,11,11,520
Spritzee,LV16.5,3,12,10,520
Spritzee,LV16.5,3,13,8,520
Spritzee,LV16.5,3,14,7,520
Spritzee,LV16.5,3,15,5,520
Spritzee,LV17.5,4,0,3,520
Spritzee,LV17,4,1,13,520
Spritzee,LV17.5,4,2,0,520
Spritzee,LV17,4,2,11,520
Spritzee,LV17,4,3,9,520
Spritzee,LV17,4,5,6,520
Spritzee,LV17,4,6,4,520
Spritzee,LV17,4,7,3,520
Spritzee,LV16.5,4,7,14,520
Spritzee,LV17,4,8,1,520
Spritzee,LV16.5,4,8,13,520
Spritzee,LV17,4,9,0,520
Spritzee,LV16.5,4,9,11,520
Spritzee,LV16.5,4,11,8,520
Spritzee,LV16.5,4,12,6,520
Spritzee,LV16.5,4,13,5,520
Spritzee,LV16.5,4,14,3,520
Spritzee,LV16,4,14,15,520
Spritzee,LV16.5,4,15,2,520
Spritzee,LV16,4,15,14,520
Spritzee,LV17.5,5,0,0,520
Spritzee,LV17,5,0,11,520
Spritzee,LV17,5,1,9,520
Spritzee,LV17,5,3,6,520
Spritzee,LV17,5,4,4,520
Spritzee,LV16.5,5,5,14,520
Spritzee,LV17,5,6,1,520
Spritzee,LV16.5,5,7,11,520
Spritzee,LV16.5,5,8,9,520
Spritzee,LV16.5,5,9,8,520
Spritzee,LV16.5,5,10,6,520
Spritzee,LV16.5,5,12,3,520
Spritzee,LV16,5,12,15,520
Spritzee,LV16.5,5,14,0,520
Spritzee,LV16,5,14,12,520
Spritzee,LV16,5,15,10,520
Spritzee,LV17,6,1,6,520
Spritzee,LV17,6,2,4,520
Spritzee,LV16.5,6,3,14,520
Spritzee,LV17,6,4,1,520
Spritzee,LV16.5,6,5,11,520
Spritzee,LV16.5,6,6,9,520
Spritzee,LV16.5,6,8,6,520
Spritzee,LV16.5,6,9,4,520
Spritzee,LV16.5,6,10,3,520
Spritzee,LV16,6,10,15,520
Spritzee,LV16.5,6,11,1,520
Spritzee,LV16,6,11,13,520
Spritzee,LV16.5,6,12,0,520
Spritzee,LV16,6,13,10,520
Spritzee,LV16,6,15,7,520
Spritzee,LV17,7,0,4,520
Spritzee,LV16.5,7,1,14,520
Spritzee,LV17,7,2,1,520
Spritzee,LV16.5,7,3,11,520
Spritzee,LV16.5,7,4,9,520
Spritzee,LV16.5,7,6,6,520
Spritzee,LV16.5,7,7,4,520
Spritzee,LV16.5,7,8,3,520
Spritzee,LV16,7,8,15,520
Spritzee,LV16.5,7,9,1,520
Spritzee,LV16,7,9,13,520
Spritzee,LV16,7,10,11,520
Spritzee,LV16,7,11,10,520
Spritzee,LV16,7,12,8,520
Spritzee,LV16,7,13,7,520
Spritzee,LV16,7,14,5,520
Spritzee,LV16,7,15,4,520
Spritzee,LV17,8,0,1,520
Spritzee,LV16.5,8,1,11,520
Spritzee,LV16.5,8,2,9,520
Spritzee,LV16.5,8,4,6,520
Spritzee,LV16.5,8,5,4,520
Spritzee,LV16.5,8,7,1,520
Spritzee,LV16,8,7,13,520
Spritzee,LV16,8,8,11,520
Spritzee,LV16,8,10,8,520
Spritzee,LV16,8,12,5,520
Spritzee,LV16,8,14,2,520
Spritzee,LV15.5,8,14,14,520
Spritzee,LV15.5,8,15,13,520
Spritzee,LV16.5,9,0,9,520
Spritzee,LV16.5,9,2,6,520
Spritzee,LV16.5,9,3,4,520
Spritzee,LV16.5,9,5,1,520
Spritzee,LV16,9,5,13,520
Spritzee,LV16,9,6,11,520
Spritzee,LV16,9,8,8,520
Spritzee,LV16,9,9,6,520
Spritzee,LV16,9,10,5,520
Spritzee,LV16,9,11,3,520
Spritzee,LV16,9,12,2,520
Spritzee,LV15.5,9,12,14,520
Spritzee,LV16,9,13,0,520
Spritzee,LV15.5,9,14,11,520
Spritzee,LV15.5,9,15,9,520
Spritzee,LV16.5,10,0,6,520
Spritzee,LV16.5,10,1,4,520
Spritzee,LV16.5,10,2,3,520
Spritzee,LV16,10,2,15,520
Spritzee,LV16.5,10,3,1,520
Spritzee,LV16,10,3,13,520
Spritzee,LV16,10,4,11,520
Spritzee,LV16,10,6,8,520
Spritzee,LV16,10,7,6,520
Spritzee,LV16,10,8,5,520
Spritzee,LV16,10,9,3,520
Spritzee,LV15.5,10,10,14,520
Spritzee,LV16,10,11,0,520
Spritzee,LV15.5,10,11,12,520
Spritzee,LV15.5,10,12,11,520
Spritzee,LV15.5,10,13,9,520
Spritzee,LV15.5,10,15,6,520
Spritzee,LV16.5,11,0,3,520
Spritzee,LV16,11,0,15,520
Spritzee,LV16.5,11,1,1,520
Spritzee,LV16,11,1,13,520
Spritzee,LV16,11,2,11,520
Spritzee,LV16,11,3,10,520
Spritzee,LV16,11,4,8,520
Spritzee,LV16,11,5,6,520
Spritzee,LV16,11,6,5,520
Spritzee,LV16,11,7,3,520
Spritzee,LV15.5,11,8,14,520
Spritzee,LV16,11,9,0,520
Spritzee,LV15.5,11,9,12,520
Spritzee,LV15.5,11,11,9,520
Spritzee,LV15.5,11,13,6,520
Spritzee,LV15.5,11,15,3,520
Spritzee,LV16.5,12,0,0,520
Spritzee,LV16,12,1,10,520
Spritzee,LV16,12,2,8,520
Spritzee,LV16,12,4,5,520
Spritzee,LV16,12,5,3,520
Spritzee,LV15.5,12,6,14,520
Spritzee,LV16,12,7,0,520
Spritzee,LV15.5,12,7,12,520
Spritzee,LV15.5,12,9,9,520
Spritzee,LV15.5,12,11,6,520
Spritzee,LV15.5,12,12,4,520
Spritzee,LV15.5,12,13,3,520
Spritzee,LV15.5,12,14,1,520
Spritzee,LV15,12,14,14,520
Spritzee,LV15.5,12,15,0,520
Spritzee,LV16,13,0,8,520
Spritzee,LV16,13,1,7,520
Spritzee,LV16,13,2,5,520
Spritzee,LV16,13,3,3,520
Spritzee,LV16,13,4,2,520
Spritzee,LV15.5,13,4,14,520
Spritzee,LV16,13,5,0,520
Spritzee,LV15.5,13,5,12,520
Spritzee,LV15.5,13,6,11,520
Spritzee,LV15.5,13,7,9,520
Spritzee,LV15.5,13,9,6,520
Spritzee,LV15.5,13,10,4,520
Spritzee,LV15.5,13,11,3,520
Spritzee,LV15.5,13,12,1,520
Spritzee,LV15,13,12,14,520
Spritzee,LV15.5,13,13,0,520
Spritzee,LV15,13,13,12,520
Spritzee,LV15,13,14,11,520
Spritzee,LV15,13,15,9,520
Spritzee,LV16,14,0,5,520
Spritzee,LV16,14,2,2,520
Spritzee,LV15.5,14,2,14,520
Spritzee,LV16,14,3,0,520
Spritzee,LV15.5,14,4,11,520
Spritzee,LV15.5,14,5,9,520
Spritzee,LV15.5,14,7,6,520
Spritzee,LV15.5,14,8,4,520
Spritzee,LV15.5,14,9,3,520
Spritzee,LV15.5,14,10,1,520
Spritzee,LV15,14,10,14,520
Spritzee,LV15.5,14,11,0,520
Spritzee,LV15,14,11,12,520
Spritzee,LV15,14,12,11,520
Spritzee,LV15,14,13,9,520
Spritzee,LV15,14,15,6,520
Spritzee,LV16,15,0,2,520
Spritzee,LV15.5,15,1,13,520
Spritzee,LV15.5,15,2,11,520
Spritzee,LV15.5,15,3,9,520
Spritzee,LV15.5,15,4,8,520
Spritzee,LV15.5,15,5,6,520
Spritzee,LV15.5,15,7,3,520
Spritzee,LV15.5,15,8,1,520
Spritzee,LV15,15,8,14,520
Spritzee,LV15.5,15,9,0,520
Spritzee,LV15,15,9,12,520
Spritzee,LV15,15,10,11,520
Spritzee,LV15,15,11,9,520
Spritzee,LV15,15,13,6,520
Spritzee,LV15,15,15,3,520
