Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Squirtle,LV24,0,0,11,520
Squirtle,LV24,0,1,10,520
Squirtle,LV24,0,2,9,520
Squirtle,LV23.5,0,2,15,520
Squirtle,LV24,0,3,8,520
Squirtle,LV23.5,0,7,9,520
Squirtle,LV23,0,7,15,520
Squirtle,LV23.5,0,8,8,520
Squirtle,LV23,0,8,14,520
Squirtle,LV23.5,0,9,7,520
Squirtle,LV23,0,9,13,520
Squirtle,LV23.5,0,10,6,520
Squirtle,LV23,0,10,12,520
Squirtle,LV23.5,0,11,5,520
Squirtle,LV23,0,11,11,520
Squirtle,LV23.5,0,12,4,520
Squirtle,LV23,0,12,10,520
Squirtle,LV23.5,0,13,3,520
Squirtle,LV23,0,13,9,520
Squirtle,LV22.5,0,13,15,520
Squirtle,LV23.5,0,14,2,520
Squirtle,LV23,0,14,8,520
Squirtle,LV22.5,0,14,14,520
Squirtle,LV23.5,0,15,1,520
Squirtle,LV23,0,15,7,520
Squirtle,LV22.5,0,15,13,520
Squirtle,LV24.5,1,0,3,520
Squirtle,LV24,1,0,8,520
Squirtle,LV23.5,1,0,14,520
Squirtle,LV24,1,1,7,520
Squirtle,LV23.5,1,1,13,520
Squirtle,LV24,1,2,6,520
Squirtle,LV23.5,1,2,12,520
Squirtle,LV24,1,3,5,520
Squirtle,LV24,1,4,4,520
Squirtle,LV24,1,5,3,520
Squirtle,LV24,1,6,2,520
Squirtle,LV24,1,7,1,520
Squirtle,LV23,1,7,12,520
Squirtle,LV24,1,8,0,520
Squirtle,LV23,1,8,11,520
Squirtle,LV23,1,9,10,520
Squirtle,LV23,1,10,9,520
Squirtle,LV22.5,1,10,15,520
Squirtle,LV23,1,11,8,520
Squirtle,LV22.5,1,11,14,520
Squirtle,LV23,1,12,7,520
Squirtle,LV22.5,1,12,13,520
Squirtle,LV23,1,13,6,520
Squirtle,LV22.5,1,13,12,520
Squirtle,LV23,1,14,5,520
Squirtle,LV22.5,1,14,11,520
Squirtle,LV23,1,15,4,520
Squirtle,LV22.5,1,15,10,520
Squirtle,LV24.5,2,0,0,520
Squirtle,LV23.5,2,0,11,520
Squirtle,LV23.5,2,1,10,520
Squirtle,LV23.5,2,2,9,520
Squirtle,LV23,2,2,15,520
Squirtle,LV24,2,3,2,520
Squirtle,LV23.5,2,3,8,520
Squirtle,LV23,2,3,14,520
Squirtle,LV24,2,4,1,520
Squirtle,LV24,2,5,0,520
Squirtle,LV23,2,9,7,520
Squirtle,LV22.5,2,9,13,520
Squirtle,LV23,2,10,6,520
Squirtle,LV22.5,2,10,12,520
Squirtle,LV23,2,11,5,520
Squirtle,LV22.5,2,11,11,520
Squirtle,LV23,2,12,4,520
Squirtle,LV22.5,2,12,10,520
Squirtle,LV23,2,13,3,520
Squirtle,LV22.5,2,13,9,520
Squirtle,LV22.5,2,14,8,520
Squirtle,LV22.5,2,15,7,520
Squirtle,LV22,2,15,13,520
Squirtle,LV23,3,0,14,520
Squirtle,LV23.5,3,1,7,520
Squirtle,LV23,3,1,13,520
Squirtle,LV23.5,3,2,6,520
Squirtle,LV23,3,2,12,520
Squirtle,LV23.5,3,3,5,520
Squirtle,LV23,3,3,11,520
Squirtle,LV23.5,3,4,4,520
Squirtle,LV23,3,4,10,520
Squirtle,LV23.5,3,5,3,520
Squirtle,LV22.5,3,5,15,520
Squirtle,LV23.5,3,6,2,520
Squirtle,LV23.5,3,7,1,520
Squirtle,LV23.5,3,8,0,520
Squirtle,LV24,4,0,0,520
Squirtle,LV23,4,1,10,520
Squirtle,LV23,4,2,9,520
Squirtle,LV22.5,4,2,15,520
Squirtle,LV23,4,3,8,520
Squirtle,LV22.5,4,3,14,520
Squirtle,LV23,4,4,7,520
Squirtle,LV22.5,4,4,13,520
Squirtle,LV23,4,5,6,520
Squirtle,LV22.5,4,5,12,520
Squirtle,LV23,4,6,5,520
Squirtle,LV22.5,4,6,11,520
Squirtle,LV23,4,7,4,520
Squirtle,LV23,4,8,3,520
Squirtle,LV22,4,8,15,520
Squirtle,LV23,4,9,2,520
Squirtle,LV22,4,9,14,520
Squirtle,LV23,4,10,1,520
Squirtle,LV23,4,11,0,520
Squirtle,LV21.5,4,14,15,520
Squirtle,LV21.5,4,15,14,520
Squirtle,LV23.5,5,0,3,520
Squirtle,LV23.5,5,1,2,520
Squirtle,LV23.5,5,2,1,520
Squirtle,LV23.5,5,3,0,520
Squirtle,LV22.5,5,4,10,520
Squirtle,LV23,5,5,3,520
Squirtle,LV22.5,5,5,9,520
Squirtle,LV23,5,6,2,520
Squirtle,LV22.5,5,6,8,520
Squirtle,LV22,5,6,14,520
Squirtle,LV23,5,7,1,520
Squirtle,LV22.5,5,7,7,520
Squirtle,LV22,5,7,13,520
Squirtle,LV23,5,8,0,520
Squirtle,LV22.5,5,8,6,520
Squirtle,LV22,5,8,12,520
Squirtle,LV22.5,5,9,5,520
Squirtle,LV22,5,9,11,520
Squirtle,LV22.5,5,10,4,520
Squirtle,LV22,5,10,10,520
Squirtle,LV22.5,5,11,3,520
Squirtle,LV22,5,11,9,520
Squirtle,LV21.5,5,11,15,520
Squirtle,LV22.5,5,12,2,520
Squirtle,LV22,5,12,8,520
Squirtle,LV21.5,5,12,14,520
Squirtle,LV22.5,5,13,1,520
Squirtle,LV22,5,13,7,520
Squirtle,LV21.5,5,13,13,520
Squirtle,LV22.5,5,14,0,520
Squirtle,LV22,5,14,6,520
Squirtle,LV21.5,5,14,12,520
Squirtle,LV22,5,15,5,520
Squirtle,LV21.5,5,15,11,520
Squirtle,LV23,6,0,6,520
Squirtle,LV22.5,6,0,12,520
Squirtle,LV23,6,1,5,520
Squirtle,LV22.5,6,1,11,520
Squirtle,LV23,6,2,4,520
Squirtle,LV22,6,3,15,520
Squirtle,LV22,6,9,8,520
Squirtle,LV22,6,10,7,520
Squirtle,LV22,6,11,6,520
Squirtle,LV22,6,12,5,520
Squirtle,LV22,6,13,4,520
Squirtle,LV22,6,14,3,520
Squirtle,LV21,6,15,15,520
Squirtle,LV22.5,7,0,9,520
Squirtle,LV23,7,1,2,520
Squirtle,LV22.5,7,1,8,520
