Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Staravia,LV17,0,2,6,520
Staravia,LV16.5,0,3,14,520
Staravia,LV17,0,4,3,520
Staravia,LV16.5,0,4,12,520
Staravia,LV17,0,6,0,520
Staravia,LV16.5,0,6,9,520
Staravia,LV16.5,0,8,6,520
Staravia,LV16,0,9,14,520
Staravia,LV16.5,0,10,3,520
Staravia,LV16,0,11,11,520
Staravia,LV16.5,0,12,0,520
Staravia,LV16,0,13,8,520
Staravia,LV16,0,15,5,520
Staravia,LV15.5,0,15,15,520
Staravia,LV17,1,0,7,520
Staravia,LV16.5,1,1,15,520
Staravia,LV17,1,2,4,520
Staravia,LV16.5,1,2,13,520
Staravia,LV17,1,4,1,520
Staravia,LV16.5,1,4,10,520
Staravia,LV16.5,1,6,7,520
Staravia,LV16,1,7,15,520
Staravia,LV16.5,1,8,4,520
Staravia,LV16,1,9,12,520
Staravia,LV16.5,1,10,1,520
Staravia,LV16,1,10,10,520
Staravia,LV16,1,11,9,520
Staravia,LV16,1,13,6,520
Staravia,LV16,1,15,3,520
Staravia,LV15.5,1,15,13,520
Staravia,LV17,2,0,5,520
Staravia,LV17,2,2,2,520
Staravia,LV16.5,2,2,11,520
Staravia,LV16.5,2,4,8,520
Staravia,LV16.5,2,5,6,520
Staravia,LV16,2,6,14,520
Staravia,LV16.5,2,7,3,520
Staravia,LV16.5,2,8,2,520
Staravia,LV16,2,8,11,520
Staravia,LV16,2,10,8,520
Staravia,LV16,2,12,5,520
Staravia,LV15.5,2,12,15,520
Staravia,LV16,2,13,4,520
Staravia,LV15.5,2,14,12,520
Staravia,LV16,2,15,1,520
Staravia,LV17,3,0,3,520
Staravia,LV16.5,3,0,12,520
Staravia,LV17,3,2,0,520
Staravia,LV16.5,3,2,9,520
Staravia,LV16.5,3,3,7,520
Staravia,LV16,3,4,15,520
Staravia,LV16.5,3,5,4,520
Staravia,LV16,3,6,12,520
Staravia,LV16.5,3,7,1,520
Staravia,LV16,3,8,9,520
Staravia,LV16,3,10,6,520
Staravia,LV16,3,12,3,520
Staravia,LV15.5,3,12,13,520
Staravia,LV15.5,3,14,10,520
Staravia,LV17,4,0,1,520
Staravia,LV16.5,4,0,10,520
Staravia,LV16.5,4,3,5,520
Staravia,LV16,4,3,15,520
Staravia,LV16,4,4,13,520
Staravia,LV16.5,4,5,2,520
Staravia,LV16,4,6,10,520
Staravia,LV16,4,8,7,520
Staravia,LV15.5,4,9,15,520
Staravia,LV16,4,10,4,520
Staravia,LV15.5,4,10,14,520
Staravia,LV15.5,4,11,12,520
Staravia,LV16,4,12,1,520
Staravia,LV15.5,4,12,11,520
Staravia,LV15.5,4,13,9,520
Staravia,LV15.5,4,14,8,520
Staravia,LV16.5,5,0,8,520
Staravia,LV16.5,5,1,6,520
Staravia,LV16,5,2,14,520
Staravia,LV16.5,5,3,3,520
Staravia,LV16,5,4,11,520
Staravia,LV16.5,5,5,0,520
Staravia,LV16,5,6,8,520
Staravia,LV16,5,7,6,520
Staravia,LV16,5,8,5,520
Staravia,LV15.5,5,9,13,520
Staravia,LV16,5,10,2,520
Staravia,LV15.5,5,11,10,520
Staravia,LV15.5,5,13,7,520
Staravia,LV15.5,5,14,6,520
Staravia,LV16.5,6,0,6,520
Staravia,LV16.5,6,1,4,520
Staravia,LV16,6,2,12,520
Staravia,LV16.5,6,3,1,520
Staravia,LV16,6,4,9,520
Staravia,LV16,6,5,7,520
Staravia,LV16,6,7,4,520
Staravia,LV15.5,6,7,14,520
Staravia,LV16,6,8,3,520
