Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Staryu,LV19,0,0,10,520
Staryu,LV19,0,1,9,520
Staryu,LV18.5,0,1,15,520
Staryu,LV19,0,2,8,520
Staryu,LV18.5,0,2,14,520
Staryu,LV19,0,3,7,520
Staryu,LV18.5,0,3,13,520
Staryu,LV18.5,0,4,12,520
Staryu,LV19.5,0,5,0,520
Staryu,LV18.5,0,5,11,520
Staryu,LV19,0,10,1,520
Staryu,LV19,0,11,0,520
Staryu,LV18.5,0,12,5,520
Staryu,LV18,0,12,11,520
Staryu,LV18.5,0,13,4,520
Staryu,LV18,0,13,10,520
Staryu,LV18.5,0,14,3,520
Staryu,LV18,0,14,9,520
Staryu,LV18,0,15,8,520
Staryu,LV19.5,1,0,3,520
Staryu,LV19.5,1,1,2,520
Staryu,LV19.5,1,2,1,520
Staryu,LV19.5,1,3,0,520
Staryu,LV19,1,6,3,520
Staryu,LV18,1,6,15,520
Staryu,LV19,1,7,2,520
Staryu,LV18,1,7,14,520
Staryu,LV19,1,8,1,520
Staryu,LV18,1,8,13,520
Staryu,LV18.5,1,9,6,520
Staryu,LV18,1,9,12,520
Staryu,LV18.5,1,10,5,520
Staryu,LV18,1,10,11,520
Staryu,LV18.5,1,11,4,520
Staryu,LV18,1,11,10,520
Staryu,LV18,1,12,9,520
Staryu,LV17.5,1,15,13,520
Staryu,LV19,2,0,7,520
Staryu,LV18.5,2,0,13,520
Staryu,LV19,2,1,6,520
Staryu,LV18.5,2,1,12,520
Staryu,LV19,2,2,5,520
Staryu,LV18.5,2,2,11,520
Staryu,LV19,2,3,4,520
Staryu,LV18.5,2,3,10,520
Staryu,LV19,2,4,3,520
Staryu,LV18.5,2,4,9,520
Staryu,LV18,2,4,15,520
Staryu,LV18.5,2,5,8,520
Staryu,LV18,2,5,14,520
Staryu,LV18.5,2,6,7,520
Staryu,LV18,2,6,13,520
Staryu,LV18.5,2,7,6,520
Staryu,LV18,2,7,12,520
Staryu,LV17.5,2,11,15,520
Staryu,LV17.5,2,12,14,520
Staryu,LV18.5,2,13,1,520
Staryu,LV17.5,2,13,13,520
Staryu,LV18.5,2,14,0,520
Staryu,LV18,2,14,6,520
Staryu,LV17.5,2,14,12,520
Staryu,LV18,2,15,5,520
Staryu,LV17.5,2,15,11,520
Staryu,LV19.5,3,0,0,520
Staryu,LV19,3,6,0,520
Staryu,LV18.5,3,9,3,520
Staryu,LV17.5,3,9,15,520
Staryu,LV18.5,3,10,2,520
Staryu,LV18,3,10,8,520
Staryu,LV17.5,3,10,14,520
Staryu,LV18.5,3,11,1,520
Staryu,LV18,3,11,7,520
Staryu,LV18,3,12,6,520
Staryu,LV18,3,13,5,520
Staryu,LV19,4,0,4,520
Staryu,LV19,4,1,3,520
Staryu,LV18,4,1,15,520
Staryu,LV19,4,2,2,520
Staryu,LV18,4,2,14,520
Staryu,LV19,4,3,1,520
Staryu,LV18,4,3,13,520
Staryu,LV19,4,4,0,520
Staryu,LV18,4,4,12,520
Staryu,LV18.5,4,5,5,520
Staryu,LV18,4,5,11,520
Staryu,LV18.5,4,6,4,520
Staryu,LV18,4,6,10,520
Staryu,LV18.5,4,7,3,520
Staryu,LV18,4,7,9,520
Staryu,LV18.5,4,8,2,520
Staryu,LV18,4,8,8,520
Staryu,LV18,4,9,7,520
Staryu,LV18,4,14,3,520
Staryu,LV17.5,4,14,9,520
Staryu,LV18,4,15,2,520
Staryu,LV17.5,4,15,8,520
Staryu,LV18.5,5,0,8,520
Staryu,LV18.5,5,1,7,520
Staryu,LV18.5,5,2,6,520
Staryu,LV18.5,5,3,5,520
Staryu,LV17.5,5,8,13,520
Staryu,LV18.5,5,9,0,520
Staryu,LV17.5,5,9,12,520
Staryu,LV17.5,5,10,11,520
Staryu,LV18,5,11,4,520
Staryu,LV17.5,5,11,10,520
Staryu,LV18,5,12,3,520
Staryu,LV17.5,5,12,9,520
Staryu,LV18,5,13,2,520
Staryu,LV17,5,13,15,520
Staryu,LV17,5,14,14,520
Staryu,LV17,5,15,13,520
Staryu,LV19,6,0,1,520
Staryu,LV19,6,1,0,520
