Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Steelix,LV8.5,0,8,15,520
Steelix,LV8.5,0,9,14,520
Steelix,LV8.5,0,10,13,520
Steelix,LV8.5,0,11,13,520
Steelix,LV8.5,0,12,12,520
Steelix,LV8.5,0,13,11,520
Steelix,LV8.5,0,15,10,520
Steelix,LV8.5,1,4,15,520
Steelix,LV8.5,1,5,14,520
Steelix,LV8.5,1,7,13,520
Steelix,LV8.5,1,8,12,520
Steelix,LV8.5,1,10,11,520
Steelix,LV8.5,1,11,10,520
Steelix,LV8.5,1,13,9,520
Steelix,LV8.5,1,14,8,520
Steelix,LV8.5,2,0,15,520
Steelix,LV8.5,2,2,14,520
Steelix,LV8.5,2,3,13,520
Steelix,LV8.5,2,4,12,520
Steelix,LV8.5,2,6,11,520
Steelix,LV8.5,2,7,10,520
Steelix,LV8.5,2,9,9,520
Steelix,LV8.5,2,10,8,520
Steelix,LV8.5,2,12,7,520
Steelix,LV8.5,2,13,6,520
Steelix,LV8.5,2,15,5,520
Steelix,LV8.5,3,1,12,520
Steelix,LV8.5,3,2,11,520
Steelix,LV8.5,3,4,10,520
Steelix,LV8.5,3,5,9,520
Steelix,LV8.5,3,7,8,520
Steelix,LV8.5,3,8,7,520
Steelix,LV8.5,3,10,6,520
Steelix,LV8.5,3,11,5,520
Steelix,LV8.5,3,13,4,520
Steelix,LV8.5,3,14,3,520
Steelix,LV8.5,4,0,10,520
Steelix,LV8.5,4,1,9,520
Steelix,LV8.5,4,3,8,520
Steelix,LV8.5,4,4,7,520
Steelix,LV8.5,4,6,6,520
Steelix,LV8.5,4,7,5,520
Steelix,LV8.5,4,9,4,520
Steelix,LV8.5,4,10,3,520
Steelix,LV8.5,4,12,2,520
Steelix,LV8.5,4,13,1,520
Steelix,LV8.5,4,14,1,520
Steelix,LV8.5,4,15,0,520
Steelix,LV8.5,5,1,7,520
Steelix,LV8.5,5,2,6,520
Steelix,LV8.5,5,4,5,520
Steelix,LV8.5,5,5,4,520
Steelix,LV8.5,5,7,3,520
Steelix,LV8.5,5,8,2,520
Steelix,LV8.5,5,10,1,520
Steelix,LV8.5,5,11,0,520
Steelix,LV8.5,6,0,5,520
Steelix,LV8.5,6,2,4,520
Steelix,LV8.5,6,3,3,520
Steelix,LV8.5,6,5,2,520
Steelix,LV8.5,6,6,1,520
Steelix,LV8.5,6,8,0,520
Steelix,LV8.5,7,0,3,520
Steelix,LV8.5,7,1,2,520
Steelix,LV8.5,7,3,1,520
Steelix,LV8.5,7,4,0,520
Steelix,LV8.5,8,1,0,520
Steelix,LV8,8,14,15,520
Steelix,LV8,8,15,15,520
Steelix,LV8,9,11,15,520
Steelix,LV8,9,12,14,520
Steelix,LV8,9,14,13,520
Steelix,LV8,9,15,12,520
Steelix,LV8,10,7,15,520
Steelix,LV8,10,9,14,520
Steelix,LV8,10,10,13,520
Steelix,LV8,10,12,12,520
Steelix,LV8,10,13,11,520
Steelix,LV8,10,15,10,520
Steelix,LV8,11,4,15,520
Steelix,LV8,11,5,14,520
Steelix,LV8,11,7,13,520
Steelix,LV8,11,8,12,520
Steelix,LV8,11,9,11,520
Steelix,LV8,11,10,11,520
Steelix,LV8,11,11,10,520
Steelix,LV8,11,12,9,520
Steelix,LV8,11,13,9,520
Steelix,LV8,11,14,8,520
Steelix,LV8,11,15,7,520
Steelix,LV8,12,0,15,520
Steelix,LV8,12,2,14,520
Steelix,LV8,12,3,13,520
Steelix,LV8,12,5,12,520
Steelix,LV8,12,6,11,520
Steelix,LV8,12,7,10,520
Steelix,LV8,12,8,10,520
Steelix,LV8,12,9,9,520
Steelix,LV8,12,10,8,520
Steelix,LV8,12,12,7,520
Steelix,LV8,12,13,6,520
Steelix,LV8,12,14,6,520
Steelix,LV8,12,15,5,520
Steelix,LV8,13,0,13,520
Steelix,LV8,13,1,12,520
Steelix,LV8,13,3,11,520
Steelix,LV8,13,4,10,520
Steelix,LV8,13,5,9,520
Steelix,LV8,13,6,9,520
Steelix,LV8,13,7,8,520
Steelix,LV8,13,8,7,520
Steelix,LV8,13,10,6,520
Steelix,LV8,13,11,5,520
Steelix,LV8,13,13,4,520
Steelix,LV8,13,14,3,520
Steelix,LV8,13,15,3,520
Steelix,LV8,14,1,10,520
Steelix,LV8,14,2,9,520
Steelix,LV8,14,3,8,520
Steelix,LV8,14,4,8,520
Steelix,LV8,14,5,7,520
Steelix,LV8,14,6,6,520
Steelix,LV8,14,8,5,520
Steelix,LV8,14,9,4,520
Steelix,LV8,14,10,4,520
Steelix,LV8,14,11,3,520
Steelix,LV8,14,12,2,520
Steelix,LV8,14,13,2,520
Steelix,LV8,14,14,1,520
Steelix,LV8,15,0,8,520
Steelix,LV8,15,2,7,520
Steelix,LV8,15,3,6,520
Steelix,LV8,15,4,5,520
Steelix,LV8,15,5,5,520
Steelix,LV8,15,6,4,520
Steelix,LV8,15,7,3,520
Steelix,LV8,15,8,3,520
Steelix,LV8,15,9,2,520
Steelix,LV8,15,11,1,520
Steelix,LV8,15,12,0,520
