Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Steenee,LV35,0,0,0,520
Steenee,LV34.5,0,0,2,520
Steenee,LV34,0,0,4,520
Steenee,LV33,0,0,9,520
Steenee,LV32,0,0,14,520
Steenee,LV34,0,1,3,520
Steenee,LV33.5,0,1,5,520
Steenee,LV32.5,0,1,10,520
Steenee,LV32,0,1,12,520
Steenee,LV34,0,2,1,520
Steenee,LV33,0,2,6,520
Steenee,LV32.5,0,2,8,520
Steenee,LV31.5,0,2,13,520
Steenee,LV34,0,3,0,520
Steenee,LV33.5,0,3,2,520
Steenee,LV33,0,3,4,520
Steenee,LV32,0,3,9,520
Steenee,LV31,0,3,14,520
Steenee,LV33,0,4,3,520
Steenee,LV32.5,0,4,5,520
Steenee,LV31.5,0,4,10,520
Steenee,LV30.5,0,4,15,520
Steenee,LV32,0,5,6,520
Steenee,LV31,0,5,11,520
Steenee,LV33,0,6,0,520
Steenee,LV32.5,0,6,2,520
Steenee,LV31.5,0,6,7,520
Steenee,LV30.5,0,6,12,520
Steenee,LV32.5,0,7,1,520
Steenee,LV32,0,7,3,520
Steenee,LV31,0,7,8,520
Steenee,LV30.5,0,7,10,520
Steenee,LV30,0,7,13,520
Steenee,LV31.5,0,8,4,520
Steenee,LV30.5,0,8,9,520
Steenee,LV32,0,9,0,520
Steenee,LV31,0,9,5,520
Steenee,LV30,0,9,10,520
Steenee,LV29.5,0,9,15,520
Steenee,LV31.5,0,10,1,520
Steenee,LV30.5,0,10,6,520
Steenee,LV31.5,0,11,0,520
Steenee,LV31,0,11,2,520
Steenee,LV30,0,11,7,520
Steenee,LV29.5,0,11,12,520
Steenee,LV31,0,12,1,520
Steenee,LV30.5,0,12,3,520
Steenee,LV30.5,0,13,2,520
Steenee,LV30,0,13,4,520
Steenee,LV29.5,0,13,9,520
Steenee,LV30,0,14,3,520
Steenee,LV29.5,0,14,8,520
Steenee,LV29,0,14,13,520
Steenee,LV33.5,1,0,3,520
Steenee,LV33,1,0,5,520
Steenee,LV32,1,0,10,520
Steenee,LV31,1,0,15,520
Steenee,LV32.5,1,1,6,520
Steenee,LV31.5,1,1,11,520
Steenee,LV31,1,1,13,520
Steenee,LV33.5,1,2,0,520
Steenee,LV33,1,2,2,520
Steenee,LV32,1,2,7,520
Steenee,LV31.5,1,2,9,520
Steenee,LV30.5,1,2,14,520
Steenee,LV32.5,1,3,3,520
Steenee,LV32,1,3,5,520
Steenee,LV31,1,3,10,520
Steenee,LV30,1,3,15,520
Steenee,LV32,1,4,4,520
Steenee,LV31.5,1,4,6,520
Steenee,LV30.5,1,4,11,520
Steenee,LV32.5,1,5,0,520
Steenee,LV32,1,5,2,520
Steenee,LV31,1,5,7,520
Steenee,LV30,1,5,12,520
Steenee,LV32,1,6,1,520
Steenee,LV31.5,1,6,3,520
Steenee,LV30.5,1,6,8,520
Steenee,LV31,1,7,4,520
Steenee,LV30,1,7,9,520
Steenee,LV29.5,1,7,14,520
Steenee,LV30.5,1,8,5,520
Steenee,LV31,1,9,1,520
Steenee,LV30,1,9,6,520
Steenee,LV29.5,1,9,11,520
Steenee,LV31,1,10,0,520
Steenee,LV30.5,1,10,2,520
Steenee,LV29,1,10,15,520
Steenee,LV30.5,1,11,1,520
Steenee,LV30,1,11,3,520
Steenee,LV29.5,1,11,8,520
Steenee,LV30,1,12,2,520
Steenee,LV29.5,1,12,7,520
Steenee,LV29,1,12,12,520
Steenee,LV29.5,1,14,4,520
Steenee,LV29,1,14,9,520
Steenee,LV28.5,1,15,13,520
Steenee,LV32.5,2,0,4,520
Steenee,LV32,2,0,6,520
Steenee,LV31,2,0,11,520
Steenee,LV33,2,1,0,520
Steenee,LV32.5,2,1,2,520
Steenee,LV31.5,2,1,7,520
Steenee,LV30.5,2,1,12,520
Steenee,LV32.5,2,2,1,520
Steenee,LV32,2,2,3,520
Steenee,LV31,2,2,8,520
Steenee,LV30,2,2,13,520
Steenee,LV31.5,2,3,4,520
Steenee,LV30.5,2,3,9,520
Steenee,LV30,2,3,11,520
Steenee,LV32,2,4,0,520
Steenee,LV31,2,4,5,520
Steenee,LV30.5,2,4,7,520
Steenee,LV29.5,2,4,15,520
Steenee,LV31.5,2,5,1,520
Steenee,LV30.5,2,5,6,520
Steenee,LV30,2,5,8,520
Steenee,LV29.5,2,5,13,520
Steenee,LV31,2,6,2,520
Steenee,LV30.5,2,6,4,520
Steenee,LV29.5,2,6,12,520
Steenee,LV30.5,2,7,3,520
Steenee,LV30,2,7,5,520
Steenee,LV29.5,2,7,10,520
Steenee,LV30,2,8,4,520
Steenee,LV29.5,2,8,9,520
Steenee,LV29,2,8,14,520
Steenee,LV30.5,2,9,0,520
Steenee,LV29.5,2,9,7,520
Steenee,LV30,2,10,1,520
Steenee,LV29.5,2,10,6,520
Steenee,LV29,2,10,11,520
Steenee,LV28.5,2,11,15,520
Steenee,LV29.5,2,12,3,520
Steenee,LV29,2,12,8,520
Steenee,LV29.5,2,13,2,520
Steenee,LV28.5,2,13,12,520
Steenee,LV29,2,15,4,520
Steenee,LV28.5,2,15,9,520
Steenee,LV32.5,3,0,0,520
Steenee,LV31.5,3,0,5,520
Steenee,LV31,3,0,7,520
Steenee,LV30.5,3,0,10,520
Steenee,LV30,3,0,12,520
Steenee,LV32,3,1,1,520
Steenee,LV30.5,3,1,8,520
Steenee,LV31.5,3,2,2,520
Steenee,LV31,3,2,4,520
Steenee,LV30,3,2,9,520
Steenee,LV29.5,3,2,14,520
Steenee,LV30.5,3,3,5,520
Steenee,LV31,3,4,1,520
Steenee,LV30,3,4,6,520
Steenee,LV29.5,3,4,11,520
