Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Stonjourner,LV6.5,0,0,14,520
Stonjourner,LV6.5,0,1,12,520
Stonjourner,LV6.5,0,2,11,520
Stonjourner,LV6.5,0,3,10,520
Stonjourner,LV6.5,0,4,8,520
Stonjourner,LV6.5,0,5,7,520
Stonjourner,LV6.5,0,6,6,520
Stonjourner,LV6.5,0,7,5,520
Stonjourner,LV6.5,0,9,2,520
Stonjourner,LV6.5,0,10,1,520
Stonjourner,LV6.5,0,11,0,520
Stonjourner,LV6.5,1,0,11,520
Stonjourner,LV6.5,1,1,10,520
Stonjourner,LV6.5,1,2,9,520
Stonjourner,LV6.5,1,3,8,520
Stonjourner,LV6.5,1,4,6,520
Stonjourner,LV6.5,1,5,5,520
Stonjourner,LV6.5,1,6,4,520
Stonjourner,LV6.5,1,7,3,520
Stonjourner,LV6.5,1,9,0,520
Stonjourner,LV6.5,2,0,9,520
Stonjourner,LV6.5,2,1,8,520
Stonjourner,LV6.5,2,2,7,520
Stonjourner,LV6.5,2,4,4,520
Stonjourner,LV6.5,2,5,3,520
Stonjourner,LV6.5,2,6,2,520
Stonjourner,LV6.5,2,7,1,520
Stonjourner,LV6.5,3,0,7,520
Stonjourner,LV6.5,3,1,6,520
Stonjourner,LV6.5,3,2,5,520
Stonjourner,LV6.5,3,4,2,520
Stonjourner,LV6.5,3,5,1,520
Stonjourner,LV6.5,3,6,0,520
Stonjourner,LV6.5,4,0,5,520
Stonjourner,LV6.5,4,1,4,520
Stonjourner,LV6.5,4,2,3,520
Stonjourner,LV6.5,4,4,0,520
Stonjourner,LV6.5,5,0,3,520
Stonjourner,LV6.5,5,1,2,520
Stonjourner,LV6.5,5,2,1,520
Stonjourner,LV6.5,6,0,1,520
Stonjourner,LV6.5,6,1,0,520
Stonjourner,LV6,10,15,15,520
Stonjourner,LV6,11,14,15,520
Stonjourner,LV6,11,15,13,520
Stonjourner,LV6,12,12,15,520
Stonjourner,LV6,12,13,14,520
Stonjourner,LV6,12,15,11,520
Stonjourner,LV6,13,10,15,520
Stonjourner,LV6,13,11,14,520
Stonjourner,LV6,13,12,13,520
Stonjourner,LV6,13,13,12,520
Stonjourner,LV6,13,15,9,520
Stonjourner,LV6,14,9,15,520
Stonjourner,LV6,14,10,13,520
Stonjourner,LV6,14,11,12,520
Stonjourner,LV6,14,12,11,520
Stonjourner,LV6,14,13,10,520
Stonjourner,LV6,14,15,7,520
Stonjourner,LV6,15,7,15,520
Stonjourner,LV6,15,8,14,520
Stonjourner,LV6,15,9,13,520
Stonjourner,LV6,15,10,11,520
Stonjourner,LV6,15,11,10,520
Stonjourner,LV6,15,12,9,520
Stonjourner,LV6,15,13,8,520
Stonjourner,LV6,15,15,5,520
