Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Stufful,LV16.5,0,0,6,520
Stufful,LV16.5,0,1,4,520
Stufful,LV16,0,1,15,520
Stufful,LV16.5,0,2,2,520
Stufful,LV16,0,2,13,520
Stufful,LV16,0,3,11,520
Stufful,LV16,0,5,8,520
Stufful,LV16,0,6,6,520
Stufful,LV16,0,7,4,520
Stufful,LV15.5,0,8,14,520
Stufful,LV16,0,9,1,520
Stufful,LV15.5,0,9,12,520
Stufful,LV15.5,0,10,10,520
Stufful,LV15.5,0,12,7,520
Stufful,LV15.5,0,13,5,520
Stufful,LV15.5,0,15,2,520
Stufful,LV15,0,15,14,520
Stufful,LV16.5,1,0,3,520
Stufful,LV16,1,3,9,520
Stufful,LV16,1,4,7,520
Stufful,LV16,1,5,5,520
Stufful,LV16,1,6,3,520
Stufful,LV15.5,1,6,15,520
Stufful,LV15.5,1,7,13,520
Stufful,LV16,1,8,0,520
Stufful,LV15.5,1,8,11,520
Stufful,LV15.5,1,10,8,520
Stufful,LV15.5,1,11,6,520
Stufful,LV15.5,1,12,4,520
Stufful,LV15.5,1,13,3,520
Stufful,LV15.5,1,14,1,520
Stufful,LV15,1,14,13,520
Stufful,LV15,1,15,11,520
Stufful,LV16.5,2,0,1,520
Stufful,LV16,2,0,12,520
Stufful,LV16,2,1,10,520
Stufful,LV16,2,2,8,520
Stufful,LV16,2,3,6,520
Stufful,LV16,2,4,4,520
Stufful,LV15.5,2,5,14,520
Stufful,LV16,2,6,1,520
Stufful,LV15.5,2,6,12,520
Stufful,LV15.5,2,7,10,520
Stufful,LV15.5,2,9,7,520
Stufful,LV15.5,2,10,5,520
Stufful,LV15,2,11,15,520
Stufful,LV15.5,2,12,2,520
Stufful,LV15.5,2,13,0,520
Stufful,LV15,2,13,12,520
Stufful,LV15,2,14,10,520
Stufful,LV16,3,0,9,520
Stufful,LV16,3,1,7,520
Stufful,LV16,3,2,5,520
Stufful,LV15.5,3,3,15,520
Stufful,LV16,3,4,2,520
Stufful,LV15.5,3,4,13,520
Stufful,LV16,3,5,0,520
Stufful,LV15.5,3,5,11,520
Stufful,LV15.5,3,7,8,520
Stufful,LV15.5,3,8,6,520
Stufful,LV15.5,3,9,4,520
Stufful,LV15,3,10,14,520
Stufful,LV15.5,3,11,1,520
Stufful,LV15,3,12,11,520
Stufful,LV15,3,13,9,520
Stufful,LV15,3,15,6,520
Stufful,LV16,4,2,3,520
Stufful,LV15.5,4,2,14,520
Stufful,LV16,4,3,1,520
Stufful,LV15.5,4,3,12,520
Stufful,LV15.5,4,6,7,520
Stufful,LV15.5,4,7,5,520
Stufful,LV15,4,8,15,520
Stufful,LV15.5,4,9,2,520
Stufful,LV15.5,4,10,0,520
Stufful,LV15,4,10,12,520
Stufful,LV15,4,11,10,520
Stufful,LV15,4,12,8,520
Stufful,LV15,4,14,5,520
Stufful,LV16,5,0,4,520
Stufful,LV16,5,1,2,520
Stufful,LV16,5,2,0,520
Stufful,LV15.5,5,3,10,520
Stufful,LV15.5,5,4,8,520
Stufful,LV15.5,5,5,6,520
Stufful,LV15.5,5,6,4,520
Stufful,LV15.5,5,8,1,520
Stufful,LV15,5,9,11,520
Stufful,LV15,5,10,9,520
Stufful,LV15,5,12,6,520
Stufful,LV15,5,13,4,520
Stufful,LV14.5,5,14,15,520
Stufful,LV15,5,15,1,520
Stufful,LV14.5,5,15,13,520
Stufful,LV15.5,6,0,13,520
Stufful,LV15.5,6,1,11,520
Stufful,LV15.5,6,2,9,520
Stufful,LV15.5,6,3,7,520
Stufful,LV15.5,6,6,2,520
Stufful,LV15.5,6,7,0,520
Stufful,LV15,6,7,12,520
Stufful,LV15,6,8,10,520
Stufful,LV15,6,9,8,520
Stufful,LV15,6,11,5,520
Stufful,LV15,6,12,3,520
Stufful,LV14.5,6,13,14,520
Stufful,LV15,6,14,0,520
Stufful,LV14.5,6,14,12,520
Stufful,LV15.5,7,0,10,520
Stufful,LV15.5,7,3,5,520
Stufful,LV15.5,7,4,3,520
Stufful,LV15,7,4,15,520
Stufful,LV15.5,7,5,1,520
Stufful,LV15,7,5,13,520
Stufful,LV15,7,6,11,520
Stufful,LV15,7,7,9,520
Stufful,LV15,7,9,6,520
Stufful,LV15,7,10,4,520
Stufful,LV14.5,7,11,15,520
Stufful,LV15,7,12,1,520
Stufful,LV14.5,7,12,13,520
Stufful,LV14.5,7,13,11,520
Stufful,LV14.5,7,15,8,520
Stufful,LV15.5,8,0,8,520
Stufful,LV15.5,8,1,6,520
Stufful,LV15.5,8,2,4,520
Stufful,LV15.5,8,3,2,520
Stufful,LV15,8,3,14,520
Stufful,LV15,8,4,12,520
Stufful,LV15,8,5,10,520
Stufful,LV15,8,7,7,520
Stufful,LV15,8,8,5,520
Stufful,LV15,8,9,3,520
Stufful,LV14.5,8,10,14,520
Stufful,LV15,8,11,0,520
Stufful,LV14.5,8,11,12,520
Stufful,LV14.5,8,12,10,520
Stufful,LV14.5,8,14,7,520
Stufful,LV15.5,9,0,5,520
Stufful,LV15,9,1,15,520
Stufful,LV15.5,9,3,0,520
Stufful,LV15,9,5,8,520
Stufful,LV15,9,6,6,520
Stufful,LV15,9,7,4,520
Stufful,LV14.5,9,8,15,520
Stufful,LV15,9,9,1,520
Stufful,LV14.5,9,9,13,520
Stufful,LV14.5,9,10,11,520
Stufful,LV14.5,9,12,8,520
Stufful,LV14.5,9,13,6,520
Stufful,LV14.5,9,15,3,520
Stufful,LV15.5,10,0,3,520
Stufful,LV15,10,0,15,520
Stufful,LV15.5,10,1,1,520
Stufful,LV15,10,1,13,520
Stufful,LV15,10,2,11,520
Stufful,LV15,10,3,9,520
Stufful,LV15,10,4,7,520
Stufful,LV15,10,7,2,520
Stufful,LV14.5,10,7,14,520
Stufful,LV15,10,8,0,520
Stufful,LV14.5,10,8,12,520
Stufful,LV14.5,10,10,9,520
Stufful,LV14.5,10,11,7,520
Stufful,LV14.5,10,13,4,520
Stufful,LV14.5,10,14,2,520
Stufful,LV14,10,14,15,520
Stufful,LV14,10,15,13,520
Stufful,LV15,11,0,12,520
Stufful,LV15,11,1,10,520
Stufful,LV15,11,4,5,520
Stufful,LV15,11,5,3,520
Stufful,LV14.5,11,5,15,520
Stufful,LV15,11,6,1,520
Stufful,LV14.5,11,8,10,520
Stufful,LV14.5,11,9,8,520
Stufful,LV14.5,11,10,6,520
Stufful,LV14.5,11,12,3,520
Stufful,LV14,11,13,14,520
Stufful,LV14.5,11,14,0,520
Stufful,LV14,11,14,12,520
Stufful,LV15,12,0,10,520
Stufful,LV15,12,1,8,520
Stufful,LV15,12,2,6,520
Stufful,LV15,12,3,4,520
Stufful,LV14.5,12,5,13,520
Stufful,LV14.5,12,6,11,520
Stufful,LV14.5,12,7,9,520
Stufful,LV14.5,12,8,7,520
Stufful,LV14.5,12,10,4,520
Stufful,LV14.5,12,11,2,520
Stufful,LV14,12,11,15,520
Stufful,LV14,12,12,13,520
Stufful,LV14,12,14,10,520
Stufful,LV14,12,15,8,520
Stufful,LV15,13,0,7,520
Stufful,LV15,13,3,2,520
Stufful,LV14.5,13,3,14,520
Stufful,LV15,13,4,0,520
Stufful,LV14.5,13,4,12,520
Stufful,LV14.5,13,5,10,520
Stufful,LV14.5,13,8,5,520
Stufful,LV14.5,13,9,3,520
Stufful,LV14,13,10,14,520
Stufful,LV14.5,13,11,0,520
Stufful,LV14,13,12,11,520
Stufful,LV14,13,13,9,520
Stufful,LV14,13,14,7,520
Stufful,LV14,13,15,6,520
Stufful,LV15,14,0,5,520
Stufful,LV15,14,1,3,520
Stufful,LV14.5,14,1,15,520
Stufful,LV15,14,2,1,520
Stufful,LV14.5,14,5,8,520
Stufful,LV14.5,14,6,6,520
Stufful,LV14.5,14,7,4,520
Stufful,LV14,14,8,15,520
Stufful,LV14.5,14,9,1,520
Stufful,LV14,14,10,12,520
Stufful,LV14,14,11,10,520
Stufful,LV14,14,12,8,520
Stufful,LV14,14,14,5,520
Stufful,LV14.5,15,0,15,520
Stufful,LV15,15,1,1,520
Stufful,LV14.5,15,1,13,520
Stufful,LV14.5,15,2,11,520
Stufful,LV14.5,15,3,9,520
Stufful,LV14.5,15,4,7,520
Stufful,LV14.5,15,6,4,520
Stufful,LV14.5,15,7,2,520
Stufful,LV14.5,15,8,0,520
Stufful,LV14,15,8,13,520
Stufful,LV14,15,9,11,520
Stufful,LV14,15,10,9,520
Stufful,LV14,15,12,6,520
Stufful,LV14,15,13,4,520
Stufful,LV14,15,15,1,520
Stufful,LV13.5,15,15,14,520
