Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Stunfisk Galarian Form,LV10,0,0,0,520
Stunfisk Galarian Form,LV9.5,0,8,15,520
Stunfisk Galarian Form,LV9.5,0,9,14,520
Stunfisk Galarian Form,LV9.5,0,11,11,520
Stunfisk Galarian Form,LV9.5,0,12,10,520
Stunfisk Galarian Form,LV9.5,0,13,8,520
Stunfisk Galarian Form,LV9.5,0,14,7,520
Stunfisk Galarian Form,LV9.5,0,15,6,520
Stunfisk Galarian Form,LV9.5,1,6,15,520
Stunfisk Galarian Form,LV9.5,1,7,13,520
Stunfisk Galarian Form,LV9.5,1,8,12,520
Stunfisk Galarian Form,LV9.5,1,9,10,520
Stunfisk Galarian Form,LV9.5,1,10,9,520
Stunfisk Galarian Form,LV9.5,1,11,8,520
Stunfisk Galarian Form,LV9.5,1,12,6,520
Stunfisk Galarian Form,LV9.5,1,13,5,520
Stunfisk Galarian Form,LV9.5,1,14,4,520
Stunfisk Galarian Form,LV9.5,1,15,2,520
Stunfisk Galarian Form,LV9.5,2,4,14,520
Stunfisk Galarian Form,LV9.5,2,5,13,520
Stunfisk Galarian Form,LV9.5,2,6,11,520
Stunfisk Galarian Form,LV9.5,2,7,10,520
Stunfisk Galarian Form,LV9.5,2,8,8,520
Stunfisk Galarian Form,LV9.5,2,9,7,520
Stunfisk Galarian Form,LV9.5,2,10,6,520
Stunfisk Galarian Form,LV9.5,2,11,4,520
Stunfisk Galarian Form,LV9.5,2,12,3,520
Stunfisk Galarian Form,LV9.5,2,13,2,520
Stunfisk Galarian Form,LV9.5,2,14,0,520
Stunfisk Galarian Form,LV9.5,3,1,15,520
Stunfisk Galarian Form,LV9.5,3,3,12,520
Stunfisk Galarian Form,LV9.5,3,4,11,520
Stunfisk Galarian Form,LV9.5,3,5,9,520
Stunfisk Galarian Form,LV9.5,3,6,8,520
Stunfisk Galarian Form,LV9.5,3,7,6,520
Stunfisk Galarian Form,LV9.5,3,8,5,520
Stunfisk Galarian Form,LV9.5,3,9,4,520
Stunfisk Galarian Form,LV9.5,3,10,2,520
Stunfisk Galarian Form,LV9.5,3,11,1,520
Stunfisk Galarian Form,LV9.5,3,12,0,520
Stunfisk Galarian Form,LV9.5,4,0,13,520
Stunfisk Galarian Form,LV9.5,4,1,12,520
Stunfisk Galarian Form,LV9.5,4,2,10,520
Stunfisk Galarian Form,LV9.5,4,3,9,520
Stunfisk Galarian Form,LV9.5,4,4,7,520
Stunfisk Galarian Form,LV9.5,4,5,6,520
Stunfisk Galarian Form,LV9.5,4,6,4,520
Stunfisk Galarian Form,LV9.5,4,7,3,520
Stunfisk Galarian Form,LV9.5,4,8,2,520
Stunfisk Galarian Form,LV9.5,4,9,0,520
Stunfisk Galarian Form,LV9.5,5,0,10,520
Stunfisk Galarian Form,LV9.5,5,1,8,520
Stunfisk Galarian Form,LV9.5,5,2,7,520
Stunfisk Galarian Form,LV9.5,5,3,5,520
Stunfisk Galarian Form,LV9.5,5,4,4,520
Stunfisk Galarian Form,LV9.5,5,6,1,520
Stunfisk Galarian Form,LV9.5,5,7,0,520
Stunfisk Galarian Form,LV9.5,6,0,6,520
Stunfisk Galarian Form,LV9.5,6,1,5,520
Stunfisk Galarian Form,LV9.5,6,2,3,520
Stunfisk Galarian Form,LV9.5,6,3,2,520
Stunfisk Galarian Form,LV9.5,6,4,1,520
Stunfisk Galarian Form,LV9,6,14,15,520
Stunfisk Galarian Form,LV9,6,15,14,520
Stunfisk Galarian Form,LV9.5,7,0,3,520
Stunfisk Galarian Form,LV9.5,7,1,2,520
Stunfisk Galarian Form,LV9.5,7,2,0,520
Stunfisk Galarian Form,LV9,7,12,15,520
Stunfisk Galarian Form,LV9,7,13,13,520
Stunfisk Galarian Form,LV9,7,14,12,520
Stunfisk Galarian Form,LV9,7,15,11,520
Stunfisk Galarian Form,LV9.5,8,0,0,520
Stunfisk Galarian Form,LV9,8,10,14,520
Stunfisk Galarian Form,LV9,8,11,13,520
Stunfisk Galarian Form,LV9,8,12,11,520
Stunfisk Galarian Form,LV9,8,13,10,520
Stunfisk Galarian Form,LV9,8,14,9,520
Stunfisk Galarian Form,LV9,8,15,7,520
Stunfisk Galarian Form,LV9,9,7,15,520
Stunfisk Galarian Form,LV9,9,8,14,520
Stunfisk Galarian Form,LV9,9,9,12,520
Stunfisk Galarian Form,LV9,9,10,11,520
Stunfisk Galarian Form,LV9,9,11,9,520
Stunfisk Galarian Form,LV9,9,12,8,520
Stunfisk Galarian Form,LV9,9,13,7,520
Stunfisk Galarian Form,LV9,9,14,5,520
Stunfisk Galarian Form,LV9,9,15,4,520
Stunfisk Galarian Form,LV9,10,5,15,520
Stunfisk Galarian Form,LV9,10,6,13,520
Stunfisk Galarian Form,LV9,10,7,12,520
Stunfisk Galarian Form,LV9,10,8,10,520
Stunfisk Galarian Form,LV9,10,9,9,520
Stunfisk Galarian Form,LV9,10,10,8,520
Stunfisk Galarian Form,LV9,10,11,6,520
Stunfisk Galarian Form,LV9,10,12,5,520
Stunfisk Galarian Form,LV9,10,13,4,520
Stunfisk Galarian Form,LV9,10,14,2,520
Stunfisk Galarian Form,LV9,10,15,1,520
Stunfisk Galarian Form,LV9,11,3,14,520
Stunfisk Galarian Form,LV9,11,4,13,520
Stunfisk Galarian Form,LV9,11,5,11,520
Stunfisk Galarian Form,LV9,11,6,10,520
Stunfisk Galarian Form,LV9,11,7,9,520
Stunfisk Galarian Form,LV9,11,8,7,520
Stunfisk Galarian Form,LV9,11,9,6,520
Stunfisk Galarian Form,LV9,11,10,4,520
Stunfisk Galarian Form,LV9,11,11,3,520
Stunfisk Galarian Form,LV9,11,12,2,520
Stunfisk Galarian Form,LV9,11,13,0,520
Stunfisk Galarian Form,LV9,12,0,15,520
Stunfisk Galarian Form,LV9,12,1,14,520
Stunfisk Galarian Form,LV9,12,2,12,520
Stunfisk Galarian Form,LV9,12,3,11,520
Stunfisk Galarian Form,LV9,12,4,10,520
Stunfisk Galarian Form,LV9,12,5,8,520
Stunfisk Galarian Form,LV9,12,6,7,520
Stunfisk Galarian Form,LV9,12,7,5,520
Stunfisk Galarian Form,LV9,12,8,4,520
Stunfisk Galarian Form,LV9,12,9,3,520
Stunfisk Galarian Form,LV9,12,10,1,520
Stunfisk Galarian Form,LV9,12,11,0,520
Stunfisk Galarian Form,LV9,13,0,12,520
Stunfisk Galarian Form,LV9,13,1,11,520
Stunfisk Galarian Form,LV9,13,2,9,520
Stunfisk Galarian Form,LV9,13,3,8,520
Stunfisk Galarian Form,LV9,13,4,6,520
Stunfisk Galarian Form,LV9,13,5,5,520
Stunfisk Galarian Form,LV9,13,6,4,520
Stunfisk Galarian Form,LV9,13,7,2,520
Stunfisk Galarian Form,LV9,13,8,1,520
Stunfisk Galarian Form,LV9,13,9,0,520
Stunfisk Galarian Form,LV9,14,0,9,520
Stunfisk Galarian Form,LV9,14,1,8,520
Stunfisk Galarian Form,LV9,14,2,6,520
Stunfisk Galarian Form,LV9,14,3,5,520
Stunfisk Galarian Form,LV9,14,4,3,520
Stunfisk Galarian Form,LV9,14,5,2,520
Stunfisk Galarian Form,LV9,14,6,1,520
Stunfisk Galarian Form,LV9,15,0,6,520
Stunfisk Galarian Form,LV9,15,1,4,520
Stunfisk Galarian Form,LV9,15,2,3,520
Stunfisk Galarian Form,LV9,15,3,2,520
Stunfisk Galarian Form,LV9,15,4,0,520
Stunfisk Galarian Form,LV8.5,15,15,15,520
