Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Sudowoodo,LV10,0,0,1,520
Sudowoodo,LV10,0,1,0,520
Sudowoodo,LV9.5,0,6,15,520
Sudowoodo,LV9.5,0,7,14,520
Sudowoodo,LV9.5,0,8,13,520
Sudowoodo,LV9.5,0,9,12,520
Sudowoodo,LV9.5,0,10,11,520
Sudowoodo,LV9.5,0,11,10,520
Sudowoodo,LV9.5,0,12,9,520
Sudowoodo,LV9.5,0,13,8,520
Sudowoodo,LV9.5,0,14,7,520
Sudowoodo,LV9.5,0,15,6,520
Sudowoodo,LV9.5,1,14,5,520
Sudowoodo,LV9.5,1,15,4,520
Sudowoodo,LV9.5,2,4,12,520
Sudowoodo,LV9.5,2,5,11,520
Sudowoodo,LV9.5,2,6,10,520
Sudowoodo,LV9.5,2,7,9,520
Sudowoodo,LV9.5,2,8,8,520
Sudowoodo,LV9.5,2,15,2,520
Sudowoodo,LV9.5,3,0,14,520
Sudowoodo,LV9.5,3,1,13,520
Sudowoodo,LV9.5,3,2,12,520
Sudowoodo,LV9.5,3,3,11,520
Sudowoodo,LV9.5,3,4,10,520
Sudowoodo,LV9.5,3,5,9,520
Sudowoodo,LV9.5,3,6,8,520
Sudowoodo,LV9.5,3,7,7,520
Sudowoodo,LV9.5,3,8,6,520
Sudowoodo,LV9.5,3,9,5,520
Sudowoodo,LV9.5,3,10,4,520
Sudowoodo,LV9.5,3,15,0,520
Sudowoodo,LV9.5,4,0,12,520
Sudowoodo,LV9.5,4,1,11,520
Sudowoodo,LV9.5,4,2,10,520
Sudowoodo,LV9.5,4,3,9,520
Sudowoodo,LV9.5,4,4,8,520
Sudowoodo,LV9.5,4,5,7,520
Sudowoodo,LV9.5,4,6,6,520
Sudowoodo,LV9.5,4,7,5,520
Sudowoodo,LV9.5,4,8,4,520
Sudowoodo,LV9.5,4,9,3,520
Sudowoodo,LV9.5,4,10,2,520
Sudowoodo,LV9.5,4,11,1,520
Sudowoodo,LV9.5,5,0,10,520
Sudowoodo,LV9.5,5,1,9,520
Sudowoodo,LV9.5,5,2,8,520
Sudowoodo,LV9.5,5,3,7,520
Sudowoodo,LV9.5,5,4,6,520
Sudowoodo,LV9.5,5,5,5,520
Sudowoodo,LV9.5,5,6,4,520
Sudowoodo,LV9.5,5,7,3,520
Sudowoodo,LV9.5,5,8,2,520
Sudowoodo,LV9.5,5,9,1,520
Sudowoodo,LV9.5,5,10,0,520
Sudowoodo,LV9.5,6,0,8,520
Sudowoodo,LV9.5,6,1,7,520
Sudowoodo,LV9.5,6,2,6,520
Sudowoodo,LV9.5,6,3,5,520
Sudowoodo,LV9.5,6,4,4,520
Sudowoodo,LV9.5,6,5,3,520
Sudowoodo,LV9.5,6,6,2,520
Sudowoodo,LV9.5,6,7,1,520
Sudowoodo,LV9.5,6,8,0,520
Sudowoodo,LV9,6,14,15,520
Sudowoodo,LV9,6,15,14,520
Sudowoodo,LV9.5,7,0,6,520
Sudowoodo,LV9.5,7,1,5,520
Sudowoodo,LV9.5,7,2,4,520
Sudowoodo,LV9.5,7,3,3,520
Sudowoodo,LV9.5,7,4,2,520
Sudowoodo,LV9.5,7,5,1,520
Sudowoodo,LV9.5,7,6,0,520
Sudowoodo,LV9,7,12,15,520
Sudowoodo,LV9,7,13,14,520
Sudowoodo,LV9,7,14,13,520
Sudowoodo,LV9,7,15,12,520
Sudowoodo,LV9.5,8,0,4,520
Sudowoodo,LV9.5,8,1,3,520
Sudowoodo,LV9.5,8,2,2,520
Sudowoodo,LV9.5,8,3,1,520
Sudowoodo,LV9.5,8,4,0,520
Sudowoodo,LV9,8,14,11,520
Sudowoodo,LV9,8,15,10,520
Sudowoodo,LV9.5,9,0,2,520
Sudowoodo,LV9.5,9,1,1,520
Sudowoodo,LV9.5,9,2,0,520
Sudowoodo,LV9.5,10,0,0,520
Sudowoodo,LV9,11,5,13,520
Sudowoodo,LV9,11,6,12,520
Sudowoodo,LV9,11,7,11,520
Sudowoodo,LV9,11,8,10,520
Sudowoodo,LV9,11,9,9,520
Sudowoodo,LV9,12,3,13,520
Sudowoodo,LV9,12,4,12,520
Sudowoodo,LV9,12,5,11,520
Sudowoodo,LV9,12,6,10,520
Sudowoodo,LV9,12,7,9,520
Sudowoodo,LV9,12,8,8,520
Sudowoodo,LV9,12,9,7,520
Sudowoodo,LV9,12,15,2,520
Sudowoodo,LV9,13,1,13,520
Sudowoodo,LV9,13,2,12,520
Sudowoodo,LV9,13,3,11,520
Sudowoodo,LV9,13,4,10,520
Sudowoodo,LV9,13,5,9,520
Sudowoodo,LV9,13,6,8,520
Sudowoodo,LV9,13,7,7,520
Sudowoodo,LV9,13,8,6,520
Sudowoodo,LV9,13,9,5,520
Sudowoodo,LV9,13,15,0,520
Sudowoodo,LV9,14,0,12,520
Sudowoodo,LV9,14,1,11,520
Sudowoodo,LV9,14,2,10,520
Sudowoodo,LV9,14,3,9,520
Sudowoodo,LV9,14,4,8,520
Sudowoodo,LV9,14,5,7,520
Sudowoodo,LV9,14,6,6,520
Sudowoodo,LV9,14,7,5,520
Sudowoodo,LV9,14,8,4,520
Sudowoodo,LV9,15,0,10,520
Sudowoodo,LV9,15,1,9,520
Sudowoodo,LV9,15,2,8,520
Sudowoodo,LV9,15,3,7,520
Sudowoodo,LV9,15,4,6,520
Sudowoodo,LV9,15,5,5,520
Sudowoodo,LV9,15,6,4,520
