Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Swanna,LV10,0,1,12,520
Swanna,LV10,0,3,9,520
Swanna,LV10,0,4,8,520
Swanna,LV10,0,5,6,520
Swanna,LV10,0,6,5,520
Swanna,LV10,0,7,4,520
Swanna,LV10,0,8,2,520
Swanna,LV10,0,9,1,520
Swanna,LV10,0,10,0,520
Swanna,LV9.5,0,14,15,520
Swanna,LV10,1,0,11,520
Swanna,LV10,1,1,10,520
Swanna,LV10,1,3,7,520
Swanna,LV10,1,4,6,520
Swanna,LV10,1,5,4,520
Swanna,LV10,1,6,3,520
Swanna,LV10,1,7,2,520
Swanna,LV10,1,8,0,520
Swanna,LV9.5,1,13,14,520
Swanna,LV9.5,1,14,13,520
Swanna,LV10,2,0,9,520
Swanna,LV10,2,1,8,520
Swanna,LV10,2,3,5,520
Swanna,LV10,2,4,4,520
Swanna,LV10,2,5,2,520
Swanna,LV10,2,6,1,520
Swanna,LV10,2,7,0,520
Swanna,LV9.5,2,11,15,520
Swanna,LV9.5,2,13,12,520
Swanna,LV9.5,2,14,11,520
Swanna,LV10,3,0,7,520
Swanna,LV10,3,1,6,520
Swanna,LV10,3,3,3,520
Swanna,LV10,3,4,2,520
Swanna,LV10,3,5,0,520
Swanna,LV9.5,3,10,14,520
Swanna,LV9.5,3,11,13,520
Swanna,LV9.5,3,12,11,520
Swanna,LV9.5,3,13,10,520
Swanna,LV9.5,3,14,9,520
Swanna,LV10,4,0,5,520
Swanna,LV10,4,1,4,520
Swanna,LV10,4,3,1,520
Swanna,LV10,4,4,0,520
Swanna,LV9.5,4,8,15,520
Swanna,LV9.5,4,9,13,520
Swanna,LV9.5,4,10,12,520
Swanna,LV9.5,4,12,9,520
Swanna,LV9.5,4,13,8,520
Swanna,LV9.5,4,15,5,520
Swanna,LV10,5,0,3,520
Swanna,LV10,5,1,2,520
Swanna,LV9.5,5,7,14,520
Swanna,LV9.5,5,9,11,520
Swanna,LV9.5,5,10,10,520
Swanna,LV9.5,5,12,7,520
Swanna,LV9.5,5,13,6,520
Swanna,LV10,6,0,1,520
Swanna,LV10,6,1,0,520
Swanna,LV9.5,6,5,15,520
Swanna,LV9.5,6,6,13,520
Swanna,LV9.5,6,7,12,520
Swanna,LV9.5,6,9,9,520
Swanna,LV9.5,6,10,8,520
Swanna,LV9.5,6,12,5,520
Swanna,LV9.5,6,13,4,520
Swanna,LV9.5,6,14,3,520
Swanna,LV9.5,7,4,14,520
Swanna,LV9.5,7,5,13,520
Swanna,LV9.5,7,6,11,520
Swanna,LV9.5,7,7,10,520
Swanna,LV9.5,7,9,7,520
Swanna,LV9.5,7,10,6,520
Swanna,LV9.5,7,12,3,520
Swanna,LV9.5,7,13,2,520
Swanna,LV9.5,7,14,1,520
Swanna,LV9.5,8,2,15,520
Swanna,LV9.5,8,4,12,520
Swanna,LV9.5,8,6,9,520
Swanna,LV9.5,8,7,8,520
Swanna,LV9.5,8,9,5,520
Swanna,LV9.5,8,10,4,520
Swanna,LV9.5,8,12,1,520
Swanna,LV9.5,8,13,0,520
Swanna,LV9.5,9,1,14,520
Swanna,LV9.5,9,2,13,520
Swanna,LV9.5,9,4,10,520
Swanna,LV9.5,9,6,7,520
Swanna,LV9.5,9,7,6,520
Swanna,LV9.5,9,9,3,520
Swanna,LV9.5,9,10,2,520
Swanna,LV9.5,9,11,1,520
Swanna,LV9.5,10,0,14,520
Swanna,LV9.5,10,1,12,520
Swanna,LV9.5,10,2,11,520
Swanna,LV9.5,10,4,8,520
Swanna,LV9.5,10,5,7,520
Swanna,LV9.5,10,6,5,520
Swanna,LV9.5,10,7,4,520
Swanna,LV9.5,10,9,1,520
Swanna,LV9.5,10,10,0,520
Swanna,LV9,10,15,15,520
Swanna,LV9.5,11,0,12,520
Swanna,LV9.5,11,1,10,520
Swanna,LV9.5,11,2,9,520
Swanna,LV9.5,11,4,6,520
Swanna,LV9.5,11,5,5,520
Swanna,LV9.5,11,7,2,520
Swanna,LV9.5,11,8,1,520
Swanna,LV9,11,15,13,520
Swanna,LV9.5,12,0,10,520
Swanna,LV9.5,12,1,8,520
Swanna,LV9.5,12,2,7,520
Swanna,LV9.5,12,4,4,520
Swanna,LV9.5,12,5,3,520
Swanna,LV9.5,12,7,0,520
Swanna,LV9,12,12,15,520
Swanna,LV9,12,13,14,520
Swanna,LV9,12,15,11,520
Swanna,LV9.5,13,0,8,520
Swanna,LV9.5,13,2,5,520
Swanna,LV9.5,13,4,2,520
Swanna,LV9.5,13,5,1,520
Swanna,LV9,13,12,13,520
Swanna,LV9,13,13,12,520
Swanna,LV9,13,15,9,520
Swanna,LV9.5,14,0,6,520
Swanna,LV9.5,14,2,3,520
Swanna,LV9.5,14,3,2,520
Swanna,LV9,14,9,15,520
Swanna,LV9,14,10,14,520
Swanna,LV9,14,12,11,520
Swanna,LV9,14,13,10,520
Swanna,LV9,14,15,7,520
Swanna,LV9.5,15,0,4,520
Swanna,LV9.5,15,2,1,520
Swanna,LV9.5,15,3,0,520
Swanna,LV9,15,9,13,520
Swanna,LV9,15,10,12,520
Swanna,LV9,15,12,9,520
Swanna,LV9,15,13,8,520
Swanna,LV9,15,15,5,520
