Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Swellow,LV11,0,1,9,520
Swellow,LV11,0,2,8,520
Swellow,LV11,0,5,4,520
Swellow,LV11,0,6,3,520
Swellow,LV11,0,7,2,520
Swellow,LV10.5,0,10,13,520
Swellow,LV10.5,0,11,12,520
Swellow,LV10.5,0,12,11,520
Swellow,LV10.5,0,14,8,520
Swellow,LV10.5,0,15,7,520
Swellow,LV11,1,0,9,520
Swellow,LV11,1,2,6,520
Swellow,LV11,1,3,5,520
Swellow,LV11,1,4,4,520
Swellow,LV11,1,6,1,520
Swellow,LV11,1,7,0,520
Swellow,LV10.5,1,7,15,520
Swellow,LV10.5,1,8,14,520
Swellow,LV10.5,1,11,10,520
Swellow,LV10.5,1,12,9,520
Swellow,LV10.5,1,13,8,520
Swellow,LV11,2,0,7,520
Swellow,LV11,2,1,6,520
Swellow,LV11,2,3,3,520
Swellow,LV11,2,4,2,520
Swellow,LV11,2,5,1,520
Swellow,LV10.5,2,8,12,520
Swellow,LV10.5,2,9,11,520
Swellow,LV10.5,2,12,7,520
Swellow,LV10.5,2,13,6,520
Swellow,LV10.5,2,14,5,520
Swellow,LV11,3,1,4,520
Swellow,LV11,3,2,3,520
Swellow,LV10.5,3,5,14,520
Swellow,LV10.5,3,6,13,520
Swellow,LV10.5,3,8,10,520
Swellow,LV10.5,3,9,9,520
Swellow,LV10.5,3,10,8,520
Swellow,LV10.5,3,13,4,520
Swellow,LV10.5,3,14,3,520
Swellow,LV10.5,3,15,2,520
Swellow,LV11,4,2,1,520
Swellow,LV11,4,3,0,520
Swellow,LV10.5,4,3,15,520
Swellow,LV10.5,4,6,11,520
Swellow,LV10.5,4,7,10,520
Swellow,LV10.5,4,10,6,520
Swellow,LV10.5,4,11,5,520
Swellow,LV10.5,4,12,4,520
Swellow,LV11,5,0,2,520
Swellow,LV11,5,1,1,520
Swellow,LV10.5,5,3,13,520
Swellow,LV10.5,5,4,12,520
Swellow,LV10.5,5,7,8,520
Swellow,LV10.5,5,8,7,520
Swellow,LV10.5,5,11,3,520
Swellow,LV10.5,5,12,2,520
Swellow,LV10.5,5,13,1,520
Swellow,LV10.5,5,14,0,520
Swellow,LV10.5,6,1,14,520
Swellow,LV10.5,6,2,13,520
Swellow,LV10.5,6,4,10,520
Swellow,LV10.5,6,5,9,520
Swellow,LV10.5,6,8,5,520
Swellow,LV10.5,6,9,4,520
Swellow,LV10.5,6,10,3,520
Swellow,LV10,6,13,15,520
Swellow,LV10,6,14,14,520
Swellow,LV10.5,7,0,14,520
Swellow,LV10.5,7,2,11,520
Swellow,LV10.5,7,3,10,520
Swellow,LV10.5,7,5,7,520
Swellow,LV10.5,7,6,6,520
Swellow,LV10.5,7,7,5,520
Swellow,LV10.5,7,9,2,520
Swellow,LV10.5,7,10,1,520
Swellow,LV10.5,7,11,0,520
Swellow,LV10,7,14,12,520
Swellow,LV10,7,15,11,520
Swellow,LV10.5,8,0,12,520
Swellow,LV10.5,8,3,8,520
Swellow,LV10.5,8,4,7,520
Swellow,LV10.5,8,6,4,520
Swellow,LV10.5,8,7,3,520
Swellow,LV10.5,8,8,2,520
Swellow,LV10,8,11,14,520
Swellow,LV10,8,12,13,520
Swellow,LV10,8,15,9,520
Swellow,LV10.5,9,0,10,520
Swellow,LV10.5,9,1,9,520
Swellow,LV10.5,9,4,5,520
Swellow,LV10.5,9,5,4,520
Swellow,LV10.5,9,8,0,520
Swellow,LV10,9,9,15,520
Swellow,LV10,9,12,11,520
Swellow,LV10,9,13,10,520
Swellow,LV10,9,14,9,520
Swellow,LV10.5,10,1,7,520
Swellow,LV10.5,10,2,6,520
Swellow,LV10.5,10,3,5,520
Swellow,LV10.5,10,5,2,520
Swellow,LV10.5,10,6,1,520
Swellow,LV10.5,10,7,0,520
Swellow,LV10,10,9,13,520
Swellow,LV10,10,10,12,520
Swellow,LV10,10,13,8,520
Swellow,LV10,10,14,7,520
Swellow,LV10,10,15,6,520
Swellow,LV10.5,11,0,7,520
Swellow,LV10.5,11,3,3,520
Swellow,LV10.5,11,4,2,520
Swellow,LV10,11,6,15,520
Swellow,LV10,11,7,14,520
Swellow,LV10,11,10,10,520
Swellow,LV10,11,11,9,520
Swellow,LV10,11,12,8,520
Swellow,LV10,11,15,4,520
Swellow,LV10.5,12,0,5,520
Swellow,LV10.5,12,1,4,520
Swellow,LV10.5,12,2,3,520
Swellow,LV10.5,12,4,0,520
Swellow,LV10,12,5,15,520
Swellow,LV10,12,7,12,520
Swellow,LV10,12,8,11,520
Swellow,LV10,12,9,10,520
Swellow,LV10,12,11,7,520
Swellow,LV10,12,12,6,520
Swellow,LV10,12,13,5,520
Swellow,LV10,12,14,4,520
Swellow,LV10.5,13,2,1,520
Swellow,LV10.5,13,3,0,520
Swellow,LV10,13,5,13,520
Swellow,LV10,13,6,12,520
Swellow,LV10,13,8,9,520
Swellow,LV10,13,9,8,520
Swellow,LV10,13,10,7,520
Swellow,LV10,13,13,3,520
Swellow,LV10,13,14,2,520
Swellow,LV10,13,15,1,520
Swellow,LV10.5,14,0,2,520
Swellow,LV10.5,14,1,1,520
Swellow,LV10,14,3,14,520
Swellow,LV10,14,4,13,520
Swellow,LV10,14,6,10,520
Swellow,LV10,14,7,9,520
Swellow,LV10,14,10,5,520
Swellow,LV10,14,11,4,520
Swellow,LV10,14,12,3,520
