Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Swirlix,LV19.5,0,0,0,520
Swirlix,LV19,0,0,9,520
Swirlix,LV19,0,1,7,520
Swirlix,LV19,0,2,6,520
Swirlix,LV18.5,0,2,15,520
Swirlix,LV19,0,4,3,520
Swirlix,LV18.5,0,4,12,520
Swirlix,LV19,0,5,2,520
Swirlix,LV18.5,0,5,11,520
Swirlix,LV18.5,0,7,8,520
Swirlix,LV18.5,0,8,7,520
Swirlix,LV18.5,0,10,4,520
Swirlix,LV18,0,10,13,520
Swirlix,LV18.5,0,11,3,520
Swirlix,LV18,0,11,12,520
Swirlix,LV18.5,0,12,2,520
Swirlix,LV18,0,12,11,520
Swirlix,LV18,0,14,8,520
Swirlix,LV18,0,15,7,520
Swirlix,LV18.5,1,1,13,520
Swirlix,LV19,1,2,3,520
Swirlix,LV18.5,1,2,12,520
Swirlix,LV18.5,1,4,9,520
Swirlix,LV18.5,1,7,5,520
Swirlix,LV18,1,7,14,520
Swirlix,LV18.5,1,8,4,520
Swirlix,LV18,1,8,13,520
Swirlix,LV18.5,1,10,1,520
Swirlix,LV18,1,10,10,520
Swirlix,LV18.5,1,11,0,520
Swirlix,LV18,1,11,9,520
Swirlix,LV18,1,14,5,520
Swirlix,LV18,1,15,4,520
Swirlix,LV17.5,1,15,13,520
Swirlix,LV19,2,0,3,520
Swirlix,LV18.5,2,1,10,520
Swirlix,LV19,2,2,0,520
Swirlix,LV18.5,2,2,9,520
Swirlix,LV18.5,2,4,6,520
Swirlix,LV18,2,4,15,520
Swirlix,LV18.5,2,5,5,520
Swirlix,LV18,2,5,14,520
Swirlix,LV18.5,2,7,2,520
Swirlix,LV18,2,7,11,520
Swirlix,LV18.5,2,8,1,520
Swirlix,LV18,2,8,10,520
Swirlix,LV18,2,10,7,520
Swirlix,LV18,2,11,6,520
Swirlix,LV17.5,2,12,14,520
Swirlix,LV17.5,2,13,13,520
Swirlix,LV18,2,14,2,520
Swirlix,LV18,2,15,1,520
Swirlix,LV17.5,2,15,10,520
Swirlix,LV19,3,0,0,520
Swirlix,LV18.5,3,1,7,520
Swirlix,LV18.5,3,2,6,520
Swirlix,LV18,3,2,15,520
Swirlix,LV18.5,3,4,3,520
Swirlix,LV18,3,4,12,520
Swirlix,LV18.5,3,5,2,520
Swirlix,LV18,3,5,11,520
Swirlix,LV18,3,7,8,520
Swirlix,LV18,3,8,7,520
Swirlix,LV17.5,3,9,15,520
Swirlix,LV18,3,10,4,520
Swirlix,LV17.5,3,10,14,520
Swirlix,LV18,3,11,3,520
Swirlix,LV18,3,12,2,520
Swirlix,LV17.5,3,12,11,520
Swirlix,LV17.5,3,13,10,520
Swirlix,LV17.5,3,15,7,520
Swirlix,LV18,4,0,15,520
Swirlix,LV18.5,4,1,4,520
Swirlix,LV18.5,4,2,3,520
Swirlix,LV18,4,2,12,520
Swirlix,LV18.5,4,4,0,520
Swirlix,LV18,4,4,9,520
Swirlix,LV18,4,5,8,520
Swirlix,LV18,4,7,5,520
Swirlix,LV18,4,8,4,520
Swirlix,LV17.5,4,8,13,520
Swirlix,LV17.5,4,9,12,520
Swirlix,LV18,4,11,0,520
Swirlix,LV17.5,4,12,8,520
Swirlix,LV17.5,4,13,7,520
Swirlix,LV17,4,14,15,520
Swirlix,LV17,4,15,14,520
Swirlix,LV18.5,5,0,3,520
Swirlix,LV18,5,0,12,520
Swirlix,LV18.5,5,2,0,520
Swirlix,LV18,5,2,9,520
Swirlix,LV18,5,4,6,520
Swirlix,LV18,5,5,5,520
Swirlix,LV17.5,5,6,13,520
Swirlix,LV18,5,8,1,520
Swirlix,LV17.5,5,8,10,520
Swirlix,LV18,5,9,0,520
Swirlix,LV17.5,5,9,9,520
Swirlix,LV17.5,5,10,8,520
Swirlix,LV17.5,5,12,5,520
Swirlix,LV17,5,12,15,520
Swirlix,LV17.5,5,13,4,520
Swirlix,LV17.5,5,14,3,520
Swirlix,LV17,5,14,12,520
Swirlix,LV17,5,15,11,520
Swirlix,LV18.5,6,0,0,520
Swirlix,LV18,6,0,9,520
Swirlix,LV18,6,2,6,520
Swirlix,LV18,6,3,5,520
Swirlix,LV17.5,6,3,14,520
Swirlix,LV17.5,6,4,13,520
Swirlix,LV18,6,5,2,520
Swirlix,LV18,6,6,1,520
Swirlix,LV17.5,6,6,10,520
Swirlix,LV17.5,6,7,9,520
Swirlix,LV17.5,6,9,6,520
Swirlix,LV17.5,6,10,5,520
Swirlix,LV17,6,11,13,520
Swirlix,LV17,6,12,12,520
Swirlix,LV17.5,6,13,1,520
Swirlix,LV17.5,6,14,0,520
Swirlix,LV17,6,15,8,520
Swirlix,LV18,7,0,6,520
Swirlix,LV17.5,7,1,14,520
Swirlix,LV18,7,2,3,520
Swirlix,LV18,7,3,2,520
Swirlix,LV17.5,7,3,11,520
Swirlix,LV17.5,7,4,10,520
Swirlix,LV17.5,7,6,7,520
Swirlix,LV17.5,7,7,6,520
Swirlix,LV17,7,8,14,520
Swirlix,LV17.5,7,9,3,520
Swirlix,LV17,7,9,13,520
Swirlix,LV17.5,7,10,2,520
Swirlix,LV17.5,7,11,1,520
Swirlix,LV17,7,11,10,520
Swirlix,LV17,7,12,9,520
Swirlix,LV17,7,13,8,520
Swirlix,LV17,7,15,5,520
Swirlix,LV16.5,7,15,15,520
Swirlix,LV18,8,0,3,520
Swirlix,LV18,8,1,2,520
Swirlix,LV17.5,8,1,11,520
Swirlix,LV17.5,8,2,10,520
Swirlix,LV17.5,8,4,7,520
Swirlix,LV17,8,6,14,520
Swirlix,LV17.5,8,7,3,520
Swirlix,LV17.5,8,8,2,520
Swirlix,LV17,8,8,11,520
Swirlix,LV17,8,9,10,520
Swirlix,LV17,8,10,9,520
Swirlix,LV17,8,12,6,520
Swirlix,LV17,8,13,5,520
Swirlix,LV16.5,8,13,15,520
Swirlix,LV17.5,9,1,8,520
Swirlix,LV17.5,9,2,7,520
Swirlix,LV17,9,3,15,520
Swirlix,LV17.5,9,4,4,520
Swirlix,LV17,9,4,14,520
Swirlix,LV17.5,9,5,3,520
Swirlix,LV17,9,6,11,520
Swirlix,LV17,9,7,10,520
Swirlix,LV17,9,9,7,520
Swirlix,LV17,9,10,6,520
Swirlix,LV16.5,9,12,13,520
Swirlix,LV17,9,13,2,520
Swirlix,LV16.5,9,13,12,520
Swirlix,LV17,9,14,1,520
Swirlix,LV16.5,9,14,11,520
Swirlix,LV17,9,15,0,520
Swirlix,LV17.5,10,0,7,520
Swirlix,LV17,10,1,15,520
Swirlix,LV17.5,10,2,4,520
Swirlix,LV17,10,2,14,520
Swirlix,LV17.5,10,3,3,520
Swirlix,LV17,10,4,11,520
Swirlix,LV17.5,10,5,0,520
Swirlix,LV17,10,6,8,520
Swirlix,LV17,10,7,7,520
Swirlix,LV17,10,10,3,520
Swirlix,LV16.5,10,10,13,520
Swirlix,LV17,10,11,2,520
Swirlix,LV16.5,10,11,12,520
Swirlix,LV16.5,10,13,9,520
Swirlix,LV16.5,10,14,8,520
Swirlix,LV17.5,11,0,4,520
Swirlix,LV17,11,0,14,520
Swirlix,LV17.5,11,1,3,520
Swirlix,LV17,11,2,11,520
Swirlix,LV17.5,11,3,0,520
Swirlix,LV17,11,4,8,520
Swirlix,LV17,11,5,7,520
Swirlix,LV17,11,7,4,520
Swirlix,LV16.5,11,7,14,520
Swirlix,LV17,11,8,3,520
Swirlix,LV16.5,11,8,13,520
Swirlix,LV17,11,9,2,520
Swirlix,LV16.5,11,10,10,520
Swirlix,LV16.5,11,11,9,520
Swirlix,LV16.5,11,14,5,520
Swirlix,LV16.5,11,15,4,520
Swirlix,LV16,11,15,14,520
Swirlix,LV17,12,0,11,520
Swirlix,LV17.5,12,1,0,520
Swirlix,LV17,12,2,8,520
Swirlix,LV17,12,3,7,520
Swirlix,LV17,12,5,4,520
Swirlix,LV16.5,12,5,14,520
Swirlix,LV17,12,6,3,520
Swirlix,LV16.5,12,6,13,520
Swirlix,LV16.5,12,8,10,520
Swirlix,LV16.5,12,9,9,520
Swirlix,LV16.5,12,11,6,520
Swirlix,LV16.5,12,12,5,520
Swirlix,LV16,12,12,15,520
Swirlix,LV16,12,13,14,520
