Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tadbulb,LV25.5,0,0,10,520
Tadbulb,LV26,0,1,1,520
Tadbulb,LV25,0,1,14,520
Tadbulb,LV25.5,0,2,5,520
Tadbulb,LV25,0,2,12,520
Tadbulb,LV25.5,0,3,3,520
Tadbulb,LV25.5,0,4,1,520
Tadbulb,LV24.5,0,4,14,520
Tadbulb,LV24.5,0,5,12,520
Tadbulb,LV25,0,6,3,520
Tadbulb,LV24.5,0,6,10,520
Tadbulb,LV24.5,0,7,8,520
Tadbulb,LV24,0,7,15,520
Tadbulb,LV24.5,0,8,6,520
Tadbulb,LV24.5,0,9,4,520
Tadbulb,LV24.5,0,10,2,520
Tadbulb,LV24.5,0,11,0,520
Tadbulb,LV24,0,13,3,520
Tadbulb,LV24,0,14,1,520
Tadbulb,LV23.5,0,14,8,520
Tadbulb,LV23,0,14,15,520
Tadbulb,LV23.5,0,15,6,520
Tadbulb,LV23,0,15,13,520
Tadbulb,LV25,1,0,13,520
Tadbulb,LV25,1,1,11,520
Tadbulb,LV25.5,1,2,2,520
Tadbulb,LV25.5,1,3,0,520
Tadbulb,LV24.5,1,3,13,520
Tadbulb,LV24.5,1,4,11,520
Tadbulb,LV25,1,5,2,520
Tadbulb,LV24.5,1,5,9,520
Tadbulb,LV25,1,6,0,520
Tadbulb,LV24.5,1,6,7,520
Tadbulb,LV24.5,1,8,3,520
Tadbulb,LV24.5,1,9,1,520
Tadbulb,LV24,1,13,0,520
Tadbulb,LV23.5,1,15,3,520
Tadbulb,LV23,1,15,10,520
Tadbulb,LV25,2,0,10,520
Tadbulb,LV25,2,1,8,520
Tadbulb,LV24.5,2,2,12,520
Tadbulb,LV24.5,2,3,10,520
Tadbulb,LV24.5,2,4,8,520
Tadbulb,LV24,2,4,15,520
Tadbulb,LV24.5,2,5,6,520
Tadbulb,LV24,2,7,8,520
Tadbulb,LV24.5,2,8,0,520
Tadbulb,LV24,2,8,6,520
Tadbulb,LV23.5,2,8,13,520
Tadbulb,LV24,2,9,4,520
Tadbulb,LV23.5,2,9,11,520
Tadbulb,LV23.5,2,10,9,520
Tadbulb,LV23.5,2,11,7,520
Tadbulb,LV23.5,2,12,5,520
Tadbulb,LV23.5,2,15,0,520
Tadbulb,LV22.5,2,15,14,520
Tadbulb,LV25,3,0,7,520
Tadbulb,LV24.5,3,1,11,520
Tadbulb,LV24.5,3,2,9,520
Tadbulb,LV24.5,3,3,7,520
Tadbulb,LV24,3,3,14,520
Tadbulb,LV24.5,3,4,5,520
Tadbulb,LV24.5,3,5,3,520
Tadbulb,LV24,3,6,7,520
Tadbulb,LV23.5,3,6,14,520
Tadbulb,LV24,3,7,5,520
Tadbulb,LV23.5,3,7,12,520
Tadbulb,LV24,3,8,3,520
Tadbulb,LV23.5,3,8,10,520
Tadbulb,LV23.5,3,9,8,520
Tadbulb,LV23,3,9,15,520
Tadbulb,LV23.5,3,10,6,520
Tadbulb,LV23,3,10,13,520
Tadbulb,LV23.5,3,11,4,520
Tadbulb,LV23,3,11,11,520
Tadbulb,LV23.5,3,12,2,520
Tadbulb,LV23,3,12,9,520
Tadbulb,LV22.5,3,13,15,520
Tadbulb,LV22.5,3,14,13,520
Tadbulb,LV22.5,3,15,11,520
Tadbulb,LV25,4,0,4,520
Tadbulb,LV25,4,1,2,520
Tadbulb,LV24.5,4,1,8,520
Tadbulb,LV24,4,1,15,520
Tadbulb,LV24.5,4,2,6,520
Tadbulb,LV24,4,2,13,520
Tadbulb,LV24.5,4,3,4,520
Tadbulb,LV24.5,4,4,2,520
Tadbulb,LV24.5,4,5,0,520
Tadbulb,LV24,4,6,4,520
Tadbulb,LV23.5,4,6,11,520
Tadbulb,LV24,4,7,2,520
Tadbulb,LV23.5,4,7,9,520
Tadbulb,LV23.5,4,8,7,520
Tadbulb,LV23,4,8,14,520
Tadbulb,LV23.5,4,9,5,520
Tadbulb,LV23,4,9,12,520
Tadbulb,LV23.5,4,10,3,520
Tadbulb,LV23,4,10,10,520
Tadbulb,LV23.5,4,11,1,520
Tadbulb,LV23,4,11,8,520
Tadbulb,LV23,4,12,6,520
Tadbulb,LV22.5,4,15,8,520
Tadbulb,LV22,4,15,15,520
Tadbulb,LV25,5,0,1,520
Tadbulb,LV24,5,0,14,520
Tadbulb,LV24.5,5,1,5,520
Tadbulb,LV24,5,1,12,520
Tadbulb,LV24.5,5,2,3,520
Tadbulb,LV24,5,2,10,520
Tadbulb,LV24.5,5,3,1,520
Tadbulb,LV23.5,5,5,10,520
Tadbulb,LV23.5,5,6,8,520
Tadbulb,LV23.5,5,7,6,520
Tadbulb,LV23,5,7,13,520
Tadbulb,LV23.5,5,8,4,520
Tadbulb,LV23,5,8,11,520
Tadbulb,LV23.5,5,9,2,520
Tadbulb,LV23,5,9,9,520
Tadbulb,LV23.5,5,10,0,520
Tadbulb,LV23,5,10,7,520
Tadbulb,LV23,5,11,5,520
Tadbulb,LV23,5,12,3,520
Tadbulb,LV22,5,14,14,520
Tadbulb,LV22.5,5,15,5,520
Tadbulb,LV22,5,15,12,520
Tadbulb,LV24,6,0,11,520
Tadbulb,LV24.5,6,1,2,520
Tadbulb,LV24,6,1,9,520
Tadbulb,LV24.5,6,2,0,520
Tadbulb,LV24,6,2,7,520
Tadbulb,LV23.5,6,2,14,520
Tadbulb,LV23.5,6,5,7,520
Tadbulb,LV23.5,6,6,5,520
Tadbulb,LV23,6,6,12,520
Tadbulb,LV23.5,6,7,3,520
Tadbulb,LV23,6,7,10,520
Tadbulb,LV23.5,6,8,1,520
Tadbulb,LV23,6,8,8,520
Tadbulb,LV23,6,9,6,520
