Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Talonflame,LV9.5,0,0,11,520
Talonflame,LV9.5,0,1,10,520
Talonflame,LV9.5,0,2,9,520
Talonflame,LV9.5,0,3,8,520
Talonflame,LV9.5,0,5,5,520
Talonflame,LV9.5,0,6,4,520
Talonflame,LV9.5,0,7,3,520
Talonflame,LV9.5,0,8,2,520
Talonflame,LV9.5,1,0,9,520
Talonflame,LV9.5,1,1,8,520
Talonflame,LV9.5,1,2,7,520
Talonflame,LV9.5,1,4,4,520
Talonflame,LV9.5,1,5,3,520
Talonflame,LV9.5,1,6,2,520
Talonflame,LV9.5,1,7,1,520
Talonflame,LV9,1,14,15,520
Talonflame,LV9.5,2,0,7,520
Talonflame,LV9.5,2,1,6,520
Talonflame,LV9.5,2,3,3,520
Talonflame,LV9.5,2,4,2,520
Talonflame,LV9.5,2,5,1,520
Talonflame,LV9.5,2,6,0,520
Talonflame,LV9,2,12,15,520
Talonflame,LV9,2,13,14,520
Talonflame,LV9,2,15,11,520
Talonflame,LV9.5,3,0,5,520
Talonflame,LV9.5,3,3,1,520
Talonflame,LV9.5,3,4,0,520
Talonflame,LV9,3,10,15,520
Talonflame,LV9,3,11,14,520
Talonflame,LV9,3,12,13,520
Talonflame,LV9,3,14,10,520
Talonflame,LV9,3,15,9,520
Talonflame,LV9.5,4,0,3,520
Talonflame,LV9.5,4,2,0,520
Talonflame,LV9,4,8,15,520
Talonflame,LV9,4,9,14,520
Talonflame,LV9,4,10,13,520
Talonflame,LV9,4,13,9,520
Talonflame,LV9,4,14,8,520
Talonflame,LV9,4,15,7,520
Talonflame,LV9,5,7,14,520
Talonflame,LV9,5,8,13,520
Talonflame,LV9,5,9,12,520
Talonflame,LV9,5,10,11,520
Talonflame,LV9,5,12,8,520
Talonflame,LV9,5,13,7,520
Talonflame,LV9,5,14,6,520
Talonflame,LV9,5,15,5,520
Talonflame,LV9,6,6,13,520
Talonflame,LV9,6,7,12,520
Talonflame,LV9,6,8,11,520
Talonflame,LV9,6,9,10,520
Talonflame,LV9,6,11,7,520
Talonflame,LV9,6,12,6,520
Talonflame,LV9,6,13,5,520
Talonflame,LV9,6,14,4,520
Talonflame,LV9,6,15,3,520
Talonflame,LV9,7,3,15,520
Talonflame,LV9,7,5,12,520
Talonflame,LV9,7,6,11,520
Talonflame,LV9,7,7,10,520
Talonflame,LV9,7,8,9,520
Talonflame,LV9,7,10,6,520
Talonflame,LV9,7,11,5,520
Talonflame,LV9,7,12,4,520
Talonflame,LV9,7,13,3,520
Talonflame,LV9,7,14,2,520
Talonflame,LV9,7,15,1,520
Talonflame,LV9,8,1,15,520
Talonflame,LV9,8,2,14,520
Talonflame,LV9,8,3,13,520
Talonflame,LV9,8,5,10,520
Talonflame,LV9,8,6,9,520
Talonflame,LV9,8,7,8,520
Talonflame,LV9,8,10,4,520
Talonflame,LV9,8,11,3,520
Talonflame,LV9,8,12,2,520
Talonflame,LV9,8,13,1,520
Talonflame,LV9,8,14,0,520
Talonflame,LV9,9,0,14,520
Talonflame,LV9,9,1,13,520
Talonflame,LV9,9,2,12,520
Talonflame,LV9,9,4,9,520
Talonflame,LV9,9,5,8,520
Talonflame,LV9,9,6,7,520
Talonflame,LV9,9,7,6,520
Talonflame,LV9,9,9,3,520
Talonflame,LV9,9,10,2,520
Talonflame,LV9,9,11,1,520
Talonflame,LV9,9,12,0,520
Talonflame,LV9,10,0,12,520
Talonflame,LV9,10,1,11,520
Talonflame,LV9,10,2,10,520
Talonflame,LV9,10,4,7,520
Talonflame,LV9,10,5,6,520
Talonflame,LV9,10,6,5,520
Talonflame,LV9,10,7,4,520
Talonflame,LV9,10,9,1,520
Talonflame,LV9,10,10,0,520
Talonflame,LV9,11,0,10,520
Talonflame,LV9,11,1,9,520
Talonflame,LV9,11,4,5,520
Talonflame,LV9,11,5,4,520
Talonflame,LV9,11,6,3,520
Talonflame,LV9,12,0,8,520
Talonflame,LV9,12,1,7,520
Talonflame,LV9,12,3,4,520
Talonflame,LV9,12,4,3,520
Talonflame,LV9,12,5,2,520
Talonflame,LV9,12,6,1,520
Talonflame,LV8.5,12,14,15,520
Talonflame,LV8.5,12,15,14,520
Talonflame,LV9,13,0,6,520
Talonflame,LV9,13,1,5,520
Talonflame,LV9,13,3,2,520
Talonflame,LV9,13,4,1,520
Talonflame,LV9,13,5,0,520
Talonflame,LV8.5,13,12,15,520
Talonflame,LV8.5,13,13,14,520
Talonflame,LV8.5,13,14,13,520
Talonflame,LV8.5,13,15,12,520
Talonflame,LV9,14,0,4,520
Talonflame,LV9,14,1,3,520
Talonflame,LV9,14,3,0,520
Talonflame,LV8.5,14,11,14,520
Talonflame,LV8.5,14,12,13,520
Talonflame,LV8.5,14,13,12,520
Talonflame,LV8.5,14,14,11,520
Talonflame,LV9,15,0,2,520
Talonflame,LV9,15,1,1,520
Talonflame,LV8.5,15,9,15,520
Talonflame,LV8.5,15,11,12,520
Talonflame,LV8.5,15,12,11,520
Talonflame,LV8.5,15,13,10,520
Talonflame,LV8.5,15,14,9,520
