Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tandemaus,LV26.5,0,0,3,520
Tandemaus,LV26,0,1,7,520
Tandemaus,LV26.5,0,2,0,520
Tandemaus,LV25.5,0,2,11,520
Tandemaus,LV26,0,3,4,520
Tandemaus,LV25.5,0,4,8,520
Tandemaus,LV25,0,4,14,520
Tandemaus,LV26,0,5,1,520
Tandemaus,LV25,0,5,12,520
Tandemaus,LV25.5,0,6,5,520
Tandemaus,LV25,0,7,9,520
Tandemaus,LV24.5,0,7,15,520
Tandemaus,LV25.5,0,8,2,520
Tandemaus,LV25,0,9,6,520
Tandemaus,LV24.5,0,9,12,520
Tandemaus,LV25,0,10,5,520
Tandemaus,LV24.5,0,11,9,520
Tandemaus,LV24,0,11,15,520
Tandemaus,LV25,0,12,2,520
Tandemaus,LV24,0,12,14,520
Tandemaus,LV24.5,0,13,6,520
Tandemaus,LV24.5,0,14,5,520
Tandemaus,LV24,0,14,11,520
Tandemaus,LV26,1,1,4,520
Tandemaus,LV25.5,1,2,8,520
Tandemaus,LV25,1,2,14,520
Tandemaus,LV26,1,3,1,520
Tandemaus,LV25.5,1,4,5,520
Tandemaus,LV25,1,4,11,520
Tandemaus,LV25,1,5,9,520
Tandemaus,LV24.5,1,5,15,520
Tandemaus,LV25.5,1,6,2,520
Tandemaus,LV25,1,7,6,520
Tandemaus,LV24.5,1,7,12,520
Tandemaus,LV24.5,1,9,9,520
Tandemaus,LV24,1,9,15,520
Tandemaus,LV25,1,10,2,520
Tandemaus,LV24.5,1,11,6,520
Tandemaus,LV24,1,11,12,520
Tandemaus,LV24.5,1,12,5,520
Tandemaus,LV24,1,12,11,520
Tandemaus,LV24.5,1,14,2,520
Tandemaus,LV24,1,14,8,520
Tandemaus,LV23.5,1,14,14,520
Tandemaus,LV26,2,0,3,520
Tandemaus,LV25,2,0,14,520
Tandemaus,LV25.5,2,1,7,520
Tandemaus,LV26,2,2,0,520
Tandemaus,LV25.5,2,2,5,520
Tandemaus,LV25,2,2,11,520
Tandemaus,LV25.5,2,4,2,520
Tandemaus,LV25,2,4,8,520
Tandemaus,LV24.5,2,4,14,520
Tandemaus,LV24.5,2,5,12,520
Tandemaus,LV25,2,6,5,520
Tandemaus,LV24.5,2,7,9,520
Tandemaus,LV24,2,7,15,520
Tandemaus,LV25,2,8,2,520
Tandemaus,LV24,2,8,14,520
Tandemaus,LV24.5,2,9,6,520
Tandemaus,LV24,2,9,12,520
Tandemaus,LV24.5,2,10,5,520
Tandemaus,LV24,2,11,9,520
Tandemaus,LV24.5,2,12,2,520
Tandemaus,LV24,2,12,8,520
Tandemaus,LV23.5,2,12,14,520
Tandemaus,LV24,2,14,5,520
Tandemaus,LV23.5,2,14,11,520
Tandemaus,LV26,3,0,0,520
Tandemaus,LV25,3,0,11,520
Tandemaus,LV25.5,3,1,4,520
Tandemaus,LV25,3,2,8,520
Tandemaus,LV24.5,3,2,14,520
Tandemaus,LV25.5,3,3,1,520
Tandemaus,LV25,3,4,5,520
Tandemaus,LV24.5,3,4,11,520
Tandemaus,LV24.5,3,5,9,520
Tandemaus,LV25,3,6,2,520
Tandemaus,LV24.5,3,6,8,520
Tandemaus,LV24,3,6,14,520
Tandemaus,LV24.5,3,7,6,520
Tandemaus,LV24,3,7,12,520
Tandemaus,LV24.5,3,8,5,520
Tandemaus,LV24,3,8,11,520
Tandemaus,LV24,3,9,9,520
Tandemaus,LV24.5,3,10,2,520
Tandemaus,LV24,3,10,8,520
Tandemaus,LV23.5,3,10,14,520
Tandemaus,LV24,3,12,5,520
Tandemaus,LV23.5,3,12,11,520
Tandemaus,LV24,3,14,2,520
Tandemaus,LV23.5,3,14,8,520
Tandemaus,LV24,3,15,1,520
Tandemaus,LV23.5,3,15,7,520
Tandemaus,LV23,3,15,13,520
Tandemaus,LV25.5,4,1,1,520
Tandemaus,LV25,4,1,7,520
Tandemaus,LV25,4,2,5,520
Tandemaus,LV24.5,4,2,11,520
Tandemaus,LV25,4,4,2,520
Tandemaus,LV24.5,4,4,8,520
Tandemaus,LV24,4,4,14,520
Tandemaus,LV24.5,4,6,5,520
Tandemaus,LV24,4,6,11,520
Tandemaus,LV24.5,4,8,2,520
Tandemaus,LV24,4,8,8,520
Tandemaus,LV23.5,4,8,14,520
Tandemaus,LV24,4,10,5,520
Tandemaus,LV23.5,4,10,11,520
Tandemaus,LV24,4,12,2,520
Tandemaus,LV23.5,4,12,8,520
Tandemaus,LV24,4,13,1,520
Tandemaus,LV23.5,4,13,7,520
Tandemaus,LV23,4,13,13,520
Tandemaus,LV23.5,4,15,4,520
Tandemaus,LV23,4,15,10,520
Tandemaus,LV25.5,5,0,0,520
Tandemaus,LV25,5,1,4,520
Tandemaus,LV24.5,5,1,10,520
Tandemaus,LV24.5,5,2,8,520
Tandemaus,LV25,5,3,1,520
Tandemaus,LV24.5,5,4,5,520
Tandemaus,LV24,5,4,11,520
Tandemaus,LV24.5,5,6,2,520
Tandemaus,LV24,5,6,8,520
Tandemaus,LV23.5,5,6,14,520
Tandemaus,LV24,5,8,5,520
Tandemaus,LV23.5,5,8,11,520
Tandemaus,LV24,5,10,2,520
Tandemaus,LV23.5,5,10,8,520
Tandemaus,LV24,5,11,1,520
Tandemaus,LV23.5,5,11,7,520
Tandemaus,LV23,5,11,13,520
Tandemaus,LV23.5,5,13,4,520
Tandemaus,LV23,5,13,10,520
Tandemaus,LV23,5,14,9,520
Tandemaus,LV22.5,5,15,14,520
Tandemaus,LV25,6,0,3,520
Tandemaus,LV24,6,0,15,520
Tandemaus,LV24.5,6,1,7,520
Tandemaus,LV24,6,1,13,520
Tandemaus,LV25,6,2,0,520
Tandemaus,LV24.5,6,3,4,520
Tandemaus,LV24,6,3,10,520
Tandemaus,LV24,6,4,8,520
Tandemaus,LV24.5,6,5,1,520
Tandemaus,LV24,6,5,7,520
Tandemaus,LV23.5,6,5,13,520
Tandemaus,LV24,6,6,5,520
Tandemaus,LV24,6,7,4,520
Tandemaus,LV23.5,6,7,10,520
Tandemaus,LV23,6,8,15,520
Tandemaus,LV24,6,9,1,520
Tandemaus,LV23.5,6,9,7,520
Tandemaus,LV23,6,9,13,520
Tandemaus,LV23.5,6,11,4,520
Tandemaus,LV23,6,11,10,520
Tandemaus,LV23,6,12,9,520
Tandemaus,LV22.5,6,13,14,520
Tandemaus,LV23.5,6,14,0,520
Tandemaus,LV23,6,14,6,520
Tandemaus,LV22.5,6,15,11,520
Tandemaus,LV25,7,0,0,520
Tandemaus,LV24.5,7,0,6,520
Tandemaus,LV24,7,0,12,520
Tandemaus,LV24.5,7,1,4,520
Tandemaus,LV24,7,1,10,520
Tandemaus,LV23.5,7,2,15,520
Tandemaus,LV24.5,7,3,1,520
Tandemaus,LV24,7,3,7,520
Tandemaus,LV23.5,7,3,13,520
Tandemaus,LV24.5,7,4,0,520
Tandemaus,LV24,7,5,4,520
Tandemaus,LV23.5,7,5,10,520
Tandemaus,LV23,7,6,15,520
Tandemaus,LV24,7,7,1,520
Tandemaus,LV23.5,7,7,7,520
Tandemaus,LV23,7,8,12,520
Tandemaus,LV23.5,7,9,4,520
Tandemaus,LV23,7,10,9,520
Tandemaus,LV22.5,7,11,14,520
Tandemaus,LV23.5,7,12,0,520
Tandemaus,LV23,7,12,6,520
Tandemaus,LV22.5,7,13,11,520
Tandemaus,LV23,7,14,3,520
Tandemaus,LV23,7,15,2,520
Tandemaus,LV22.5,7,15,8,520
Tandemaus,LV22,7,15,15,520
Tandemaus,LV24.5,8,0,3,520
Tandemaus,LV24,8,0,9,520
Tandemaus,LV24.5,8,2,0,520
Tandemaus,LV24,8,2,6,520
Tandemaus,LV23.5,8,2,12,520
Tandemaus,LV24,8,4,3,520
Tandemaus,LV23.5,8,4,9,520
Tandemaus,LV23,8,4,15,520
Tandemaus,LV24,8,6,0,520
Tandemaus,LV23.5,8,6,6,520
Tandemaus,LV23,8,6,12,520
Tandemaus,LV23.5,8,8,3,520
Tandemaus,LV23,8,8,9,520
Tandemaus,LV22.5,8,9,14,520
Tandemaus,LV23.5,8,10,0,520
Tandemaus,LV23,8,10,6,520
Tandemaus,LV22.5,8,11,11,520
Tandemaus,LV23,8,13,2,520
Tandemaus,LV22.5,8,13,8,520
Tandemaus,LV22,8,13,15,520
Tandemaus,LV22.5,8,14,7,520
Tandemaus,LV22,8,15,12,520
Tandemaus,LV24,9,1,5,520
Tandemaus,LV23.5,9,1,11,520
Tandemaus,LV24,9,2,3,520
Tandemaus,LV23.5,9,2,9,520
Tandemaus,LV23,9,3,14,520
Tandemaus,LV24,9,4,0,520
Tandemaus,LV23.5,9,4,6,520
Tandemaus,LV23,9,5,11,520
