Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tapu Bulu,LV6,0,5,15,520
Tapu Bulu,LV6,0,6,14,520
Tapu Bulu,LV6,0,7,13,520
Tapu Bulu,LV6,0,8,12,520
Tapu Bulu,LV6,0,10,11,520
Tapu Bulu,LV6,0,11,10,520
Tapu Bulu,LV6,0,12,9,520
Tapu Bulu,LV6,0,13,8,520
Tapu Bulu,LV6,0,15,7,520
Tapu Bulu,LV6,1,3,15,520
Tapu Bulu,LV6,1,4,14,520
Tapu Bulu,LV6,1,7,12,520
Tapu Bulu,LV6,1,8,11,520
Tapu Bulu,LV6,1,9,10,520
Tapu Bulu,LV6,1,10,9,520
Tapu Bulu,LV6,1,12,8,520
Tapu Bulu,LV6,1,13,7,520
Tapu Bulu,LV6,1,14,6,520
Tapu Bulu,LV6,1,15,5,520
Tapu Bulu,LV6,2,1,15,520
Tapu Bulu,LV6,2,4,13,520
Tapu Bulu,LV6,2,5,12,520
Tapu Bulu,LV6,2,6,11,520
Tapu Bulu,LV6,2,7,10,520
Tapu Bulu,LV6,2,10,8,520
Tapu Bulu,LV6,2,11,7,520
Tapu Bulu,LV6,2,12,6,520
Tapu Bulu,LV6,2,14,5,520
Tapu Bulu,LV6,2,15,4,520
Tapu Bulu,LV6,3,0,15,520
Tapu Bulu,LV6,3,1,14,520
Tapu Bulu,LV6,3,2,13,520
Tapu Bulu,LV6,3,3,12,520
Tapu Bulu,LV6,3,4,11,520
Tapu Bulu,LV6,3,7,9,520
Tapu Bulu,LV6,3,8,8,520
Tapu Bulu,LV6,3,9,7,520
Tapu Bulu,LV6,3,12,5,520
Tapu Bulu,LV6,3,13,4,520
Tapu Bulu,LV6,3,14,3,520
Tapu Bulu,LV6,4,0,13,520
Tapu Bulu,LV6,4,1,12,520
Tapu Bulu,LV6,4,3,11,520
Tapu Bulu,LV6,4,4,10,520
Tapu Bulu,LV6,4,5,9,520
Tapu Bulu,LV6,4,6,8,520
Tapu Bulu,LV6,4,9,6,520
Tapu Bulu,LV6,4,10,5,520
Tapu Bulu,LV6,4,11,4,520
Tapu Bulu,LV6,4,14,2,520
Tapu Bulu,LV6,4,15,1,520
Tapu Bulu,LV6,5,0,12,520
Tapu Bulu,LV6,5,1,11,520
Tapu Bulu,LV6,5,2,10,520
Tapu Bulu,LV6,5,3,9,520
Tapu Bulu,LV6,5,6,7,520
Tapu Bulu,LV6,5,7,6,520
Tapu Bulu,LV6,5,8,5,520
Tapu Bulu,LV6,5,11,3,520
Tapu Bulu,LV6,5,12,2,520
Tapu Bulu,LV6,5,13,1,520
Tapu Bulu,LV6,5,15,0,520
Tapu Bulu,LV6,6,0,10,520
Tapu Bulu,LV6,6,3,8,520
Tapu Bulu,LV6,6,4,7,520
Tapu Bulu,LV6,6,5,6,520
Tapu Bulu,LV6,6,8,4,520
Tapu Bulu,LV6,6,9,3,520
Tapu Bulu,LV6,6,10,2,520
Tapu Bulu,LV6,6,12,1,520
Tapu Bulu,LV6,6,13,0,520
Tapu Bulu,LV6,7,0,9,520
Tapu Bulu,LV6,7,1,8,520
Tapu Bulu,LV6,7,2,7,520
Tapu Bulu,LV6,7,5,5,520
Tapu Bulu,LV6,7,6,4,520
Tapu Bulu,LV6,7,7,3,520
Tapu Bulu,LV6,7,10,1,520
Tapu Bulu,LV6,7,11,0,520
Tapu Bulu,LV6,8,1,7,520
Tapu Bulu,LV6,8,2,6,520
Tapu Bulu,LV6,8,3,5,520
Tapu Bulu,LV6,8,4,4,520
Tapu Bulu,LV6,8,7,2,520
Tapu Bulu,LV6,8,8,1,520
Tapu Bulu,LV6,8,9,0,520
Tapu Bulu,LV6,9,0,6,520
Tapu Bulu,LV6,9,1,5,520
Tapu Bulu,LV6,9,4,3,520
Tapu Bulu,LV6,9,5,2,520
Tapu Bulu,LV6,9,6,1,520
Tapu Bulu,LV6,9,8,0,520
Tapu Bulu,LV6,10,0,5,520
Tapu Bulu,LV6,10,1,4,520
Tapu Bulu,LV6,10,2,3,520
Tapu Bulu,LV6,10,3,2,520
Tapu Bulu,LV6,10,5,1,520
Tapu Bulu,LV6,10,6,0,520
Tapu Bulu,LV6,11,2,2,520
Tapu Bulu,LV6,11,3,1,520
Tapu Bulu,LV6,11,4,0,520
Tapu Bulu,LV6,12,0,2,520
Tapu Bulu,LV6,12,1,1,520
Tapu Bulu,LV6,13,0,1,520
Tapu Bulu,LV6,13,1,0,520
