Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tapu Fini,LV7.5,0,0,1,520
Tapu Fini,LV7.5,0,1,0,520
Tapu Fini,LV7,2,13,15,520
Tapu Fini,LV7,2,14,14,520
Tapu Fini,LV7,3,10,15,520
Tapu Fini,LV7,3,12,14,520
Tapu Fini,LV7,3,13,13,520
Tapu Fini,LV7,3,15,12,520
Tapu Fini,LV7,4,8,15,520
Tapu Fini,LV7,4,9,14,520
Tapu Fini,LV7,4,10,13,520
Tapu Fini,LV7,4,12,12,520
Tapu Fini,LV7,4,13,11,520
Tapu Fini,LV7,4,15,10,520
Tapu Fini,LV7,5,5,15,520
Tapu Fini,LV7,5,6,14,520
Tapu Fini,LV7,5,8,13,520
Tapu Fini,LV7,5,9,12,520
Tapu Fini,LV7,5,10,11,520
Tapu Fini,LV7,5,11,11,520
Tapu Fini,LV7,5,12,10,520
Tapu Fini,LV7,5,13,9,520
Tapu Fini,LV7,5,15,8,520
Tapu Fini,LV7,6,2,15,520
Tapu Fini,LV7,6,4,14,520
Tapu Fini,LV7,6,5,13,520
Tapu Fini,LV7,6,6,12,520
Tapu Fini,LV7,6,8,11,520
Tapu Fini,LV7,6,9,10,520
Tapu Fini,LV7,6,11,9,520
Tapu Fini,LV7,6,12,8,520
Tapu Fini,LV7,6,14,7,520
Tapu Fini,LV7,6,15,6,520
Tapu Fini,LV7,7,0,15,520
Tapu Fini,LV7,7,1,14,520
Tapu Fini,LV7,7,2,13,520
Tapu Fini,LV7,7,4,12,520
Tapu Fini,LV7,7,5,11,520
Tapu Fini,LV7,7,7,10,520
Tapu Fini,LV7,7,8,9,520
Tapu Fini,LV7,7,9,8,520
Tapu Fini,LV7,7,11,7,520
Tapu Fini,LV7,7,12,6,520
Tapu Fini,LV7,7,14,5,520
Tapu Fini,LV7,7,15,4,520
Tapu Fini,LV7,8,0,13,520
Tapu Fini,LV7,8,1,12,520
Tapu Fini,LV7,8,4,10,520
Tapu Fini,LV7,8,5,9,520
Tapu Fini,LV7,8,7,8,520
Tapu Fini,LV7,8,8,7,520
Tapu Fini,LV7,8,10,6,520
Tapu Fini,LV7,8,11,5,520
Tapu Fini,LV7,8,13,4,520
Tapu Fini,LV7,8,14,3,520
Tapu Fini,LV7,9,0,11,520
Tapu Fini,LV7,9,1,10,520
Tapu Fini,LV7,9,3,9,520
Tapu Fini,LV7,9,4,8,520
Tapu Fini,LV7,9,6,7,520
Tapu Fini,LV7,9,7,6,520
Tapu Fini,LV7,9,9,5,520
Tapu Fini,LV7,9,10,4,520
Tapu Fini,LV7,9,12,3,520
Tapu Fini,LV7,9,13,2,520
Tapu Fini,LV7,9,15,1,520
Tapu Fini,LV7,10,0,9,520
Tapu Fini,LV7,10,2,8,520
Tapu Fini,LV7,10,3,7,520
Tapu Fini,LV7,10,4,6,520
Tapu Fini,LV7,10,6,5,520
Tapu Fini,LV7,10,7,4,520
Tapu Fini,LV7,10,9,3,520
Tapu Fini,LV7,10,10,2,520
Tapu Fini,LV7,10,12,1,520
Tapu Fini,LV7,10,13,0,520
Tapu Fini,LV7,11,0,7,520
Tapu Fini,LV7,11,2,6,520
Tapu Fini,LV7,11,3,5,520
Tapu Fini,LV7,11,5,4,520
Tapu Fini,LV7,11,6,3,520
Tapu Fini,LV7,11,8,2,520
Tapu Fini,LV7,11,9,1,520
Tapu Fini,LV7,11,11,0,520
Tapu Fini,LV7,12,1,5,520
Tapu Fini,LV7,12,2,4,520
Tapu Fini,LV7,12,4,3,520
Tapu Fini,LV7,12,5,2,520
Tapu Fini,LV7,12,7,1,520
Tapu Fini,LV7,12,8,0,520
Tapu Fini,LV7,13,0,4,520
Tapu Fini,LV7,13,1,3,520
Tapu Fini,LV7,13,3,2,520
Tapu Fini,LV7,13,4,1,520
Tapu Fini,LV7,13,6,0,520
Tapu Fini,LV7,14,0,2,520
Tapu Fini,LV7,14,2,1,520
Tapu Fini,LV7,14,3,0,520
