Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tatsugiri,LV7.5,0,1,15,520
Tatsugiri,LV7.5,0,2,14,520
Tatsugiri,LV7.5,0,3,13,520
Tatsugiri,LV7.5,0,4,12,520
Tatsugiri,LV7.5,0,5,11,520
Tatsugiri,LV7.5,0,6,10,520
Tatsugiri,LV7.5,0,13,3,520
Tatsugiri,LV7.5,0,14,2,520
Tatsugiri,LV7.5,0,15,1,520
Tatsugiri,LV7.5,1,2,12,520
Tatsugiri,LV7.5,1,3,11,520
Tatsugiri,LV7.5,1,4,10,520
Tatsugiri,LV7.5,1,5,9,520
Tatsugiri,LV7.5,1,6,8,520
Tatsugiri,LV7.5,1,7,7,520
Tatsugiri,LV7.5,1,8,6,520
Tatsugiri,LV7.5,1,9,5,520
Tatsugiri,LV7.5,1,10,4,520
Tatsugiri,LV7.5,1,11,3,520
Tatsugiri,LV7.5,1,12,2,520
Tatsugiri,LV7.5,1,13,1,520
Tatsugiri,LV7.5,1,14,0,520
Tatsugiri,LV7.5,2,0,13,520
Tatsugiri,LV7.5,2,1,12,520
Tatsugiri,LV7.5,2,2,11,520
Tatsugiri,LV7.5,2,3,10,520
Tatsugiri,LV7.5,2,13,0,520
Tatsugiri,LV7.5,3,0,11,520
Tatsugiri,LV7.5,3,1,10,520
Tatsugiri,LV7.5,3,2,9,520
Tatsugiri,LV7.5,3,3,8,520
Tatsugiri,LV7.5,3,4,7,520
Tatsugiri,LV7.5,3,5,6,520
Tatsugiri,LV7.5,3,6,5,520
Tatsugiri,LV7.5,3,7,4,520
Tatsugiri,LV7.5,3,8,3,520
Tatsugiri,LV7.5,3,9,2,520
Tatsugiri,LV7.5,3,10,1,520
Tatsugiri,LV7.5,3,11,0,520
Tatsugiri,LV7.5,4,0,10,520
Tatsugiri,LV7.5,4,1,9,520
Tatsugiri,LV7.5,5,0,8,520
Tatsugiri,LV7.5,5,1,7,520
Tatsugiri,LV7.5,5,2,6,520
Tatsugiri,LV7.5,5,3,5,520
Tatsugiri,LV7.5,5,4,4,520
Tatsugiri,LV7.5,5,5,3,520
Tatsugiri,LV7.5,5,6,2,520
Tatsugiri,LV7.5,5,7,1,520
Tatsugiri,LV7.5,5,8,0,520
Tatsugiri,LV7.5,6,0,7,520
Tatsugiri,LV7.5,7,0,5,520
Tatsugiri,LV7.5,7,1,4,520
Tatsugiri,LV7.5,7,2,3,520
Tatsugiri,LV7.5,7,3,2,520
Tatsugiri,LV7.5,7,4,1,520
Tatsugiri,LV7.5,7,5,0,520
Tatsugiri,LV7.5,8,0,4,520
Tatsugiri,LV7,8,15,15,520
Tatsugiri,LV7.5,9,0,2,520
Tatsugiri,LV7.5,9,1,1,520
Tatsugiri,LV7.5,9,2,0,520
Tatsugiri,LV7,9,13,15,520
Tatsugiri,LV7,9,14,14,520
Tatsugiri,LV7,9,15,13,520
Tatsugiri,LV7.5,10,0,1,520
Tatsugiri,LV7.5,10,1,0,520
Tatsugiri,LV7,10,12,15,520
Tatsugiri,LV7,10,13,14,520
Tatsugiri,LV7,10,14,13,520
Tatsugiri,LV7,10,15,12,520
Tatsugiri,LV7,11,10,15,520
Tatsugiri,LV7,11,11,14,520
Tatsugiri,LV7,11,12,13,520
Tatsugiri,LV7,11,13,12,520
Tatsugiri,LV7,11,14,11,520
Tatsugiri,LV7,11,15,10,520
Tatsugiri,LV7,12,9,15,520
Tatsugiri,LV7,12,10,14,520
Tatsugiri,LV7,12,11,13,520
Tatsugiri,LV7,12,12,12,520
Tatsugiri,LV7,12,13,11,520
Tatsugiri,LV7,12,14,10,520
Tatsugiri,LV7,12,15,9,520
Tatsugiri,LV7,13,7,15,520
Tatsugiri,LV7,13,8,14,520
Tatsugiri,LV7,13,9,13,520
Tatsugiri,LV7,13,10,12,520
Tatsugiri,LV7,13,11,11,520
Tatsugiri,LV7,13,12,10,520
Tatsugiri,LV7,13,13,9,520
Tatsugiri,LV7,13,14,8,520
Tatsugiri,LV7,13,15,7,520
Tatsugiri,LV7,14,6,15,520
Tatsugiri,LV7,14,7,14,520
Tatsugiri,LV7,14,8,13,520
Tatsugiri,LV7,14,9,12,520
Tatsugiri,LV7,14,10,11,520
Tatsugiri,LV7,14,11,10,520
Tatsugiri,LV7,14,12,9,520
Tatsugiri,LV7,14,13,8,520
Tatsugiri,LV7,14,14,7,520
Tatsugiri,LV7,14,15,6,520
Tatsugiri,LV7,15,7,12,520
Tatsugiri,LV7,15,8,11,520
Tatsugiri,LV7,15,9,10,520
Tatsugiri,LV7,15,10,9,520
Tatsugiri,LV7,15,11,8,520
Tatsugiri,LV7,15,12,7,520
Tatsugiri,LV7,15,13,6,520
Tatsugiri,LV7,15,14,5,520
Tatsugiri,LV7,15,15,4,520
