Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tentacool,LV22.5,0,0,0,520
Tentacool,LV22,0,3,3,520
Tentacool,LV21,0,3,15,520
Tentacool,LV22,0,4,2,520
Tentacool,LV21.5,0,4,8,520
Tentacool,LV21,0,4,14,520
Tentacool,LV21.5,0,5,7,520
Tentacool,LV21,0,5,13,520
Tentacool,LV21.5,0,6,6,520
Tentacool,LV21.5,0,9,4,520
Tentacool,LV21,0,9,10,520
Tentacool,LV21.5,0,10,3,520
Tentacool,LV21,0,10,9,520
Tentacool,LV21,0,11,8,520
Tentacool,LV20.5,0,13,13,520
Tentacool,LV21.5,0,14,0,520
Tentacool,LV21,0,14,6,520
Tentacool,LV20.5,0,14,12,520
Tentacool,LV21,0,15,5,520
Tentacool,LV20.5,0,15,11,520
Tentacool,LV22,1,0,3,520
Tentacool,LV21,1,0,15,520
Tentacool,LV22,1,1,2,520
Tentacool,LV21.5,1,1,8,520
Tentacool,LV21,1,1,14,520
Tentacool,LV22,1,2,1,520
Tentacool,LV21.5,1,2,7,520
Tentacool,LV21,1,2,13,520
Tentacool,LV21.5,1,3,6,520
Tentacool,LV21,1,3,12,520
Tentacool,LV21.5,1,7,3,520
Tentacool,LV21,1,7,9,520
Tentacool,LV20.5,1,7,15,520
Tentacool,LV21.5,1,8,2,520
Tentacool,LV21,1,8,8,520
Tentacool,LV21,1,9,7,520
Tentacool,LV21.5,1,11,0,520
Tentacool,LV20.5,1,11,12,520
Tentacool,LV21,1,12,5,520
Tentacool,LV20.5,1,12,11,520
Tentacool,LV21,1,13,4,520
Tentacool,LV20.5,1,13,10,520
Tentacool,LV20,1,15,15,520
Tentacool,LV21.5,2,0,6,520
Tentacool,LV21,2,0,12,520
Tentacool,LV21.5,2,1,5,520
Tentacool,LV21,2,1,11,520
Tentacool,LV20.5,2,4,15,520
Tentacool,LV21.5,2,5,2,520
Tentacool,LV21,2,5,8,520
Tentacool,LV20.5,2,5,14,520
Tentacool,LV21.5,2,6,1,520
Tentacool,LV21,2,6,7,520
Tentacool,LV21,2,7,6,520
Tentacool,LV21,2,10,4,520
Tentacool,LV20.5,2,10,10,520
Tentacool,LV21,2,11,3,520
Tentacool,LV20.5,2,11,9,520
Tentacool,LV20,2,12,15,520
Tentacool,LV20,2,13,14,520
