Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Terrakion,LV5.5,0,12,15,520
Terrakion,LV5.5,0,13,14,520
Terrakion,LV5.5,0,14,13,520
Terrakion,LV5.5,0,15,12,520
Terrakion,LV5.5,1,10,15,520
Terrakion,LV5.5,1,11,14,520
Terrakion,LV5.5,1,12,13,520
Terrakion,LV5.5,1,13,12,520
Terrakion,LV5.5,1,14,11,520
Terrakion,LV5.5,1,15,10,520
Terrakion,LV5.5,2,9,15,520
Terrakion,LV5.5,2,10,14,520
Terrakion,LV5.5,2,11,13,520
Terrakion,LV5.5,2,13,10,520
Terrakion,LV5.5,2,14,9,520
Terrakion,LV5.5,2,15,8,520
Terrakion,LV5.5,3,7,15,520
Terrakion,LV5.5,3,8,14,520
Terrakion,LV5.5,3,9,13,520
Terrakion,LV5.5,3,10,12,520
Terrakion,LV5.5,3,11,11,520
Terrakion,LV5.5,3,12,10,520
Terrakion,LV5.5,3,13,9,520
Terrakion,LV5.5,3,14,8,520
Terrakion,LV5.5,3,15,7,520
Terrakion,LV5.5,4,6,15,520
Terrakion,LV5.5,4,7,14,520
Terrakion,LV5.5,4,9,11,520
Terrakion,LV5.5,4,10,10,520
Terrakion,LV5.5,4,11,9,520
Terrakion,LV5.5,4,12,8,520
Terrakion,LV5.5,4,13,7,520
Terrakion,LV5.5,4,14,6,520
Terrakion,LV5.5,4,15,5,520
Terrakion,LV5.5,5,4,15,520
Terrakion,LV5.5,5,5,14,520
Terrakion,LV5.5,5,6,13,520
Terrakion,LV5.5,5,7,12,520
Terrakion,LV5.5,5,8,11,520
Terrakion,LV5.5,5,9,10,520
Terrakion,LV5.5,5,10,9,520
Terrakion,LV5.5,5,11,8,520
Terrakion,LV5.5,5,15,3,520
Terrakion,LV5.5,6,3,15,520
Terrakion,LV5.5,6,4,14,520
Terrakion,LV5.5,6,6,11,520
Terrakion,LV5.5,6,7,10,520
Terrakion,LV5.5,6,8,9,520
Terrakion,LV5.5,6,9,8,520
Terrakion,LV5.5,6,10,7,520
Terrakion,LV5.5,6,11,6,520
Terrakion,LV5.5,6,12,5,520
Terrakion,LV5.5,6,13,4,520
Terrakion,LV5.5,6,14,3,520
Terrakion,LV5.5,6,15,2,520
Terrakion,LV5.5,7,1,15,520
Terrakion,LV5.5,7,2,14,520
Terrakion,LV5.5,7,3,13,520
Terrakion,LV5.5,7,4,12,520
Terrakion,LV5.5,7,5,11,520
Terrakion,LV5.5,7,6,10,520
Terrakion,LV5.5,7,7,9,520
Terrakion,LV5.5,7,11,4,520
Terrakion,LV5.5,7,12,3,520
Terrakion,LV5.5,7,13,2,520
Terrakion,LV5.5,7,14,1,520
Terrakion,LV5.5,7,15,0,520
Terrakion,LV5.5,8,0,15,520
Terrakion,LV5.5,8,1,14,520
Terrakion,LV5.5,8,2,13,520
Terrakion,LV5.5,8,4,10,520
Terrakion,LV5.5,8,5,9,520
Terrakion,LV5.5,8,6,8,520
Terrakion,LV5.5,8,7,7,520
Terrakion,LV5.5,8,8,6,520
Terrakion,LV5.5,8,9,5,520
Terrakion,LV5.5,8,10,4,520
Terrakion,LV5.5,8,11,3,520
Terrakion,LV5.5,8,12,2,520
Terrakion,LV5.5,8,13,1,520
Terrakion,LV5.5,8,14,0,520
Terrakion,LV5.5,9,0,13,520
Terrakion,LV5.5,9,1,12,520
Terrakion,LV5.5,9,2,11,520
Terrakion,LV5.5,9,3,10,520
Terrakion,LV5.5,9,4,9,520
Terrakion,LV5.5,9,5,8,520
Terrakion,LV5.5,9,8,4,520
Terrakion,LV5.5,9,9,3,520
Terrakion,LV5.5,9,10,2,520
Terrakion,LV5.5,9,11,1,520
Terrakion,LV5.5,9,12,0,520
Terrakion,LV5.5,10,0,12,520
Terrakion,LV5.5,10,2,9,520
Terrakion,LV5.5,10,3,8,520
Terrakion,LV5.5,10,4,7,520
Terrakion,LV5.5,10,5,6,520
Terrakion,LV5.5,10,6,5,520
Terrakion,LV5.5,10,7,4,520
Terrakion,LV5.5,10,8,3,520
Terrakion,LV5.5,10,9,2,520
Terrakion,LV5.5,10,10,1,520
Terrakion,LV5.5,10,11,0,520
Terrakion,LV5.5,11,0,10,520
Terrakion,LV5.5,11,1,9,520
Terrakion,LV5.5,11,2,8,520
Terrakion,LV5.5,11,3,7,520
Terrakion,LV5.5,11,6,3,520
Terrakion,LV5.5,11,7,2,520
Terrakion,LV5.5,11,8,1,520
Terrakion,LV5.5,11,9,0,520
Terrakion,LV5.5,12,0,8,520
Terrakion,LV5.5,12,1,7,520
Terrakion,LV5.5,12,2,6,520
Terrakion,LV5.5,12,3,5,520
Terrakion,LV5.5,12,4,4,520
Terrakion,LV5.5,12,5,3,520
Terrakion,LV5.5,12,6,2,520
Terrakion,LV5.5,12,7,1,520
Terrakion,LV5.5,12,8,0,520
Terrakion,LV5.5,13,0,7,520
Terrakion,LV5.5,13,1,6,520
Terrakion,LV5.5,13,4,2,520
Terrakion,LV5.5,13,5,1,520
Terrakion,LV5.5,13,6,0,520
Terrakion,LV5.5,14,0,5,520
Terrakion,LV5.5,14,1,4,520
Terrakion,LV5.5,14,2,3,520
Terrakion,LV5.5,14,3,2,520
Terrakion,LV5.5,14,4,1,520
Terrakion,LV5.5,14,5,0,520
Terrakion,LV5.5,15,0,4,520
Terrakion,LV5.5,15,3,0,520
