Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Thievul,LV10,0,0,3,520
Thievul,LV10,0,1,2,520
Thievul,LV10,0,2,1,520
Thievul,LV10,0,3,0,520
Thievul,LV9.5,0,7,15,520
Thievul,LV9.5,0,8,14,520
Thievul,LV9.5,0,9,13,520
Thievul,LV9.5,0,10,12,520
Thievul,LV9.5,0,11,11,520
Thievul,LV9.5,0,12,10,520
Thievul,LV9.5,0,13,9,520
Thievul,LV9.5,0,14,8,520
Thievul,LV9.5,0,15,7,520
Thievul,LV10,1,0,1,520
Thievul,LV10,1,1,0,520
Thievul,LV9.5,1,6,14,520
Thievul,LV9.5,1,7,13,520
Thievul,LV9.5,1,8,12,520
Thievul,LV9.5,1,9,11,520
Thievul,LV9.5,1,10,10,520
Thievul,LV9.5,1,11,9,520
Thievul,LV9.5,1,12,8,520
Thievul,LV9.5,1,13,7,520
Thievul,LV9.5,1,14,6,520
Thievul,LV9.5,1,15,5,520
Thievul,LV9.5,2,4,14,520
Thievul,LV9.5,2,5,13,520
Thievul,LV9.5,2,6,12,520
Thievul,LV9.5,2,7,11,520
Thievul,LV9.5,2,8,10,520
Thievul,LV9.5,2,9,9,520
Thievul,LV9.5,2,10,8,520
Thievul,LV9.5,2,11,7,520
Thievul,LV9.5,2,12,6,520
Thievul,LV9.5,2,13,5,520
Thievul,LV9.5,2,14,4,520
Thievul,LV9.5,2,15,3,520
Thievul,LV9.5,3,3,13,520
Thievul,LV9.5,3,4,12,520
Thievul,LV9.5,3,5,11,520
Thievul,LV9.5,3,6,10,520
Thievul,LV9.5,3,7,9,520
Thievul,LV9.5,3,8,8,520
Thievul,LV9.5,3,9,7,520
Thievul,LV9.5,3,10,6,520
Thievul,LV9.5,3,11,5,520
Thievul,LV9.5,3,12,4,520
Thievul,LV9.5,3,13,3,520
Thievul,LV9.5,3,14,2,520
Thievul,LV9.5,3,15,1,520
Thievul,LV9.5,4,2,12,520
Thievul,LV9.5,4,3,11,520
Thievul,LV9.5,4,4,10,520
Thievul,LV9.5,4,5,9,520
Thievul,LV9.5,4,6,8,520
Thievul,LV9.5,4,7,7,520
Thievul,LV9.5,4,8,6,520
Thievul,LV9.5,4,9,5,520
Thievul,LV9.5,4,10,4,520
Thievul,LV9.5,4,11,3,520
Thievul,LV9.5,4,12,2,520
Thievul,LV9.5,4,13,1,520
Thievul,LV9.5,4,14,0,520
Thievul,LV9.5,5,1,11,520
Thievul,LV9.5,5,2,10,520
Thievul,LV9.5,5,3,9,520
Thievul,LV9.5,5,4,8,520
Thievul,LV9.5,5,5,7,520
Thievul,LV9.5,5,6,6,520
Thievul,LV9.5,5,7,5,520
Thievul,LV9.5,5,8,4,520
Thievul,LV9.5,5,9,3,520
Thievul,LV9.5,5,10,2,520
Thievul,LV9.5,5,11,1,520
Thievul,LV9.5,5,12,0,520
Thievul,LV9.5,6,1,9,520
Thievul,LV9.5,6,2,8,520
Thievul,LV9.5,6,3,7,520
Thievul,LV9.5,6,4,6,520
Thievul,LV9.5,6,5,5,520
Thievul,LV9.5,6,6,4,520
Thievul,LV9.5,6,7,3,520
Thievul,LV9.5,6,8,2,520
Thievul,LV9.5,6,9,1,520
Thievul,LV9.5,6,10,0,520
Thievul,LV9.5,7,0,8,520
Thievul,LV9.5,7,1,7,520
Thievul,LV9.5,7,2,6,520
Thievul,LV9.5,7,3,5,520
Thievul,LV9.5,7,4,4,520
Thievul,LV9.5,7,5,3,520
Thievul,LV9.5,7,6,2,520
Thievul,LV9.5,7,7,1,520
Thievul,LV9.5,7,8,0,520
Thievul,LV9,7,15,13,520
Thievul,LV9.5,8,1,5,520
Thievul,LV9.5,8,2,4,520
Thievul,LV9.5,8,3,3,520
Thievul,LV9.5,8,4,2,520
Thievul,LV9.5,8,5,1,520
Thievul,LV9.5,8,6,0,520
Thievul,LV9,8,13,13,520
Thievul,LV9,8,14,12,520
Thievul,LV9,8,15,11,520
Thievul,LV9.5,9,1,3,520
Thievul,LV9.5,9,2,2,520
Thievul,LV9.5,9,3,1,520
Thievul,LV9.5,9,4,0,520
Thievul,LV9,9,12,12,520
Thievul,LV9,9,13,11,520
Thievul,LV9,9,14,10,520
Thievul,LV9,9,15,9,520
Thievul,LV9,10,12,10,520
Thievul,LV9,10,13,9,520
Thievul,LV9,10,14,8,520
Thievul,LV9,10,15,7,520
Thievul,LV9,11,6,15,520
Thievul,LV9,11,12,8,520
Thievul,LV9,11,13,7,520
Thievul,LV9,11,14,6,520
Thievul,LV9,11,15,5,520
Thievul,LV9,12,4,15,520
Thievul,LV9,12,5,14,520
Thievul,LV9,12,6,13,520
Thievul,LV9,13,2,15,520
Thievul,LV9,13,3,14,520
Thievul,LV9,13,4,13,520
Thievul,LV9,13,5,12,520
Thievul,LV9,13,6,11,520
Thievul,LV9,14,0,15,520
Thievul,LV9,14,1,14,520
Thievul,LV9,14,2,13,520
Thievul,LV9,14,3,12,520
Thievul,LV9,14,4,11,520
Thievul,LV9,14,5,10,520
Thievul,LV9,14,6,9,520
Thievul,LV9,14,7,8,520
Thievul,LV9,15,0,13,520
Thievul,LV9,15,1,12,520
Thievul,LV9,15,2,11,520
Thievul,LV9,15,3,10,520
Thievul,LV9,15,4,9,520
Thievul,LV9,15,5,8,520
Thievul,LV9,15,6,7,520
Thievul,LV9,15,7,6,520
Thievul,LV9,15,8,5,520
Thievul,LV9,15,9,4,520
Thievul,LV9,15,10,3,520
Thievul,LV9,15,11,2,520
Thievul,LV9,15,12,1,520
Thievul,LV9,15,13,0,520
