Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Throh,LV8,0,8,15,520
Throh,LV8,0,9,13,520
Throh,LV8,0,10,12,520
Throh,LV8,0,11,10,520
Throh,LV8,0,12,9,520
Throh,LV8,0,13,7,520
Throh,LV8,0,14,5,520
Throh,LV8,0,15,4,520
Throh,LV8,1,6,15,520
Throh,LV8,1,7,13,520
Throh,LV8,1,8,12,520
Throh,LV8,1,9,10,520
Throh,LV8,1,10,9,520
Throh,LV8,1,11,7,520
Throh,LV8,1,12,5,520
Throh,LV8,1,13,4,520
Throh,LV8,1,14,2,520
Throh,LV8,1,15,1,520
Throh,LV8,2,4,15,520
Throh,LV8,2,5,14,520
Throh,LV8,2,6,12,520
Throh,LV8,2,7,10,520
Throh,LV8,2,8,9,520
Throh,LV8,2,9,7,520
Throh,LV8,2,10,5,520
Throh,LV8,2,10,6,520
Throh,LV8,2,11,4,520
Throh,LV8,2,12,2,520
Throh,LV8,2,13,1,520
Throh,LV8,3,2,15,520
Throh,LV8,3,3,14,520
Throh,LV8,3,4,12,520
Throh,LV8,3,5,10,520
Throh,LV8,3,6,9,520
Throh,LV8,3,7,7,520
Throh,LV8,3,8,6,520
Throh,LV8,3,9,4,520
Throh,LV8,3,10,2,520
Throh,LV8,3,11,1,520
Throh,LV8,4,1,14,520
Throh,LV8,4,2,12,520
Throh,LV8,4,3,11,520
Throh,LV8,4,4,9,520
Throh,LV8,4,5,7,520
Throh,LV8,4,6,6,520
Throh,LV8,4,7,4,520
Throh,LV8,4,8,3,520
Throh,LV8,4,9,1,520
Throh,LV8,4,10,0,520
Throh,LV8,5,0,13,520
Throh,LV8,5,1,11,520
Throh,LV8,5,2,9,520
Throh,LV8,5,3,8,520
Throh,LV8,5,4,6,520
Throh,LV8,5,5,4,520
Throh,LV8,5,6,3,520
Throh,LV8,5,7,1,520
Throh,LV8,5,8,0,520
Throh,LV8,6,0,10,520
Throh,LV8,6,1,8,520
Throh,LV8,6,2,6,520
Throh,LV8,6,3,5,520
Throh,LV8,6,4,3,520
Throh,LV8,6,5,1,520
Throh,LV8,6,6,0,520
Throh,LV8,7,0,7,520
Throh,LV8,7,1,5,520
Throh,LV8,7,2,3,520
Throh,LV8,7,3,2,520
Throh,LV8,7,4,0,520
Throh,LV8,8,0,4,520
Throh,LV8,8,1,2,520
Throh,LV8,8,2,0,520
Throh,LV8,9,0,1,520
Throh,LV7.5,9,14,15,520
Throh,LV7.5,9,15,14,520
Throh,LV7.5,10,12,15,520
Throh,LV7.5,10,13,14,520
Throh,LV7.5,10,14,12,520
Throh,LV7.5,10,15,11,520
Throh,LV7.5,11,11,14,520
Throh,LV7.5,11,12,12,520
Throh,LV7.5,11,12,13,520
Throh,LV7.5,11,13,11,520
Throh,LV7.5,11,14,9,520
Throh,LV7.5,11,15,8,520
Throh,LV7.5,12,9,14,520
Throh,LV7.5,12,10,13,520
Throh,LV7.5,12,11,11,520
Throh,LV7.5,12,12,10,520
Throh,LV7.5,12,13,8,520
Throh,LV7.5,12,14,6,520
Throh,LV7.5,12,15,5,520
Throh,LV7.5,13,7,15,520
Throh,LV7.5,13,8,13,520
Throh,LV7.5,13,9,11,520
Throh,LV7.5,13,10,10,520
Throh,LV7.5,13,11,8,520
Throh,LV7.5,13,12,7,520
Throh,LV7.5,13,13,5,520
Throh,LV7.5,13,14,4,520
Throh,LV7.5,13,15,2,520
Throh,LV7.5,14,5,15,520
Throh,LV7.5,14,6,13,520
Throh,LV7.5,14,7,12,520
Throh,LV7.5,14,8,10,520
Throh,LV7.5,14,9,8,520
Throh,LV7.5,14,10,7,520
Throh,LV7.5,14,11,5,520
Throh,LV7.5,14,12,4,520
Throh,LV7.5,14,13,2,520
Throh,LV7.5,14,14,1,520
Throh,LV7.5,15,3,15,520
Throh,LV7.5,15,4,14,520
Throh,LV7.5,15,5,12,520
Throh,LV7.5,15,6,10,520
Throh,LV7.5,15,7,9,520
Throh,LV7.5,15,8,7,520
Throh,LV7.5,15,9,6,520
Throh,LV7.5,15,10,4,520
Throh,LV7.5,15,11,2,520
Throh,LV7.5,15,11,3,520
Throh,LV7.5,15,12,1,520
