Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Thwackey,LV11.5,0,0,4,520
Thwackey,LV11.5,0,1,3,520
Thwackey,LV11,0,4,15,520
Thwackey,LV11,0,5,14,520
Thwackey,LV11,0,7,11,520
Thwackey,LV11,0,8,10,520
Thwackey,LV11,0,10,7,520
Thwackey,LV11,0,11,6,520
Thwackey,LV11,0,12,5,520
Thwackey,LV11,0,15,1,520
Thwackey,LV11.5,1,0,2,520
Thwackey,LV11.5,1,1,1,520
Thwackey,LV11,1,3,14,520
Thwackey,LV11,1,4,13,520
Thwackey,LV11,1,6,10,520
Thwackey,LV11,1,7,9,520
Thwackey,LV11,1,9,6,520
Thwackey,LV11,1,10,5,520
Thwackey,LV11,1,11,4,520
Thwackey,LV11,1,12,3,520
Thwackey,LV11,1,14,0,520
Thwackey,LV11.5,2,0,0,520
Thwackey,LV11,2,1,15,520
Thwackey,LV11,2,2,13,520
Thwackey,LV11,2,3,12,520
Thwackey,LV11,2,5,9,520
Thwackey,LV11,2,6,8,520
Thwackey,LV11,2,7,7,520
Thwackey,LV11,2,9,4,520
Thwackey,LV11,2,10,3,520
Thwackey,LV11,2,11,2,520
Thwackey,LV10.5,2,14,15,520
Thwackey,LV11,3,0,14,520
Thwackey,LV11,3,2,11,520
Thwackey,LV11,3,3,10,520
Thwackey,LV11,3,5,7,520
Thwackey,LV11,3,6,6,520
Thwackey,LV11,3,9,2,520
Thwackey,LV11,3,10,1,520
Thwackey,LV11,3,11,0,520
Thwackey,LV10.5,3,12,15,520
Thwackey,LV10.5,3,13,14,520
Thwackey,LV11,4,1,10,520
Thwackey,LV11,4,2,9,520
Thwackey,LV11,4,4,6,520
Thwackey,LV11,4,5,5,520
Thwackey,LV11,4,6,4,520
Thwackey,LV11,4,8,1,520
Thwackey,LV11,4,9,0,520
Thwackey,LV10.5,4,11,14,520
Thwackey,LV10.5,4,12,13,520
Thwackey,LV10.5,4,13,12,520
Thwackey,LV10.5,4,15,9,520
Thwackey,LV11,5,1,8,520
Thwackey,LV11,5,2,7,520
Thwackey,LV11,5,4,4,520
Thwackey,LV11,5,5,3,520
Thwackey,LV11,5,6,2,520
Thwackey,LV10.5,5,10,13,520
Thwackey,LV10.5,5,11,12,520
Thwackey,LV10.5,5,12,11,520
Thwackey,LV10.5,5,14,8,520
Thwackey,LV10.5,5,15,7,520
Thwackey,LV11,6,1,6,520
Thwackey,LV11,6,2,5,520
Thwackey,LV11,6,4,2,520
Thwackey,LV11,6,5,1,520
Thwackey,LV10.5,6,7,15,520
Thwackey,LV10.5,6,8,14,520
Thwackey,LV10.5,6,10,11,520
Thwackey,LV10.5,6,11,10,520
Thwackey,LV10.5,6,14,6,520
Thwackey,LV10.5,6,15,5,520
Thwackey,LV11,7,0,5,520
Thwackey,LV11,7,1,4,520
Thwackey,LV11,7,2,3,520
Thwackey,LV11,7,4,0,520
Thwackey,LV10.5,7,6,14,520
Thwackey,LV10.5,7,7,13,520
Thwackey,LV10.5,7,9,10,520
Thwackey,LV10.5,7,10,9,520
Thwackey,LV10.5,7,11,8,520
Thwackey,LV10.5,7,14,4,520
Thwackey,LV10.5,7,15,3,520
Thwackey,LV11,8,0,3,520
Thwackey,LV11,8,1,2,520
Thwackey,LV10.5,8,4,15,520
Thwackey,LV10.5,8,6,12,520
Thwackey,LV10.5,8,7,11,520
Thwackey,LV10.5,8,9,8,520
Thwackey,LV10.5,8,10,7,520
Thwackey,LV10.5,8,11,6,520
Thwackey,LV10.5,8,13,3,520
Thwackey,LV10.5,8,14,2,520
Thwackey,LV10.5,8,15,1,520
Thwackey,LV11,9,0,1,520
Thwackey,LV11,9,1,0,520
Thwackey,LV10.5,9,2,15,520
Thwackey,LV10.5,9,3,14,520
Thwackey,LV10.5,9,5,11,520
Thwackey,LV10.5,9,6,10,520
Thwackey,LV10.5,9,7,9,520
Thwackey,LV10.5,9,9,6,520
Thwackey,LV10.5,9,10,5,520
Thwackey,LV10.5,9,11,4,520
Thwackey,LV10.5,9,13,1,520
Thwackey,LV10.5,9,14,0,520
Thwackey,LV10.5,10,2,13,520
Thwackey,LV10.5,10,3,12,520
Thwackey,LV10.5,10,5,9,520
Thwackey,LV10.5,10,6,8,520
Thwackey,LV10.5,10,9,4,520
Thwackey,LV10.5,10,10,3,520
Thwackey,LV10.5,10,11,2,520
Thwackey,LV10,10,15,14,520
Thwackey,LV10.5,11,0,14,520
Thwackey,LV10.5,11,2,11,520
Thwackey,LV10.5,11,3,10,520
Thwackey,LV10.5,11,5,7,520
Thwackey,LV10.5,11,6,6,520
Thwackey,LV10.5,11,8,3,520
Thwackey,LV10.5,11,9,2,520
Thwackey,LV10.5,11,10,1,520
Thwackey,LV10.5,11,11,0,520
Thwackey,LV10,11,13,15,520
Thwackey,LV10,11,15,12,520
Thwackey,LV10.5,12,0,12,520
