Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tinkatink,LV27,0,0,10,520
Tinkatink,LV27.5,0,1,3,520
Tinkatink,LV26.5,0,1,14,520
Tinkatink,LV27.5,0,2,2,520
Tinkatink,LV27,0,2,7,520
Tinkatink,LV27.5,0,3,1,520
Tinkatink,LV27,0,3,6,520
Tinkatink,LV26.5,0,4,10,520
Tinkatink,LV26.5,0,5,9,520
Tinkatink,LV27,0,6,2,520
Tinkatink,LV26,0,6,13,520
Tinkatink,LV27,0,7,1,520
Tinkatink,LV26,0,7,12,520
Tinkatink,LV27,0,8,0,520
Tinkatink,LV26.5,0,8,5,520
Tinkatink,LV26.5,0,9,4,520
Tinkatink,LV25.5,0,9,15,520
Tinkatink,LV26,0,10,8,520
Tinkatink,LV25.5,0,10,14,520
Tinkatink,LV26,0,11,7,520
Tinkatink,LV26,0,12,6,520
Tinkatink,LV25.5,0,13,10,520
Tinkatink,LV25.5,0,14,9,520
Tinkatink,LV25,0,14,15,520
Tinkatink,LV25.5,0,15,8,520
Tinkatink,LV25,0,15,14,520
Tinkatink,LV27.5,1,0,1,520
Tinkatink,LV26.5,1,0,12,520
Tinkatink,LV27.5,1,1,0,520
Tinkatink,LV27,1,1,5,520
Tinkatink,LV27,1,2,4,520
Tinkatink,LV26.5,1,2,9,520
Tinkatink,LV26,1,2,15,520
Tinkatink,LV26.5,1,3,8,520
Tinkatink,LV26,1,4,12,520
Tinkatink,LV27,1,5,0,520
Tinkatink,LV26,1,5,11,520
Tinkatink,LV26.5,1,6,4,520
Tinkatink,LV26.5,1,7,3,520
Tinkatink,LV25.5,1,7,14,520
Tinkatink,LV26.5,1,8,2,520
Tinkatink,LV26,1,8,7,520
Tinkatink,LV25.5,1,8,13,520
Tinkatink,LV26,1,9,6,520
Tinkatink,LV26,1,10,5,520
Tinkatink,LV25.5,1,11,9,520
Tinkatink,LV25,1,11,15,520
Tinkatink,LV25.5,1,12,8,520
Tinkatink,LV25,1,12,14,520
Tinkatink,LV25.5,1,13,7,520
Tinkatink,LV26,1,14,0,520
Tinkatink,LV25,1,15,10,520
Tinkatink,LV27,2,0,3,520
Tinkatink,LV26,2,0,14,520
Tinkatink,LV27,2,1,2,520
Tinkatink,LV26.5,2,1,7,520
Tinkatink,LV26,2,1,13,520
Tinkatink,LV26.5,2,2,6,520
Tinkatink,LV26,2,3,10,520
Tinkatink,LV26,2,4,9,520
Tinkatink,LV26.5,2,5,2,520
Tinkatink,LV26.5,2,6,1,520
Tinkatink,LV25.5,2,6,12,520
Tinkatink,LV26.5,2,7,0,520
Tinkatink,LV26,2,7,5,520
Tinkatink,LV25.5,2,7,11,520
Tinkatink,LV26,2,8,4,520
Tinkatink,LV25.5,2,9,8,520
Tinkatink,LV25,2,9,14,520
Tinkatink,LV25.5,2,10,7,520
Tinkatink,LV25,2,10,13,520
Tinkatink,LV25.5,2,11,6,520
Tinkatink,LV25,2,13,9,520
Tinkatink,LV24.5,2,13,15,520
Tinkatink,LV25,2,14,8,520
Tinkatink,LV24.5,2,14,14,520
Tinkatink,LV25,2,15,7,520
Tinkatink,LV24.5,2,15,13,520
Tinkatink,LV27,3,0,0,520
Tinkatink,LV26.5,3,0,5,520
Tinkatink,LV26,3,0,11,520
Tinkatink,LV26.5,3,1,4,520
Tinkatink,LV25.5,3,1,15,520
Tinkatink,LV26,3,2,8,520
Tinkatink,LV25.5,3,2,14,520
Tinkatink,LV26,3,3,7,520
Tinkatink,LV26.5,3,4,0,520
