Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tinkaton,LV9.5,0,0,3,520
Tinkaton,LV9.5,0,1,2,520
Tinkaton,LV9.5,0,2,1,520
Tinkaton,LV9.5,0,3,0,520
Tinkaton,LV9,0,12,15,520
Tinkaton,LV9,0,13,14,520
Tinkaton,LV9,0,14,13,520
Tinkaton,LV9,0,15,12,520
Tinkaton,LV9.5,1,0,1,520
Tinkaton,LV9.5,1,1,0,520
Tinkaton,LV9,1,9,15,520
Tinkaton,LV9,1,10,14,520
Tinkaton,LV9,1,11,13,520
Tinkaton,LV9,1,12,12,520
Tinkaton,LV9,1,13,11,520
Tinkaton,LV9,1,14,10,520
Tinkaton,LV9,1,15,9,520
Tinkaton,LV9,2,8,13,520
Tinkaton,LV9,2,9,12,520
Tinkaton,LV9,2,10,11,520
Tinkaton,LV9,2,11,10,520
Tinkaton,LV9,2,12,9,520
Tinkaton,LV9,2,13,8,520
Tinkaton,LV9,2,14,7,520
Tinkaton,LV9,2,15,6,520
Tinkaton,LV9,3,4,15,520
Tinkaton,LV9,3,5,14,520
Tinkaton,LV9,3,6,13,520
Tinkaton,LV9,3,7,12,520
Tinkaton,LV9,3,8,11,520
Tinkaton,LV9,3,9,10,520
Tinkaton,LV9,3,10,9,520
Tinkaton,LV9,3,11,8,520
Tinkaton,LV9,3,12,7,520
Tinkaton,LV9,3,13,6,520
Tinkaton,LV9,3,14,5,520
Tinkaton,LV9,3,15,4,520
Tinkaton,LV9,4,2,14,520
Tinkaton,LV9,4,3,13,520
Tinkaton,LV9,4,4,12,520
Tinkaton,LV9,4,5,11,520
Tinkaton,LV9,4,6,10,520
Tinkaton,LV9,4,7,9,520
Tinkaton,LV9,4,8,8,520
Tinkaton,LV9,4,9,7,520
Tinkaton,LV9,4,10,6,520
Tinkaton,LV9,4,11,5,520
Tinkaton,LV9,4,12,4,520
Tinkaton,LV9,4,13,3,520
Tinkaton,LV9,4,14,2,520
Tinkaton,LV9,4,15,1,520
Tinkaton,LV9,5,0,14,520
Tinkaton,LV9,5,1,13,520
Tinkaton,LV9,5,2,12,520
Tinkaton,LV9,5,3,11,520
Tinkaton,LV9,5,13,1,520
Tinkaton,LV9,5,14,0,520
Tinkaton,LV9,6,0,11,520
Tinkaton,LV9,6,1,10,520
Tinkaton,LV9,6,2,9,520
Tinkaton,LV9,6,3,8,520
Tinkaton,LV9,6,4,7,520
Tinkaton,LV9,6,5,6,520
Tinkaton,LV9,6,6,5,520
Tinkaton,LV9,6,7,4,520
Tinkaton,LV9,6,8,3,520
Tinkaton,LV9,6,9,2,520
Tinkaton,LV9,6,10,1,520
Tinkaton,LV9,6,11,0,520
Tinkaton,LV9,7,0,9,520
Tinkaton,LV9,8,0,6,520
Tinkaton,LV9,8,1,5,520
Tinkaton,LV9,8,2,4,520
Tinkaton,LV9,8,3,3,520
Tinkaton,LV9,8,4,2,520
Tinkaton,LV9,8,5,1,520
Tinkaton,LV9,8,6,0,520
Tinkaton,LV9,9,0,4,520
Tinkaton,LV9,10,0,1,520
Tinkaton,LV9,10,1,0,520
Tinkaton,LV8.5,10,11,15,520
Tinkaton,LV8.5,10,12,14,520
Tinkaton,LV8.5,10,13,13,520
Tinkaton,LV8.5,10,14,12,520
Tinkaton,LV8.5,10,15,11,520
Tinkaton,LV8.5,12,6,15,520
Tinkaton,LV8.5,12,7,14,520
Tinkaton,LV8.5,12,8,13,520
Tinkaton,LV8.5,12,9,12,520
Tinkaton,LV8.5,12,10,11,520
Tinkaton,LV8.5,12,11,10,520
Tinkaton,LV8.5,12,12,9,520
Tinkaton,LV8.5,12,13,8,520
Tinkaton,LV8.5,12,14,7,520
Tinkaton,LV8.5,12,15,6,520
Tinkaton,LV8.5,13,4,15,520
Tinkaton,LV8.5,13,5,14,520
Tinkaton,LV8.5,14,1,15,520
Tinkaton,LV8.5,14,2,14,520
Tinkaton,LV8.5,14,3,13,520
Tinkaton,LV8.5,14,4,12,520
Tinkaton,LV8.5,14,5,11,520
Tinkaton,LV8.5,14,6,10,520
Tinkaton,LV8.5,14,7,9,520
Tinkaton,LV8.5,14,8,8,520
Tinkaton,LV8.5,14,9,7,520
Tinkaton,LV8.5,14,10,6,520
Tinkaton,LV8.5,14,11,5,520
Tinkaton,LV8.5,14,12,4,520
Tinkaton,LV8.5,14,13,3,520
Tinkaton,LV8.5,14,14,2,520
Tinkaton,LV8.5,14,15,1,520
Tinkaton,LV8.5,15,0,14,520
Tinkaton,LV8.5,15,1,13,520
Tinkaton,LV8.5,15,2,12,520
Tinkaton,LV8.5,15,3,11,520
Tinkaton,LV8.5,15,4,10,520
Tinkaton,LV8.5,15,5,9,520
Tinkaton,LV8.5,15,6,8,520
Tinkaton,LV8.5,15,7,7,520
Tinkaton,LV8.5,15,8,6,520
Tinkaton,LV8.5,15,9,5,520
Tinkaton,LV8.5,15,10,4,520
Tinkaton,LV8.5,15,11,3,520
Tinkaton,LV8.5,15,12,2,520
Tinkaton,LV8.5,15,13,1,520
Tinkaton,LV8.5,15,14,0,520
