Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tirtouga,LV15,0,0,0,520
Tirtouga,LV14.5,0,1,9,520
Tirtouga,LV14.5,0,2,8,520
Tirtouga,LV14.5,0,3,7,520
Tirtouga,LV14.5,0,4,6,520
Tirtouga,LV14.5,0,5,5,520
Tirtouga,LV14.5,0,6,4,520
Tirtouga,LV14,0,6,15,520
Tirtouga,LV14.5,0,7,3,520
Tirtouga,LV14,0,7,14,520
Tirtouga,LV14,0,8,13,520
Tirtouga,LV14,0,9,12,520
Tirtouga,LV14,0,10,11,520
Tirtouga,LV14,0,11,10,520
Tirtouga,LV14,0,12,9,520
Tirtouga,LV14,0,13,8,520
Tirtouga,LV14,0,14,7,520
Tirtouga,LV14,0,15,6,520
Tirtouga,LV14.5,1,0,8,520
Tirtouga,LV14.5,1,1,7,520
Tirtouga,LV14.5,1,2,6,520
Tirtouga,LV14.5,1,3,5,520
Tirtouga,LV14.5,1,4,4,520
Tirtouga,LV14,1,4,15,520
Tirtouga,LV14.5,1,5,3,520
Tirtouga,LV14.5,1,6,2,520
Tirtouga,LV14.5,1,7,1,520
Tirtouga,LV14.5,1,8,0,520
Tirtouga,LV14,1,13,6,520
Tirtouga,LV14,1,14,5,520
Tirtouga,LV14,1,15,4,520
Tirtouga,LV13.5,1,15,15,520
Tirtouga,LV14.5,2,0,6,520
Tirtouga,LV14.5,2,1,5,520
Tirtouga,LV14.5,2,2,4,520
Tirtouga,LV14.5,2,3,3,520
Tirtouga,LV14.5,2,4,2,520
Tirtouga,LV14.5,2,5,1,520
Tirtouga,LV14.5,2,6,0,520
Tirtouga,LV13.5,2,14,14,520
Tirtouga,LV14,2,15,2,520
Tirtouga,LV13.5,2,15,13,520
Tirtouga,LV14,3,1,13,520
Tirtouga,LV14,3,2,12,520
Tirtouga,LV14,3,3,11,520
Tirtouga,LV14,3,4,10,520
Tirtouga,LV14,3,5,9,520
Tirtouga,LV14,3,6,8,520
Tirtouga,LV14,3,7,7,520
Tirtouga,LV14,3,8,6,520
Tirtouga,LV14,3,9,5,520
Tirtouga,LV14,3,10,4,520
Tirtouga,LV14,3,11,3,520
Tirtouga,LV14,4,0,12,520
Tirtouga,LV14,4,1,11,520
Tirtouga,LV14,4,2,10,520
Tirtouga,LV14,4,3,9,520
Tirtouga,LV14,4,4,8,520
Tirtouga,LV14,4,5,7,520
Tirtouga,LV14,4,6,6,520
Tirtouga,LV14,4,7,5,520
