Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Togetic,LV12.5,0,1,9,520
Togetic,LV12.5,0,2,8,520
Togetic,LV12.5,0,3,7,520
Togetic,LV12.5,0,4,6,520
Togetic,LV12.5,0,7,4,520
Togetic,LV12.5,0,8,3,520
Togetic,LV12.5,0,9,2,520
Togetic,LV12,0,9,15,520
Togetic,LV12,0,10,14,520
Togetic,LV12.5,0,11,1,520
Togetic,LV12,0,11,13,520
Togetic,LV12.5,0,12,0,520
Togetic,LV12,0,14,11,520
Togetic,LV12,0,15,10,520
Togetic,LV12.5,1,2,6,520
Togetic,LV12.5,1,3,5,520
Togetic,LV12.5,1,4,4,520
Togetic,LV12,1,6,15,520
Togetic,LV12,1,7,14,520
Togetic,LV12.5,1,8,1,520
Togetic,LV12.5,1,9,0,520
Togetic,LV12,1,10,12,520
Togetic,LV12,1,11,11,520
Togetic,LV12,1,12,10,520
Togetic,LV12,1,15,8,520
Togetic,LV12.5,2,0,5,520
Togetic,LV12.5,2,3,3,520
Togetic,LV12.5,2,4,2,520
Togetic,LV12.5,2,5,1,520
Togetic,LV12,2,5,14,520
Togetic,LV12,2,6,13,520
Togetic,LV12,2,7,12,520
Togetic,LV12,2,8,11,520
Togetic,LV12,2,11,9,520
Togetic,LV12,2,12,8,520
Togetic,LV12,2,13,7,520
Togetic,LV12.5,3,0,3,520
Togetic,LV12,3,1,15,520
Togetic,LV12,3,2,14,520
Togetic,LV12,3,3,13,520
Togetic,LV12.5,3,4,0,520
Togetic,LV12,3,7,10,520
Togetic,LV12,3,8,9,520
Togetic,LV12,3,9,8,520
Togetic,LV12,3,12,6,520
Togetic,LV12,3,13,5,520
Togetic,LV12,3,14,4,520
Togetic,LV12.5,4,0,1,520
Togetic,LV12.5,4,1,0,520
Togetic,LV12,4,2,12,520
Togetic,LV12,4,3,11,520
Togetic,LV12,4,4,10,520
Togetic,LV12,4,5,9,520
Togetic,LV12,4,8,7,520
Togetic,LV12,4,9,6,520
Togetic,LV12,4,10,5,520
Togetic,LV12,4,13,3,520
Togetic,LV12,4,14,2,520
Togetic,LV11.5,4,14,15,520
Togetic,LV12,5,3,9,520
Togetic,LV12,5,4,8,520
Togetic,LV12,5,5,7,520
Togetic,LV12,5,9,4,520
Togetic,LV12,5,10,3,520
Togetic,LV12,5,13,1,520
Togetic,LV11.5,5,13,14,520
Togetic,LV12,5,14,0,520
Togetic,LV11.5,5,14,13,520
Togetic,LV11.5,5,15,12,520
Togetic,LV12,6,0,9,520
