Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tornadus Therian Form,LV6.5,0,0,12,520
Tornadus Therian Form,LV6.5,0,1,11,520
Tornadus Therian Form,LV6.5,0,2,10,520
Tornadus Therian Form,LV6.5,0,3,9,520
Tornadus Therian Form,LV6.5,0,4,8,520
Tornadus Therian Form,LV6.5,0,5,7,520
Tornadus Therian Form,LV6.5,0,6,6,520
Tornadus Therian Form,LV6.5,0,7,5,520
Tornadus Therian Form,LV6.5,0,8,4,520
Tornadus Therian Form,LV6.5,0,9,3,520
Tornadus Therian Form,LV6.5,0,10,2,520
Tornadus Therian Form,LV6.5,0,11,1,520
Tornadus Therian Form,LV6.5,0,12,0,520
Tornadus Therian Form,LV6.5,1,0,10,520
Tornadus Therian Form,LV6.5,1,1,9,520
Tornadus Therian Form,LV6.5,1,2,8,520
Tornadus Therian Form,LV6.5,1,3,7,520
Tornadus Therian Form,LV6.5,1,4,6,520
Tornadus Therian Form,LV6.5,1,5,5,520
Tornadus Therian Form,LV6.5,1,6,4,520
Tornadus Therian Form,LV6.5,1,7,3,520
Tornadus Therian Form,LV6.5,1,8,2,520
Tornadus Therian Form,LV6.5,1,9,1,520
Tornadus Therian Form,LV6.5,1,10,0,520
Tornadus Therian Form,LV6.5,3,0,7,520
Tornadus Therian Form,LV6.5,3,1,6,520
Tornadus Therian Form,LV6.5,3,2,5,520
Tornadus Therian Form,LV6.5,3,3,4,520
Tornadus Therian Form,LV6.5,3,4,3,520
Tornadus Therian Form,LV6.5,3,5,2,520
Tornadus Therian Form,LV6.5,3,6,1,520
Tornadus Therian Form,LV6.5,3,7,0,520
Tornadus Therian Form,LV6.5,4,0,5,520
Tornadus Therian Form,LV6.5,4,1,4,520
Tornadus Therian Form,LV6.5,4,2,3,520
Tornadus Therian Form,LV6.5,4,3,2,520
Tornadus Therian Form,LV6.5,4,4,1,520
Tornadus Therian Form,LV6.5,4,5,0,520
Tornadus Therian Form,LV6.5,5,0,4,520
Tornadus Therian Form,LV6.5,5,1,3,520
Tornadus Therian Form,LV6.5,5,2,2,520
Tornadus Therian Form,LV6.5,5,3,1,520
Tornadus Therian Form,LV6.5,5,4,0,520
Tornadus Therian Form,LV6.5,6,0,2,520
Tornadus Therian Form,LV6.5,6,1,1,520
Tornadus Therian Form,LV6.5,6,2,0,520
Tornadus Therian Form,LV6,10,15,15,520
Tornadus Therian Form,LV6,12,12,15,520
Tornadus Therian Form,LV6,12,13,14,520
Tornadus Therian Form,LV6,12,14,13,520
Tornadus Therian Form,LV6,12,15,12,520
Tornadus Therian Form,LV6,13,10,15,520
Tornadus Therian Form,LV6,13,11,14,520
Tornadus Therian Form,LV6,13,12,13,520
Tornadus Therian Form,LV6,13,13,12,520
Tornadus Therian Form,LV6,13,14,11,520
Tornadus Therian Form,LV6,13,15,10,520
Tornadus Therian Form,LV6,14,9,15,520
Tornadus Therian Form,LV6,14,10,14,520
Tornadus Therian Form,LV6,14,11,13,520
Tornadus Therian Form,LV6,14,12,12,520
Tornadus Therian Form,LV6,14,13,11,520
Tornadus Therian Form,LV6,14,14,10,520
Tornadus Therian Form,LV6,14,15,9,520
Tornadus Therian Form,LV6,15,7,15,520
Tornadus Therian Form,LV6,15,8,14,520
Tornadus Therian Form,LV6,15,9,13,520
Tornadus Therian Form,LV6,15,10,12,520
Tornadus Therian Form,LV6,15,11,11,520
Tornadus Therian Form,LV6,15,12,10,520
Tornadus Therian Form,LV6,15,13,9,520
Tornadus Therian Form,LV6,15,14,8,520
Tornadus Therian Form,LV6,15,15,7,520
