Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Torterra,LV7,0,5,15,520
Torterra,LV7,0,6,14,520
Torterra,LV7,0,7,13,520
Torterra,LV7,0,8,12,520
Torterra,LV7,0,9,11,520
Torterra,LV7,0,11,8,520
Torterra,LV7,0,12,7,520
Torterra,LV7,0,13,6,520
Torterra,LV7,0,14,5,520
Torterra,LV7,0,15,4,520
Torterra,LV7,1,4,14,520
Torterra,LV7,1,5,13,520
Torterra,LV7,1,6,12,520
Torterra,LV7,1,7,11,520
Torterra,LV7,1,9,8,520
Torterra,LV7,1,10,7,520
Torterra,LV7,1,11,6,520
Torterra,LV7,1,12,5,520
Torterra,LV7,1,13,4,520
Torterra,LV7,1,14,3,520
Torterra,LV7,1,15,2,520
Torterra,LV7,2,2,14,520
Torterra,LV7,2,3,13,520
Torterra,LV7,2,4,12,520
Torterra,LV7,2,5,11,520
Torterra,LV7,2,6,10,520
Torterra,LV7,2,8,7,520
Torterra,LV7,2,9,6,520
Torterra,LV7,2,10,5,520
Torterra,LV7,2,11,4,520
Torterra,LV7,2,12,3,520
Torterra,LV7,2,13,2,520
Torterra,LV7,2,14,1,520
Torterra,LV7,2,15,0,520
Torterra,LV7,3,0,15,520
Torterra,LV7,3,1,13,520
Torterra,LV7,3,2,12,520
Torterra,LV7,3,3,11,520
Torterra,LV7,3,4,10,520
Torterra,LV7,3,5,9,520
Torterra,LV7,3,7,6,520
Torterra,LV7,3,8,5,520
Torterra,LV7,3,9,4,520
Torterra,LV7,3,10,3,520
Torterra,LV7,3,11,2,520
Torterra,LV7,3,12,1,520
Torterra,LV7,3,13,0,520
Torterra,LV7,4,0,12,520
Torterra,LV7,4,1,11,520
Torterra,LV7,4,2,10,520
Torterra,LV7,4,3,9,520
Torterra,LV7,4,4,8,520
Torterra,LV7,4,6,5,520
Torterra,LV7,4,7,4,520
Torterra,LV7,4,8,3,520
Torterra,LV7,4,9,2,520
Torterra,LV7,4,10,1,520
Torterra,LV7,4,11,0,520
Torterra,LV7,5,0,10,520
Torterra,LV7,5,1,9,520
Torterra,LV7,5,2,8,520
Torterra,LV7,5,3,7,520
Torterra,LV7,5,5,4,520
Torterra,LV7,5,6,3,520
Torterra,LV7,5,7,2,520
Torterra,LV7,5,8,1,520
Torterra,LV7,5,9,0,520
Torterra,LV7,6,0,8,520
Torterra,LV7,6,1,7,520
Torterra,LV7,6,2,6,520
Torterra,LV7,6,4,3,520
Torterra,LV7,6,5,2,520
Torterra,LV7,6,6,1,520
Torterra,LV7,6,7,0,520
Torterra,LV7,7,0,6,520
Torterra,LV7,7,1,5,520
Torterra,LV7,7,3,2,520
Torterra,LV7,7,4,1,520
Torterra,LV7,7,5,0,520
Torterra,LV7,8,0,4,520
Torterra,LV7,8,2,1,520
Torterra,LV7,8,3,0,520
Torterra,LV7,9,0,2,520
Torterra,LV7,10,0,0,520
Torterra,LV6.5,12,14,15,520
Torterra,LV6.5,12,15,14,520
Torterra,LV6.5,13,13,14,520
Torterra,LV6.5,13,14,13,520
Torterra,LV6.5,13,15,12,520
Torterra,LV6.5,14,12,13,520
Torterra,LV6.5,14,13,12,520
Torterra,LV6.5,14,14,11,520
Torterra,LV6.5,14,15,10,520
Torterra,LV6.5,15,9,15,520
Torterra,LV6.5,15,11,12,520
Torterra,LV6.5,15,12,11,520
Torterra,LV6.5,15,13,10,520
Torterra,LV6.5,15,14,9,520
Torterra,LV6.5,15,15,8,520
