Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Toxicroak,LV8.5,0,0,8,520
Toxicroak,LV8.5,0,1,6,520
Toxicroak,LV8.5,0,2,5,520
Toxicroak,LV8.5,0,3,3,520
Toxicroak,LV8.5,0,4,2,520
Toxicroak,LV8,0,13,15,520
Toxicroak,LV8,0,14,14,520
Toxicroak,LV8,0,15,12,520
Toxicroak,LV8.5,1,0,6,520
Toxicroak,LV8.5,1,1,4,520
Toxicroak,LV8.5,1,2,3,520
Toxicroak,LV8.5,1,4,0,520
Toxicroak,LV8,1,12,15,520
Toxicroak,LV8,1,13,13,520
Toxicroak,LV8,1,14,12,520
Toxicroak,LV8.5,2,0,4,520
Toxicroak,LV8.5,2,2,1,520
Toxicroak,LV8,2,11,14,520
Toxicroak,LV8,2,12,13,520
Toxicroak,LV8,2,13,11,520
Toxicroak,LV8,2,14,10,520
Toxicroak,LV8.5,3,0,2,520
Toxicroak,LV8,3,9,15,520
Toxicroak,LV8,3,10,14,520
Toxicroak,LV8,3,11,12,520
Toxicroak,LV8,3,12,11,520
Toxicroak,LV8,3,13,9,520
Toxicroak,LV8,3,14,8,520
Toxicroak,LV8,3,15,7,520
Toxicroak,LV8.5,4,0,0,520
Toxicroak,LV8,4,8,15,520
Toxicroak,LV8,4,9,13,520
Toxicroak,LV8,4,10,12,520
Toxicroak,LV8,4,11,10,520
Toxicroak,LV8,4,12,9,520
Toxicroak,LV8,4,14,6,520
Toxicroak,LV8,4,15,5,520
Toxicroak,LV8,5,7,14,520
Toxicroak,LV8,5,8,13,520
Toxicroak,LV8,5,9,11,520
Toxicroak,LV8,5,10,10,520
Toxicroak,LV8,5,12,7,520
Toxicroak,LV8,5,13,6,520
Toxicroak,LV8,5,14,4,520
Toxicroak,LV8,5,15,3,520
Toxicroak,LV8,6,5,15,520
Toxicroak,LV8,6,6,14,520
Toxicroak,LV8,6,7,12,520
Toxicroak,LV8,6,8,11,520
Toxicroak,LV8,6,9,9,520
Toxicroak,LV8,6,10,8,520
Toxicroak,LV8,6,12,5,520
Toxicroak,LV8,6,13,4,520
Toxicroak,LV8,6,15,1,520
Toxicroak,LV8,7,4,15,520
Toxicroak,LV8,7,5,13,520
Toxicroak,LV8,7,6,12,520
Toxicroak,LV8,7,7,10,520
Toxicroak,LV8,7,8,9,520
Toxicroak,LV8,7,10,6,520
Toxicroak,LV8,7,11,5,520
Toxicroak,LV8,7,12,3,520
Toxicroak,LV8,7,13,2,520
Toxicroak,LV8,8,4,13,520
Toxicroak,LV8,8,6,10,520
Toxicroak,LV8,8,8,7,520
Toxicroak,LV8,8,9,6,520
Toxicroak,LV8,8,10,4,520
Toxicroak,LV8,8,11,3,520
Toxicroak,LV8,8,13,0,520
Toxicroak,LV8,9,2,14,520
Toxicroak,LV8,9,3,13,520
Toxicroak,LV8,9,4,11,520
Toxicroak,LV8,9,6,8,520
Toxicroak,LV8,9,7,7,520
Toxicroak,LV8,9,8,5,520
Toxicroak,LV8,9,9,4,520
Toxicroak,LV8,9,11,1,520
Toxicroak,LV8,9,12,0,520
Toxicroak,LV8,10,0,15,520
Toxicroak,LV8,10,1,14,520
Toxicroak,LV8,10,2,12,520
Toxicroak,LV8,10,3,11,520
Toxicroak,LV8,10,4,9,520
Toxicroak,LV8,10,5,8,520
Toxicroak,LV8,10,6,6,520
Toxicroak,LV8,10,7,5,520
Toxicroak,LV8,10,9,2,520
Toxicroak,LV8,10,10,1,520
Toxicroak,LV8,11,1,12,520
Toxicroak,LV8,11,2,10,520
Toxicroak,LV8,11,3,9,520
Toxicroak,LV8,11,5,6,520
Toxicroak,LV8,11,7,3,520
Toxicroak,LV8,11,8,2,520
Toxicroak,LV8,11,9,0,520
Toxicroak,LV8,12,0,12,520
Toxicroak,LV8,12,1,10,520
Toxicroak,LV8,12,3,7,520
Toxicroak,LV8,12,5,4,520
Toxicroak,LV8,12,6,3,520
Toxicroak,LV8,12,7,1,520
Toxicroak,LV8,12,8,0,520
Toxicroak,LV8,13,0,10,520
Toxicroak,LV8,13,1,8,520
Toxicroak,LV8,13,2,7,520
Toxicroak,LV8,13,3,5,520
Toxicroak,LV8,13,4,4,520
Toxicroak,LV8,13,5,2,520
Toxicroak,LV8,13,6,1,520
Toxicroak,LV8,14,0,8,520
Toxicroak,LV8,14,2,5,520
Toxicroak,LV8,14,4,2,520
Toxicroak,LV8,15,0,6,520
Toxicroak,LV8,15,1,5,520
Toxicroak,LV8,15,2,3,520
Toxicroak,LV8,15,3,2,520
Toxicroak,LV8,15,4,0,520
Toxicroak,LV7.5,15,14,14,520
Toxicroak,LV7.5,15,15,13,520
