Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tranquill,LV15.5,0,1,0,520
Tranquill,LV15,0,1,11,520
Tranquill,LV15,0,2,9,520
Tranquill,LV15,0,3,8,520
Tranquill,LV15,0,4,6,520
Tranquill,LV15,0,5,5,520
Tranquill,LV15,0,7,2,520
Tranquill,LV14.5,0,7,13,520
Tranquill,LV14.5,0,9,10,520
Tranquill,LV14.5,0,10,9,520
Tranquill,LV14.5,0,12,6,520
Tranquill,LV14.5,0,14,3,520
Tranquill,LV14,0,14,15,520
Tranquill,LV14.5,0,15,2,520
Tranquill,LV15,1,0,10,520
Tranquill,LV15,1,2,7,520
Tranquill,LV15,1,4,4,520
Tranquill,LV14.5,1,5,14,520
Tranquill,LV15,1,6,1,520
Tranquill,LV14.5,1,6,12,520
Tranquill,LV15,1,7,0,520
Tranquill,LV14.5,1,7,11,520
Tranquill,LV14.5,1,9,8,520
Tranquill,LV14.5,1,11,5,520
Tranquill,LV14.5,1,12,4,520
Tranquill,LV14,1,13,14,520
Tranquill,LV14.5,1,14,1,520
Tranquill,LV14.5,1,15,0,520
Tranquill,LV14,1,15,11,520
Tranquill,LV15,2,0,8,520
Tranquill,LV15,2,1,6,520
Tranquill,LV15,2,2,5,520
Tranquill,LV15,2,3,3,520
Tranquill,LV15,2,4,2,520
Tranquill,LV14.5,2,4,13,520
Tranquill,LV14.5,2,6,10,520
Tranquill,LV14.5,2,8,7,520
Tranquill,LV14.5,2,10,4,520
Tranquill,LV14.5,2,11,3,520
Tranquill,LV14,2,12,13,520
Tranquill,LV14.5,2,13,0,520
Tranquill,LV14,2,14,10,520
Tranquill,LV14,2,15,9,520
Tranquill,LV15,3,1,4,520
Tranquill,LV14.5,3,2,14,520
Tranquill,LV15,3,3,1,520
Tranquill,LV14.5,3,3,12,520
Tranquill,LV14.5,3,5,9,520
Tranquill,LV14.5,3,6,8,520
Tranquill,LV14.5,3,7,6,520
Tranquill,LV14.5,3,8,5,520
Tranquill,LV14,3,9,15,520
Tranquill,LV14.5,3,10,2,520
Tranquill,LV14,3,11,12,520
Tranquill,LV14,3,12,11,520
Tranquill,LV14,3,14,8,520
Tranquill,LV15,4,0,3,520
Tranquill,LV15,4,1,2,520
Tranquill,LV14.5,4,1,13,520
Tranquill,LV14.5,4,3,10,520
Tranquill,LV14.5,4,5,7,520
Tranquill,LV14.5,4,7,4,520
Tranquill,LV14,4,8,14,520
Tranquill,LV14.5,4,9,1,520
Tranquill,LV14,4,9,13,520
Tranquill,LV14.5,4,10,0,520
Tranquill,LV14,4,11,10,520
Tranquill,LV14,4,13,7,520
Tranquill,LV14,4,14,6,520
Tranquill,LV15,5,0,1,520
Tranquill,LV14.5,5,0,12,520
Tranquill,LV14.5,5,1,11,520
Tranquill,LV14.5,5,2,9,520
Tranquill,LV14.5,5,4,6,520
Tranquill,LV14.5,5,5,5,520
Tranquill,LV14.5,5,6,3,520
Tranquill,LV14,5,6,15,520
Tranquill,LV14.5,5,7,2,520
Tranquill,LV14,5,8,12,520
Tranquill,LV14,5,10,9,520
Tranquill,LV14,5,12,6,520
Tranquill,LV14,5,13,5,520
Tranquill,LV14,5,15,2,520
Tranquill,LV13.5,5,15,14,520
Tranquill,LV14.5,6,0,10,520
Tranquill,LV14.5,6,2,7,520
Tranquill,LV14.5,6,4,4,520
Tranquill,LV14,6,5,14,520
Tranquill,LV14.5,6,6,1,520
Tranquill,LV14,6,6,13,520
Tranquill,LV14.5,6,7,0,520
Tranquill,LV14,6,7,11,520
Tranquill,LV14,6,8,10,520
Tranquill,LV14,6,9,8,520
Tranquill,LV14,6,10,7,520
Tranquill,LV14,6,12,4,520
Tranquill,LV14,6,13,3,520
Tranquill,LV13.5,6,13,15,520
Tranquill,LV14,6,15,0,520
Tranquill,LV13.5,6,15,12,520
Tranquill,LV14.5,7,0,8,520
Tranquill,LV14.5,7,1,6,520
Tranquill,LV14.5,7,2,5,520
Tranquill,LV14.5,7,3,3,520
Tranquill,LV14,7,3,15,520
Tranquill,LV14.5,7,4,2,520
Tranquill,LV14,7,5,12,520
