Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Treecko,LV21.5,0,1,6,520
Treecko,LV21,0,1,12,520
Treecko,LV21.5,0,4,2,520
Treecko,LV21,0,4,8,520
Treecko,LV21.5,0,5,1,520
Treecko,LV20.5,0,5,13,520
Treecko,LV21,0,7,4,520
Treecko,LV21,0,8,3,520
Treecko,LV20.5,0,8,9,520
Treecko,LV21,0,9,2,520
Treecko,LV20.5,0,9,8,520
Treecko,LV20,0,10,13,520
Treecko,LV20,0,11,12,520
Treecko,LV20.5,0,12,4,520
Treecko,LV20.5,0,13,3,520
Treecko,LV20.5,0,14,2,520
Treecko,LV20,0,14,8,520
Treecko,LV20.5,0,15,1,520
Treecko,LV20,0,15,7,520
Treecko,LV21.5,1,1,4,520
Treecko,LV21,1,1,10,520
Treecko,LV20.5,1,2,15,520
Treecko,LV21.5,1,4,0,520
Treecko,LV21,1,4,6,520
Treecko,LV20.5,1,4,12,520
Treecko,LV20.5,1,5,11,520
Treecko,LV20,1,7,15,520
Treecko,LV21,1,8,1,520
Treecko,LV20.5,1,8,7,520
Treecko,LV21,1,9,0,520
Treecko,LV20.5,1,9,6,520
Treecko,LV20,1,9,12,520
Treecko,LV20,1,10,11,520
Treecko,LV19.5,1,12,15,520
Treecko,LV20.5,1,13,1,520
Treecko,LV20,1,13,7,520
Treecko,LV19.5,1,13,14,520
Treecko,LV20.5,1,14,0,520
Treecko,LV20,1,14,6,520
Treecko,LV20,1,15,5,520
Treecko,LV21.5,2,1,2,520
Treecko,LV21,2,1,8,520
Treecko,LV20.5,2,1,14,520
Treecko,LV20.5,2,2,13,520
Treecko,LV21,2,4,4,520
Treecko,LV20.5,2,4,10,520
Treecko,LV20.5,2,5,9,520
Treecko,LV20,2,6,14,520
Treecko,LV20.5,2,8,5,520
Treecko,LV20.5,2,9,4,520
Treecko,LV20,2,9,10,520
Treecko,LV20,2,10,9,520
Treecko,LV19.5,2,11,14,520
Treecko,LV19.5,2,12,13,520
Treecko,LV20,2,13,5,520
Treecko,LV20,2,14,4,520
