Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Trubbish,LV23.5,0,0,0,520
Trubbish,LV23,0,0,6,520
Trubbish,LV23,0,1,5,520
Trubbish,LV22.5,0,1,11,520
Trubbish,LV23,0,2,4,520
Trubbish,LV22.5,0,2,10,520
Trubbish,LV22.5,0,3,9,520
Trubbish,LV22,0,5,13,520
Trubbish,LV22,0,6,12,520
Trubbish,LV22,0,7,11,520
Trubbish,LV22.5,0,8,3,520
Trubbish,LV22,0,8,10,520
Trubbish,LV22.5,0,9,2,520
Trubbish,LV22.5,0,10,1,520
Trubbish,LV22.5,0,11,0,520
Trubbish,LV21.5,0,11,13,520
Trubbish,LV21.5,0,12,12,520
Trubbish,LV21.5,0,13,11,520
Trubbish,LV22,0,14,3,520
Trubbish,LV21.5,0,14,10,520
Trubbish,LV22,0,15,2,520
Trubbish,LV21.5,0,15,9,520
Trubbish,LV23,1,0,3,520
Trubbish,LV23,1,1,2,520
Trubbish,LV22.5,1,1,8,520
Trubbish,LV22,1,1,15,520
Trubbish,LV23,1,2,1,520
Trubbish,LV22.5,1,2,7,520
Trubbish,LV23,1,3,0,520
Trubbish,LV22.5,1,3,6,520
Trubbish,LV22.5,1,4,5,520
Trubbish,LV22,1,4,11,520
Trubbish,LV22,1,5,10,520
Trubbish,LV22,1,6,9,520
Trubbish,LV22,1,7,8,520
Trubbish,LV21.5,1,10,11,520
Trubbish,LV21.5,1,11,10,520
Trubbish,LV21.5,1,12,9,520
Trubbish,LV21.5,1,13,8,520
Trubbish,LV21,1,13,15,520
Trubbish,LV21.5,1,14,7,520
Trubbish,LV21,1,14,14,520
Trubbish,LV21.5,1,15,6,520
Trubbish,LV23,2,0,0,520
Trubbish,LV22,2,0,13,520
Trubbish,LV22.5,2,1,5,520
Trubbish,LV22,2,1,12,520
Trubbish,LV22.5,2,2,4,520
Trubbish,LV22.5,2,3,3,520
Trubbish,LV22.5,2,4,2,520
Trubbish,LV22,2,4,8,520
Trubbish,LV21.5,2,4,15,520
Trubbish,LV22.5,2,5,1,520
Trubbish,LV22,2,5,7,520
Trubbish,LV21.5,2,5,14,520
Trubbish,LV22,2,6,6,520
Trubbish,LV21.5,2,6,13,520
Trubbish,LV22,2,7,5,520
Trubbish,LV22,2,8,4,520
Trubbish,LV21.5,2,10,8,520
Trubbish,LV21,2,10,15,520
Trubbish,LV21.5,2,11,7,520
Trubbish,LV21,2,11,14,520
Trubbish,LV21.5,2,12,6,520
Trubbish,LV21,2,12,13,520
Trubbish,LV21.5,2,13,5,520
Trubbish,LV21,2,13,12,520
Trubbish,LV21.5,2,14,4,520
Trubbish,LV21.5,2,15,3,520
Trubbish,LV22,3,0,10,520
Trubbish,LV22,3,1,9,520
Trubbish,LV22.5,3,3,0,520
Trubbish,LV21.5,3,3,13,520
Trubbish,LV21.5,3,4,12,520
Trubbish,LV22,3,5,4,520
Trubbish,LV21.5,3,5,11,520
Trubbish,LV22,3,6,3,520
Trubbish,LV22,3,7,2,520
Trubbish,LV22,3,8,1,520
Trubbish,LV22,3,9,0,520
Trubbish,LV21,3,9,13,520
Trubbish,LV21.5,3,10,5,520
Trubbish,LV21,3,10,12,520
Trubbish,LV21.5,3,11,4,520
Trubbish,LV21,3,11,11,520
Trubbish,LV21.5,3,12,3,520
Trubbish,LV21,3,12,10,520
Trubbish,LV21.5,3,13,2,520
Trubbish,LV21,3,13,9,520
Trubbish,LV21.5,3,14,1,520
Trubbish,LV21,3,14,8,520
Trubbish,LV20.5,3,14,15,520
Trubbish,LV21.5,3,15,0,520
Trubbish,LV20.5,3,15,14,520
Trubbish,LV22.5,4,0,1,520
Trubbish,LV22,4,0,7,520
Trubbish,LV21.5,4,0,14,520
Trubbish,LV22,4,1,6,520
Trubbish,LV22,4,2,5,520
Trubbish,LV21.5,4,3,10,520
Trubbish,LV21.5,4,4,9,520
Trubbish,LV21.5,4,5,8,520
Trubbish,LV21,4,5,15,520
Trubbish,LV21.5,4,6,7,520
Trubbish,LV21,4,6,14,520
Trubbish,LV21,4,9,10,520
Trubbish,LV21,4,10,9,520
Trubbish,LV21,4,11,8,520
Trubbish,LV20.5,4,11,15,520
Trubbish,LV21,4,12,7,520
Trubbish,LV20.5,4,12,14,520
Trubbish,LV21,4,13,6,520
Trubbish,LV20.5,4,13,13,520
Trubbish,LV21,4,14,5,520
Trubbish,LV20.5,4,14,12,520
Trubbish,LV21,4,15,4,520
Trubbish,LV20.5,4,15,11,520
Trubbish,LV22,5,0,4,520
Trubbish,LV21.5,5,0,11,520
Trubbish,LV22,5,1,3,520
Trubbish,LV22,5,2,2,520
Trubbish,LV22,5,3,1,520
Trubbish,LV22,5,4,0,520
Trubbish,LV21.5,5,4,6,520
Trubbish,LV21,5,4,13,520
Trubbish,LV21.5,5,5,5,520
Trubbish,LV21,5,5,12,520
Trubbish,LV21.5,5,6,4,520
Trubbish,LV21,5,6,11,520
Trubbish,LV21.5,5,7,3,520
Trubbish,LV21.5,5,8,2,520
Trubbish,LV21,5,11,5,520
Trubbish,LV20.5,5,11,12,520
Trubbish,LV21,5,12,4,520
Trubbish,LV20.5,5,12,11,520
Trubbish,LV21,5,13,3,520
Trubbish,LV20.5,5,13,10,520
Trubbish,LV21,5,14,2,520
Trubbish,LV20.5,5,14,9,520
Trubbish,LV21,5,15,1,520
Trubbish,LV20.5,5,15,8,520
Trubbish,LV20,5,15,15,520
Trubbish,LV21.5,6,0,8,520
Trubbish,LV21,6,0,15,520
Trubbish,LV21.5,6,1,7,520
Trubbish,LV21,6,1,14,520
Trubbish,LV21,6,4,10,520
Trubbish,LV21,6,5,9,520
Trubbish,LV21.5,6,6,1,520
Trubbish,LV21,6,6,8,520
Trubbish,LV20.5,6,6,15,520
Trubbish,LV21.5,6,7,0,520
Trubbish,LV21,6,7,7,520
Trubbish,LV20.5,6,7,14,520
Trubbish,LV20.5,6,12,8,520
Trubbish,LV20.5,6,13,7,520
Trubbish,LV20.5,6,14,6,520
Trubbish,LV20.5,6,15,5,520
Trubbish,LV20,6,15,12,520
Trubbish,LV21.5,7,0,5,520
Trubbish,LV21,7,0,12,520
Trubbish,LV21.5,7,1,4,520
Trubbish,LV21,7,1,11,520
Trubbish,LV21.5,7,2,3,520
Trubbish,LV21.5,7,3,2,520
Trubbish,LV21,7,5,6,520
Trubbish,LV20.5,7,5,13,520
Trubbish,LV21,7,6,5,520
Trubbish,LV20.5,7,6,12,520
Trubbish,LV21,7,7,4,520
Trubbish,LV20.5,7,7,11,520
Trubbish,LV21,7,8,3,520
Trubbish,LV20.5,7,8,10,520
Trubbish,LV21,7,9,2,520
Trubbish,LV21,7,10,1,520
Trubbish,LV20,7,10,15,520
Trubbish,LV20,7,11,14,520
Trubbish,LV21,8,0,9,520
Trubbish,LV21,8,1,8,520
Trubbish,LV20.5,8,1,15,520
Trubbish,LV21.5,8,2,0,520
Trubbish,LV21,8,2,7,520
Trubbish,LV20.5,8,2,14,520
Trubbish,LV20.5,8,3,13,520
Trubbish,LV20.5,8,6,9,520
Trubbish,LV20.5,8,7,8,520
Trubbish,LV21,8,8,0,520
Trubbish,LV20.5,8,8,7,520
Trubbish,LV20,8,8,14,520
Trubbish,LV20.5,8,9,6,520
Trubbish,LV20,8,9,13,520
Trubbish,LV20.5,8,10,5,520
Trubbish,LV20,8,10,12,520
Trubbish,LV20.5,8,11,4,520
Trubbish,LV20,8,11,11,520
Trubbish,LV20,8,12,10,520
Trubbish,LV19.5,8,14,15,520
Trubbish,LV19.5,8,15,14,520
Trubbish,LV21.5,9,0,0,520
Trubbish,LV21,9,1,5,520
Trubbish,LV21,9,2,4,520
Trubbish,LV20.5,9,2,11,520
Trubbish,LV21,9,3,3,520
Trubbish,LV20.5,9,3,10,520
Trubbish,LV21,9,4,2,520
Trubbish,LV20.5,9,4,9,520
Trubbish,LV21,9,5,1,520
Trubbish,LV20,9,5,15,520
Trubbish,LV20,9,6,14,520
Trubbish,LV20.5,9,8,4,520
Trubbish,LV20.5,9,9,3,520
Trubbish,LV20,9,9,10,520
Trubbish,LV20.5,9,10,2,520
Trubbish,LV20,9,10,9,520
Trubbish,LV20.5,9,11,1,520
Trubbish,LV20,9,11,8,520
Trubbish,LV20.5,9,12,0,520
Trubbish,LV20,9,12,7,520
Trubbish,LV20,9,13,6,520
Trubbish,LV20,9,14,5,520
Trubbish,LV19.5,9,14,12,520
Trubbish,LV20,9,15,4,520
Trubbish,LV19.5,9,15,11,520
Trubbish,LV21,10,0,4,520
Trubbish,LV20.5,10,3,7,520
Trubbish,LV20.5,10,4,6,520
Trubbish,LV20,10,4,13,520
Trubbish,LV20.5,10,5,5,520
Trubbish,LV20,10,5,12,520
Trubbish,LV20.5,10,6,4,520
Trubbish,LV20,10,6,11,520
Trubbish,LV20,10,7,10,520
Trubbish,LV19.5,10,9,15,520
Trubbish,LV19.5,10,10,14,520
Trubbish,LV19.5,10,11,13,520
Trubbish,LV20,10,13,3,520
Trubbish,LV20,10,14,2,520
Trubbish,LV20,10,15,1,520
Trubbish,LV21,11,0,1,520
