Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Trumbeak,LV14.5,0,0,14,520
Trumbeak,LV15,0,1,2,520
Trumbeak,LV14.5,0,2,11,520
Trumbeak,LV14.5,0,4,8,520
Trumbeak,LV14.5,0,6,5,520
Trumbeak,LV14.5,0,8,2,520
Trumbeak,LV14,0,8,13,520
Trumbeak,LV14.5,0,9,1,520
Trumbeak,LV14,0,10,10,520
Trumbeak,LV14,0,12,7,520
Trumbeak,LV14,0,13,6,520
Trumbeak,LV14,0,15,3,520
Trumbeak,LV14.5,1,0,12,520
Trumbeak,LV15,1,1,0,520
Trumbeak,LV14.5,1,2,9,520
Trumbeak,LV14.5,1,4,6,520
Trumbeak,LV14.5,1,6,3,520
Trumbeak,LV14,1,6,14,520
Trumbeak,LV14,1,8,11,520
Trumbeak,LV14,1,10,8,520
Trumbeak,LV14,1,11,7,520
Trumbeak,LV14,1,13,4,520
Trumbeak,LV13.5,1,14,14,520
Trumbeak,LV15,2,0,0,520
Trumbeak,LV14.5,2,0,10,520
Trumbeak,LV14.5,2,2,7,520
Trumbeak,LV14.5,2,4,4,520
Trumbeak,LV14,2,4,15,520
Trumbeak,LV14.5,2,6,1,520
Trumbeak,LV14,2,6,12,520
Trumbeak,LV14.5,2,7,0,520
Trumbeak,LV14,2,8,9,520
Trumbeak,LV14,2,10,6,520
Trumbeak,LV14,2,11,5,520
Trumbeak,LV13.5,2,12,15,520
Trumbeak,LV14,2,13,2,520
Trumbeak,LV14,2,14,1,520
Trumbeak,LV13.5,2,14,12,520
Trumbeak,LV14.5,3,0,8,520
Trumbeak,LV14.5,3,2,5,520
Trumbeak,LV14.5,3,4,2,520
Trumbeak,LV14,3,4,13,520
Trumbeak,LV14.5,3,5,1,520
Trumbeak,LV14,3,6,10,520
Trumbeak,LV14,3,8,7,520
Trumbeak,LV14,3,11,3,520
Trumbeak,LV13.5,3,11,14,520
Trumbeak,LV13.5,3,12,13,520
Trumbeak,LV13.5,3,14,10,520
Trumbeak,LV14.5,4,0,6,520
Trumbeak,LV14.5,4,1,5,520
Trumbeak,LV14.5,4,2,3,520
Trumbeak,LV14,4,2,14,520
Trumbeak,LV14.5,4,3,2,520
Trumbeak,LV14,4,4,11,520
Trumbeak,LV14,4,6,8,520
Trumbeak,LV14,4,8,5,520
Trumbeak,LV14,4,9,4,520
Trumbeak,LV13.5,4,9,15,520
Trumbeak,LV14,4,11,1,520
Trumbeak,LV13.5,4,11,12,520
Trumbeak,LV14,4,12,0,520
Trumbeak,LV13.5,4,12,11,520
Trumbeak,LV13.5,4,14,8,520
Trumbeak,LV13.5,4,15,7,520
Trumbeak,LV14.5,5,1,3,520
Trumbeak,LV14,5,1,14,520
Trumbeak,LV14,5,2,12,520
Trumbeak,LV14.5,5,3,0,520
Trumbeak,LV14,5,4,9,520
Trumbeak,LV14,5,6,6,520
Trumbeak,LV14,5,7,5,520
Trumbeak,LV14,5,9,2,520
Trumbeak,LV13.5,5,9,13,520
Trumbeak,LV13.5,5,10,12,520
Trumbeak,LV13.5,5,12,9,520
Trumbeak,LV13.5,5,14,6,520
Trumbeak,LV13.5,5,15,5,520
Trumbeak,LV14.5,6,1,1,520
Trumbeak,LV14,6,1,12,520
Trumbeak,LV14,6,2,10,520
Trumbeak,LV14,6,3,9,520
Trumbeak,LV14,6,4,7,520
Trumbeak,LV14,6,5,6,520
Trumbeak,LV14,6,7,3,520
Trumbeak,LV13.5,6,7,14,520
Trumbeak,LV13.5,6,8,13,520
Trumbeak,LV14,6,9,0,520
Trumbeak,LV13.5,6,9,11,520
Trumbeak,LV13.5,6,10,10,520
Trumbeak,LV13.5,6,12,7,520
Trumbeak,LV13.5,6,15,3,520
Trumbeak,LV13,6,15,15,520
Trumbeak,LV14.5,7,0,1,520
Trumbeak,LV14,7,1,10,520
Trumbeak,LV14,7,3,7,520
Trumbeak,LV14,7,5,4,520
Trumbeak,LV13.5,7,5,15,520
Trumbeak,LV13.5,7,6,14,520
Trumbeak,LV14,7,7,1,520
Trumbeak,LV13.5,7,7,12,520
Trumbeak,LV14,7,8,0,520
Trumbeak,LV13.5,7,8,11,520
Trumbeak,LV13.5,7,10,8,520
Trumbeak,LV13.5,7,12,5,520
Trumbeak,LV13.5,7,13,4,520
Trumbeak,LV13,7,14,14,520
Trumbeak,LV13.5,7,15,1,520
Trumbeak,LV13,7,15,13,520
Trumbeak,LV14,8,1,8,520
Trumbeak,LV14,8,3,5,520
Trumbeak,LV13.5,8,4,15,520
Trumbeak,LV14,8,5,2,520
Trumbeak,LV14,8,6,1,520
Trumbeak,LV13.5,8,6,12,520
Trumbeak,LV13.5,8,8,9,520
Trumbeak,LV13.5,8,10,6,520
Trumbeak,LV13.5,8,11,5,520
Trumbeak,LV13,8,12,15,520
Trumbeak,LV13.5,8,13,2,520
Trumbeak,LV13.5,8,14,1,520
Trumbeak,LV13,8,14,12,520
Trumbeak,LV13,8,15,11,520
Trumbeak,LV14,9,0,8,520
Trumbeak,LV14,9,1,6,520
Trumbeak,LV14,9,2,5,520
Trumbeak,LV14,9,3,3,520
Trumbeak,LV14,9,4,2,520
Trumbeak,LV13.5,9,4,13,520
Trumbeak,LV13.5,9,6,10,520
Trumbeak,LV13.5,9,8,7,520
Trumbeak,LV13.5,9,11,3,520
Trumbeak,LV13,9,12,13,520
Trumbeak,LV13,9,13,12,520
Trumbeak,LV13,9,15,9,520
Trumbeak,LV14,10,0,6,520
Trumbeak,LV14,10,2,3,520
Trumbeak,LV13.5,10,2,14,520
Trumbeak,LV14,10,4,0,520
Trumbeak,LV13.5,10,4,11,520
Trumbeak,LV13.5,10,6,8,520
Trumbeak,LV13.5,10,7,7,520
Trumbeak,LV13.5,10,9,4,520
Trumbeak,LV13,10,10,14,520
Trumbeak,LV13.5,10,11,1,520
Trumbeak,LV13,10,11,13,520
Trumbeak,LV13.5,10,12,0,520
Trumbeak,LV13,10,13,10,520
Trumbeak,LV13,10,15,7,520
Trumbeak,LV14,11,0,4,520
Trumbeak,LV13.5,11,1,14,520
Trumbeak,LV14,11,2,1,520
Trumbeak,LV14,11,3,0,520
Trumbeak,LV13.5,11,3,11,520
Trumbeak,LV13.5,11,4,9,520
Trumbeak,LV13.5,11,5,8,520
Trumbeak,LV13.5,11,7,5,520
Trumbeak,LV13,11,8,15,520
Trumbeak,LV13.5,11,9,2,520
Trumbeak,LV13,11,9,14,520
Trumbeak,LV13.5,11,10,1,520
Trumbeak,LV13,11,11,11,520
Trumbeak,LV13,11,13,8,520
Trumbeak,LV13,11,14,7,520
Trumbeak,LV14,12,1,1,520
Trumbeak,LV13.5,12,1,12,520
Trumbeak,LV13.5,12,3,9,520
Trumbeak,LV13.5,12,5,6,520
Trumbeak,LV13.5,12,7,3,520
Trumbeak,LV13,12,7,15,520
Trumbeak,LV13.5,12,8,2,520
Trumbeak,LV13,12,9,12,520
Trumbeak,LV13,12,11,9,520
Trumbeak,LV13,12,14,5,520
Trumbeak,LV13.5,13,0,12,520
Trumbeak,LV13.5,13,1,10,520
Trumbeak,LV13.5,13,3,7,520
Trumbeak,LV13.5,13,5,4,520
Trumbeak,LV13.5,13,6,3,520
Trumbeak,LV13,13,7,13,520
Trumbeak,LV13.5,13,8,0,520
Trumbeak,LV13,13,9,10,520
Trumbeak,LV13,13,11,7,520
Trumbeak,LV13,13,12,6,520
Trumbeak,LV13,13,14,3,520
Trumbeak,LV13,13,15,2,520
Trumbeak,LV12.5,13,15,14,520
Trumbeak,LV13.5,14,0,10,520
Trumbeak,LV13.5,14,2,7,520
Trumbeak,LV13.5,14,4,4,520
Trumbeak,LV13,14,5,14,520
Trumbeak,LV13.5,14,6,1,520
Trumbeak,LV13.5,14,7,0,520
Trumbeak,LV13,14,7,11,520
Trumbeak,LV13,14,9,8,520
Trumbeak,LV13,14,10,7,520
Trumbeak,LV13,14,12,4,520
Trumbeak,LV13,14,13,3,520
Trumbeak,LV12.5,14,13,15,520
Trumbeak,LV13,14,15,0,520
Trumbeak,LV12.5,14,15,12,520
Trumbeak,LV13.5,15,0,8,520
Trumbeak,LV13.5,15,2,5,520
Trumbeak,LV13.5,15,4,2,520
Trumbeak,LV13,15,4,14,520
Trumbeak,LV13.5,15,5,1,520
Trumbeak,LV13,15,6,11,520
Trumbeak,LV13,15,8,8,520
Trumbeak,LV13,15,10,5,520
Trumbeak,LV13,15,11,4,520
Trumbeak,LV13,15,13,1,520
Trumbeak,LV12.5,15,13,13,520
Trumbeak,LV13,15,14,0,520
Trumbeak,LV12.5,15,14,12,520
