Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tympole,LV28.5,0,0,3,520
Tympole,LV28,0,0,8,520
Tympole,LV27.5,0,0,13,520
Tympole,LV28.5,0,1,1,520
Tympole,LV28,0,1,6,520
Tympole,LV27.5,0,1,11,520
Tympole,LV28,0,2,4,520
Tympole,LV27,0,2,15,520
Tympole,LV27,0,3,13,520
Tympole,LV28,0,4,1,520
Tympole,LV27.5,0,4,6,520
Tympole,LV27,0,4,11,520
Tympole,LV27.5,0,5,4,520
Tympole,LV26.5,0,5,15,520
Tympole,LV26.5,0,6,13,520
Tympole,LV27.5,0,7,1,520
Tympole,LV27,0,7,6,520
Tympole,LV26.5,0,9,8,520
Tympole,LV27,0,10,1,520
Tympole,LV26,0,10,12,520
Tympole,LV26,0,11,10,520
Tympole,LV26.5,0,12,3,520
Tympole,LV26,0,13,7,520
Tympole,LV26.5,0,14,0,520
Tympole,LV25.5,0,14,11,520
Tympole,LV26,0,15,4,520
Tympole,LV28.5,1,0,0,520
Tympole,LV28,1,0,5,520
Tympole,LV27.5,1,0,10,520
Tympole,LV28,1,1,3,520
Tympole,LV27,1,1,14,520
Tympole,LV27,1,2,12,520
Tympole,LV27,1,3,10,520
Tympole,LV27.5,1,4,3,520
Tympole,LV27,1,4,8,520
Tympole,LV26.5,1,4,14,520
Tympole,LV26.5,1,5,12,520
Tympole,LV27,1,6,5,520
Tympole,LV26.5,1,6,10,520
Tympole,LV27,1,7,3,520
Tympole,LV26,1,7,14,520
Tympole,LV27,1,9,0,520
Tympole,LV26.5,1,9,5,520
Tympole,LV26,1,10,9,520
Tympole,LV26.5,1,11,2,520
Tympole,LV26,1,11,7,520
Tympole,LV25.5,1,11,13,520
Tympole,LV26,1,13,4,520
Tympole,LV25.5,1,14,8,520
Tympole,LV25,1,14,14,520
Tympole,LV26,1,15,1,520
Tympole,LV28,2,0,2,520
Tympole,LV27.5,2,0,7,520
Tympole,LV27,2,2,9,520
Tympole,LV27.5,2,3,2,520
Tympole,LV27,2,3,7,520
Tympole,LV27.5,2,4,0,520
Tympole,LV26.5,2,4,11,520
Tympole,LV26.5,2,5,9,520
Tympole,LV27,2,6,2,520
Tympole,LV26.5,2,6,7,520
Tympole,LV26,2,6,13,520
Tympole,LV26,2,7,11,520
Tympole,LV26.5,2,8,4,520
Tympole,LV25.5,2,8,15,520
Tympole,LV26.5,2,9,2,520
Tympole,LV26,2,10,6,520
Tympole,LV25.5,2,11,10,520
Tympole,LV26,2,12,3,520
Tympole,LV25,2,12,14,520
Tympole,LV25.5,2,13,7,520
Tympole,LV26,2,14,0,520
Tympole,LV25.5,2,14,5,520
Tympole,LV25,2,14,11,520
Tympole,LV26.5,3,0,15,520
Tympole,LV27,3,1,8,520
Tympole,LV27.5,3,2,1,520
Tympole,LV27,3,2,6,520
Tympole,LV27,3,3,4,520
Tympole,LV26.5,3,4,8,520
Tympole,LV27,3,5,1,520
Tympole,LV26.5,3,5,6,520
Tympole,LV26,3,6,10,520
Tympole,LV26,3,7,8,520
Tympole,LV25.5,3,7,14,520
Tympole,LV26.5,3,8,1,520
Tympole,LV25.5,3,8,12,520
Tympole,LV26,3,9,5,520
Tympole,LV26,3,10,3,520
Tympole,LV25.5,3,10,9,520
Tympole,LV25.5,3,11,7,520
Tympole,LV25,3,11,13,520
Tympole,LV26,3,12,0,520
Tympole,LV25,3,12,11,520
Tympole,LV25.5,3,13,4,520
Tympole,LV25,3,14,8,520
Tympole,LV24.5,3,14,14,520
Tympole,LV25.5,3,15,1,520
