Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tyranitar Mega Tyranitar,LV4,0,0,15,520
Tyranitar Mega Tyranitar,LV4,0,1,15,520
Tyranitar Mega Tyranitar,LV4,0,2,14,520
Tyranitar Mega Tyranitar,LV4,0,3,13,520
Tyranitar Mega Tyranitar,LV4,0,4,12,520
Tyranitar Mega Tyranitar,LV4,0,5,11,520
Tyranitar Mega Tyranitar,LV4,0,6,10,520
Tyranitar Mega Tyranitar,LV4,0,8,9,520
Tyranitar Mega Tyranitar,LV4,0,9,8,520
Tyranitar Mega Tyranitar,LV4,0,10,7,520
Tyranitar Mega Tyranitar,LV4,0,11,6,520
Tyranitar Mega Tyranitar,LV4,0,12,5,520
Tyranitar Mega Tyranitar,LV4,0,13,5,520
Tyranitar Mega Tyranitar,LV4,0,14,4,520
Tyranitar Mega Tyranitar,LV4,0,15,3,520
Tyranitar Mega Tyranitar,LV4,1,0,14,520
Tyranitar Mega Tyranitar,LV4,1,1,13,520
Tyranitar Mega Tyranitar,LV4,1,2,12,520
Tyranitar Mega Tyranitar,LV4,1,3,11,520
Tyranitar Mega Tyranitar,LV4,1,4,10,520
Tyranitar Mega Tyranitar,LV4,1,5,10,520
Tyranitar Mega Tyranitar,LV4,1,6,9,520
Tyranitar Mega Tyranitar,LV4,1,7,8,520
Tyranitar Mega Tyranitar,LV4,1,8,7,520
Tyranitar Mega Tyranitar,LV4,1,9,6,520
Tyranitar Mega Tyranitar,LV4,1,11,5,520
Tyranitar Mega Tyranitar,LV4,1,12,4,520
Tyranitar Mega Tyranitar,LV4,1,13,3,520
Tyranitar Mega Tyranitar,LV4,1,14,2,520
Tyranitar Mega Tyranitar,LV4,2,0,12,520
Tyranitar Mega Tyranitar,LV4,2,2,11,520
Tyranitar Mega Tyranitar,LV4,2,3,10,520
Tyranitar Mega Tyranitar,LV4,2,4,9,520
Tyranitar Mega Tyranitar,LV4,2,5,8,520
Tyranitar Mega Tyranitar,LV4,2,6,7,520
Tyranitar Mega Tyranitar,LV4,2,8,6,520
Tyranitar Mega Tyranitar,LV4,2,9,5,520
Tyranitar Mega Tyranitar,LV4,2,10,4,520
Tyranitar Mega Tyranitar,LV4,2,11,3,520
Tyranitar Mega Tyranitar,LV4,2,13,2,520
Tyranitar Mega Tyranitar,LV4,2,14,1,520
Tyranitar Mega Tyranitar,LV4,2,15,0,520
Tyranitar Mega Tyranitar,LV4,3,0,11,520
Tyranitar Mega Tyranitar,LV4,3,1,10,520
Tyranitar Mega Tyranitar,LV4,3,2,9,520
Tyranitar Mega Tyranitar,LV4,3,3,8,520
Tyranitar Mega Tyranitar,LV4,3,4,7,520
Tyranitar Mega Tyranitar,LV4,3,5,7,520
Tyranitar Mega Tyranitar,LV4,3,6,6,520
Tyranitar Mega Tyranitar,LV4,3,7,5,520
Tyranitar Mega Tyranitar,LV4,3,8,4,520
Tyranitar Mega Tyranitar,LV4,3,9,3,520
Tyranitar Mega Tyranitar,LV4,3,10,3,520
Tyranitar Mega Tyranitar,LV4,3,11,2,520
Tyranitar Mega Tyranitar,LV4,3,12,1,520
Tyranitar Mega Tyranitar,LV4,3,13,0,520
Tyranitar Mega Tyranitar,LV4,4,0,9,520
Tyranitar Mega Tyranitar,LV4,4,2,8,520
Tyranitar Mega Tyranitar,LV4,4,3,7,520
Tyranitar Mega Tyranitar,LV4,4,4,6,520
Tyranitar Mega Tyranitar,LV4,4,5,5,520
Tyranitar Mega Tyranitar,LV4,4,6,4,520
Tyranitar Mega Tyranitar,LV4,4,8,3,520
Tyranitar Mega Tyranitar,LV4,4,9,2,520
