Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tyrogue,LV50,11,14,13,520
Tyrogue,LV49,11,15,14,520
Tyrogue,LV50,12,12,13,520
Tyrogue,LV50,12,13,11,520
Tyrogue,LV49,12,13,14,520
Tyrogue,LV49.5,12,14,11,520
Tyrogue,LV48.5,12,14,14,520
Tyrogue,LV50,12,15,8,520
Tyrogue,LV49,12,15,11,520
Tyrogue,LV48,12,15,14,520
Tyrogue,LV50,13,10,13,520
Tyrogue,LV50,13,11,11,520
Tyrogue,LV49,13,11,14,520
Tyrogue,LV49.5,13,12,11,520
Tyrogue,LV48.5,13,12,14,520
Tyrogue,LV50,13,13,8,520
Tyrogue,LV49,13,13,11,520
Tyrogue,LV48,13,13,14,520
Tyrogue,LV49.5,13,14,8,520
Tyrogue,LV48.5,13,14,11,520
Tyrogue,LV50,13,15,5,520
Tyrogue,LV49,13,15,8,520
Tyrogue,LV47.5,13,15,12,520
Tyrogue,LV46.5,13,15,15,520
Tyrogue,LV50,14,7,15,520
Tyrogue,LV50,14,8,13,520
Tyrogue,LV49.5,14,9,13,520
Tyrogue,LV49.5,14,10,11,520
Tyrogue,LV48.5,14,10,14,520
Tyrogue,LV50,14,11,8,520
Tyrogue,LV49,14,11,11,520
Tyrogue,LV48,14,11,14,520
Tyrogue,LV49.5,14,12,8,520
Tyrogue,LV48.5,14,12,11,520
Tyrogue,LV47.5,14,12,14,520
Tyrogue,LV50,14,13,5,520
Tyrogue,LV49,14,13,8,520
Tyrogue,LV48.5,14,13,9,520
Tyrogue,LV47.5,14,13,12,520
Tyrogue,LV46.5,14,13,15,520
Tyrogue,LV49.5,14,14,5,520
Tyrogue,LV48,14,14,9,520
Tyrogue,LV47,14,14,12,520
Tyrogue,LV46,14,14,15,520
Tyrogue,LV50,14,15,2,520
Tyrogue,LV49,14,15,5,520
Tyrogue,LV48.5,14,15,6,520
Tyrogue,LV47.5,14,15,9,520
Tyrogue,LV46.5,14,15,12,520
Tyrogue,LV45.5,14,15,15,520
Tyrogue,LV50,15,5,15,520
Tyrogue,LV49.5,15,6,15,520
Tyrogue,LV49.5,15,7,13,520
Tyrogue,LV50,15,8,10,520
Tyrogue,LV49,15,8,13,520
Tyrogue,LV49,15,9,11,520
Tyrogue,LV48,15,9,14,520
Tyrogue,LV49.5,15,10,8,520
Tyrogue,LV48.5,15,10,11,520
Tyrogue,LV47.5,15,10,14,520
Tyrogue,LV50,15,11,5,520
Tyrogue,LV49,15,11,8,520
Tyrogue,LV48,15,11,11,520
Tyrogue,LV47,15,11,14,520
Tyrogue,LV49.5,15,12,5,520
Tyrogue,LV48,15,12,9,520
Tyrogue,LV47,15,12,12,520
Tyrogue,LV46,15,12,15,520
Tyrogue,LV50,15,13,2,520
Tyrogue,LV49,15,13,5,520
Tyrogue,LV48.5,15,13,6,520
Tyrogue,LV47.5,15,13,9,520
Tyrogue,LV46.5,15,13,12,520
Tyrogue,LV45.5,15,13,15,520
Tyrogue,LV49.5,15,14,2,520
Tyrogue,LV48,15,14,6,520
Tyrogue,LV47,15,14,9,520
Tyrogue,LV46,15,14,12,520
Tyrogue,LV45,15,14,15,520
Tyrogue,LV49,15,15,2,520
Tyrogue,LV47.5,15,15,6,520
Tyrogue,LV46.5,15,15,9,520
Tyrogue,LV45.5,15,15,12,520
Tyrogue,LV44.5,15,15,15,520
