Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Tyrunt,LV13.5,0,0,1,520
Tyrunt,LV13,0,0,13,520
Tyrunt,LV13.5,0,1,0,520
Tyrunt,LV13,0,2,10,520
Tyrunt,LV13,0,3,9,520
Tyrunt,LV13,0,4,8,520
Tyrunt,LV13,0,6,5,520
Tyrunt,LV13,0,7,4,520
Tyrunt,LV13,0,8,3,520
Tyrunt,LV13,0,9,2,520
Tyrunt,LV12.5,0,9,14,520
Tyrunt,LV12.5,0,10,13,520
Tyrunt,LV12.5,0,11,12,520
Tyrunt,LV12.5,0,14,8,520
Tyrunt,LV12.5,0,15,7,520
Tyrunt,LV13,1,0,11,520
Tyrunt,LV13,1,2,8,520
Tyrunt,LV13,1,3,7,520
Tyrunt,LV13,1,4,6,520
Tyrunt,LV13,1,7,2,520
Tyrunt,LV13,1,8,1,520
Tyrunt,LV13,1,9,0,520
Tyrunt,LV12.5,1,9,12,520
Tyrunt,LV12.5,1,10,11,520
Tyrunt,LV12.5,1,14,6,520
Tyrunt,LV12.5,1,15,5,520
Tyrunt,LV13,2,0,9,520
Tyrunt,LV13,2,2,6,520
Tyrunt,LV13,2,3,5,520
Tyrunt,LV13,2,4,4,520
Tyrunt,LV12.5,2,5,15,520
Tyrunt,LV12.5,2,6,14,520
Tyrunt,LV13,2,7,0,520
Tyrunt,LV12.5,2,8,11,520
Tyrunt,LV12.5,2,9,10,520
Tyrunt,LV12.5,2,10,9,520
Tyrunt,LV12.5,2,14,4,520
Tyrunt,LV12.5,2,15,3,520
Tyrunt,LV13,3,0,7,520
Tyrunt,LV13,3,3,3,520
Tyrunt,LV13,3,4,2,520
Tyrunt,LV12.5,3,5,13,520
Tyrunt,LV12.5,3,6,12,520
Tyrunt,LV12.5,3,8,9,520
Tyrunt,LV12.5,3,9,8,520
Tyrunt,LV12.5,3,10,7,520
Tyrunt,LV12.5,3,11,6,520
Tyrunt,LV12.5,3,14,2,520
Tyrunt,LV12,3,14,15,520
Tyrunt,LV12.5,3,15,1,520
Tyrunt,LV12,3,15,14,520
Tyrunt,LV13,4,0,5,520
Tyrunt,LV12.5,4,2,15,520
Tyrunt,LV13,4,3,1,520
Tyrunt,LV13,4,4,0,520
Tyrunt,LV12.5,4,4,12,520
Tyrunt,LV12.5,4,5,11,520
Tyrunt,LV12.5,4,6,10,520
Tyrunt,LV12.5,4,9,6,520
Tyrunt,LV12.5,4,10,5,520
Tyrunt,LV12.5,4,11,4,520
Tyrunt,LV12,4,14,13,520
Tyrunt,LV12,4,15,12,520
Tyrunt,LV13,5,0,3,520
Tyrunt,LV13,5,1,2,520
Tyrunt,LV12.5,5,1,14,520
Tyrunt,LV12.5,5,2,13,520
Tyrunt,LV12.5,5,4,10,520
Tyrunt,LV12.5,5,5,9,520
Tyrunt,LV12.5,5,6,8,520
Tyrunt,LV12.5,5,9,4,520
Tyrunt,LV12.5,5,10,3,520
Tyrunt,LV12.5,5,11,2,520
Tyrunt,LV12,5,11,15,520
Tyrunt,LV12.5,5,12,1,520
Tyrunt,LV12,5,14,11,520
Tyrunt,LV12,5,15,10,520
Tyrunt,LV13,6,0,1,520
Tyrunt,LV13,6,1,0,520
Tyrunt,LV12.5,6,1,12,520
Tyrunt,LV12.5,6,2,11,520
Tyrunt,LV12.5,6,5,7,520
Tyrunt,LV12.5,6,6,6,520
Tyrunt,LV12.5,6,10,1,520
Tyrunt,LV12,6,10,14,520
Tyrunt,LV12.5,6,11,0,520
Tyrunt,LV12,6,11,13,520
Tyrunt,LV12,6,14,9,520
Tyrunt,LV12,6,15,8,520
Tyrunt,LV12.5,7,1,10,520
Tyrunt,LV12.5,7,2,9,520
Tyrunt,LV12.5,7,5,5,520
Tyrunt,LV12.5,7,6,4,520
Tyrunt,LV12.5,7,7,3,520
Tyrunt,LV12,7,10,12,520
Tyrunt,LV12,7,11,11,520
Tyrunt,LV12,7,15,6,520
Tyrunt,LV12.5,8,1,8,520
Tyrunt,LV12.5,8,2,7,520
Tyrunt,LV12.5,8,3,6,520
Tyrunt,LV12.5,8,6,2,520
Tyrunt,LV12,8,6,15,520
Tyrunt,LV12.5,8,7,1,520
Tyrunt,LV12,8,7,14,520
Tyrunt,LV12.5,8,8,0,520
Tyrunt,LV12,8,10,10,520
Tyrunt,LV12,8,11,9,520
Tyrunt,LV12,8,12,8,520
Tyrunt,LV12.5,9,2,5,520
Tyrunt,LV12.5,9,3,4,520
Tyrunt,LV12,9,6,13,520
Tyrunt,LV12,9,7,12,520
Tyrunt,LV12,9,10,8,520
Tyrunt,LV12,9,11,7,520
Tyrunt,LV12,9,12,6,520
Tyrunt,LV12,9,13,5,520
Tyrunt,LV12.5,10,0,6,520
Tyrunt,LV12.5,10,2,3,520
Tyrunt,LV12.5,10,3,2,520
Tyrunt,LV12,10,3,15,520
Tyrunt,LV12.5,10,4,1,520
Tyrunt,LV12,10,4,14,520
Tyrunt,LV12,10,6,11,520
Tyrunt,LV12,10,7,10,520
Tyrunt,LV12,10,8,9,520
Tyrunt,LV12,10,11,5,520
Tyrunt,LV12,10,12,4,520
Tyrunt,LV12,10,13,3,520
Tyrunt,LV12,10,14,2,520
Tyrunt,LV11.5,10,14,15,520
Tyrunt,LV11.5,10,15,14,520
Tyrunt,LV12.5,11,0,4,520
Tyrunt,LV12.5,11,3,0,520
Tyrunt,LV12,11,3,13,520
Tyrunt,LV12,11,4,12,520
Tyrunt,LV12,11,6,9,520
Tyrunt,LV12,11,7,8,520
Tyrunt,LV12,11,8,7,520
Tyrunt,LV12,11,12,2,520
Tyrunt,LV12,11,13,1,520
Tyrunt,LV12,11,14,0,520
Tyrunt,LV11.5,11,15,12,520
Tyrunt,LV12.5,12,0,2,520
Tyrunt,LV12,12,0,15,520
Tyrunt,LV12.5,12,1,1,520
Tyrunt,LV12,12,1,14,520
Tyrunt,LV12,12,3,11,520
Tyrunt,LV12,12,4,10,520
Tyrunt,LV12,12,7,6,520
Tyrunt,LV12,12,8,5,520
Tyrunt,LV12,12,9,4,520
Tyrunt,LV11.5,12,11,15,520
Tyrunt,LV11.5,12,12,14,520
Tyrunt,LV11.5,12,15,10,520
Tyrunt,LV12,13,0,13,520
Tyrunt,LV12,13,1,12,520
Tyrunt,LV12,13,3,9,520
Tyrunt,LV12,13,4,8,520
Tyrunt,LV12,13,5,7,520
Tyrunt,LV12,13,8,3,520
Tyrunt,LV12,13,9,2,520
Tyrunt,LV12,13,10,1,520
Tyrunt,LV12,13,11,0,520
Tyrunt,LV11.5,13,11,13,520
Tyrunt,LV11.5,13,12,12,520
Tyrunt,LV11.5,13,13,11,520
Tyrunt,LV12,14,0,11,520
Tyrunt,LV12,14,1,10,520
Tyrunt,LV12,14,2,9,520
Tyrunt,LV12,14,4,6,520
Tyrunt,LV12,14,5,5,520
Tyrunt,LV12,14,6,4,520
Tyrunt,LV11.5,14,8,15,520
Tyrunt,LV12,14,9,0,520
Tyrunt,LV11.5,14,11,11,520
Tyrunt,LV11.5,14,12,10,520
Tyrunt,LV11.5,14,13,9,520
Tyrunt,LV12,15,1,8,520
Tyrunt,LV12,15,2,7,520
Tyrunt,LV12,15,5,3,520
Tyrunt,LV12,15,6,2,520
Tyrunt,LV12,15,7,1,520
Tyrunt,LV11.5,15,7,14,520
Tyrunt,LV11.5,15,8,13,520
Tyrunt,LV11.5,15,9,12,520
Tyrunt,LV11.5,15,12,8,520
Tyrunt,LV11.5,15,13,7,520
Tyrunt,LV11.5,15,14,6,520
