Name,Level,Attack_IV,Defense_IV,HP_IV,CP
Umbreon,LV10,0,0,7,520
Umbreon,LV10,0,1,6,520
Umbreon,LV10,0,2,5,520
Umbreon,LV10,0,3,4,520
Umbreon,LV10,0,5,3,520
Umbreon,LV10,0,6,2,520
Umbreon,LV10,0,7,1,520
Umbreon,LV10,0,8,0,520
Umbreon,LV10,1,0,4,520
Umbreon,LV10,1,1,3,520
Umbreon,LV10,1,2,2,520
Umbreon,LV10,1,3,1,520
Umbreon,LV10,1,4,0,520
Umbreon,LV9.5,1,14,15,520
Umbreon,LV9.5,1,15,14,520
Umbreon,LV10,2,0,0,520
Umbreon,LV9.5,2,10,15,520
Umbreon,LV9.5,2,13,13,520
Umbreon,LV9.5,2,14,12,520
Umbreon,LV9.5,2,15,11,520
Umbreon,LV9.5,3,7,15,520
Umbreon,LV9.5,3,8,14,520
Umbreon,LV9.5,3,9,13,520
Umbreon,LV9.5,3,10,12,520
Umbreon,LV9.5,3,11,11,520
Umbreon,LV9.5,3,12,10,520
Umbreon,LV9.5,3,13,9,520
Umbreon,LV9.5,3,14,8,520
Umbreon,LV9.5,3,15,7,520
Umbreon,LV9.5,4,3,15,520
Umbreon,LV9.5,4,4,14,520
Umbreon,LV9.5,4,5,13,520
Umbreon,LV9.5,4,6,12,520
Umbreon,LV9.5,4,7,11,520
Umbreon,LV9.5,4,8,10,520
Umbreon,LV9.5,4,9,9,520
Umbreon,LV9.5,4,10,8,520
Umbreon,LV9.5,4,11,7,520
Umbreon,LV9.5,4,13,6,520
Umbreon,LV9.5,4,14,5,520
Umbreon,LV9.5,4,15,4,520
Umbreon,LV9.5,5,0,14,520
Umbreon,LV9.5,5,1,13,520
Umbreon,LV9.5,5,2,12,520
Umbreon,LV9.5,5,3,11,520
Umbreon,LV9.5,5,4,10,520
Umbreon,LV9.5,5,5,9,520
Umbreon,LV9.5,5,7,8,520
Umbreon,LV9.5,5,8,7,520
Umbreon,LV9.5,5,9,6,520
Umbreon,LV9.5,5,10,5,520
Umbreon,LV9.5,5,11,4,520
Umbreon,LV9.5,5,12,3,520
Umbreon,LV9.5,5,13,2,520
Umbreon,LV9.5,5,14,1,520
Umbreon,LV9.5,6,0,11,520
Umbreon,LV9.5,6,1,10,520
Umbreon,LV9.5,6,2,9,520
Umbreon,LV9.5,6,3,8,520
Umbreon,LV9.5,6,4,7,520
Umbreon,LV9.5,6,5,6,520
Umbreon,LV9.5,6,6,5,520
Umbreon,LV9.5,6,7,4,520
Umbreon,LV9.5,6,8,3,520
Umbreon,LV9.5,6,11,1,520
Umbreon,LV9.5,6,12,0,520
Umbreon,LV9.5,7,0,7,520
Umbreon,LV9.5,7,1,6,520
Umbreon,LV9.5,7,2,5,520
Umbreon,LV9.5,7,5,3,520
Umbreon,LV9.5,7,6,2,520
Umbreon,LV9.5,7,7,1,520
Umbreon,LV9.5,7,8,0,520
Umbreon,LV9.5,8,0,4,520
Umbreon,LV9.5,8,1,3,520
Umbreon,LV9.5,8,2,2,520
Umbreon,LV9.5,8,3,1,520
Umbreon,LV9.5,8,4,0,520
Umbreon,LV9.5,9,0,1,520
Umbreon,LV9.5,9,1,0,520
Umbreon,LV9,9,12,15,520
Umbreon,LV9,9,14,14,520
Umbreon,LV9,9,15,13,520
Umbreon,LV9,10,9,15,520
Umbreon,LV9,10,10,14,520
Umbreon,LV9,10,11,13,520
Umbreon,LV9,10,12,12,520
Umbreon,LV9,10,13,11,520
Umbreon,LV9,10,14,10,520
Umbreon,LV9,10,15,9,520
Umbreon,LV9,11,5,15,520
Umbreon,LV9,11,6,14,520
Umbreon,LV9,11,7,13,520
Umbreon,LV9,11,8,12,520
Umbreon,LV9,11,9,11,520
Umbreon,LV9,11,11,10,520
Umbreon,LV9,11,12,9,520
Umbreon,LV9,11,13,8,520
Umbreon,LV9,11,14,7,520
Umbreon,LV9,11,15,6,520
Umbreon,LV9,12,2,15,520
Umbreon,LV9,12,3,14,520
Umbreon,LV9,12,4,13,520
Umbreon,LV9,12,5,12,520
Umbreon,LV9,12,6,11,520
Umbreon,LV9,12,7,10,520
Umbreon,LV9,12,8,9,520
Umbreon,LV9,12,9,8,520
Umbreon,LV9,12,10,7,520
Umbreon,LV9,12,11,6,520
Umbreon,LV9,12,13,5,520
Umbreon,LV9,12,14,4,520
Umbreon,LV9,12,15,3,520
Umbreon,LV9,13,0,13,520
Umbreon,LV9,13,1,12,520
Umbreon,LV9,13,2,11,520
Umbreon,LV9,13,3,10,520
Umbreon,LV9,13,6,8,520
Umbreon,LV9,13,7,7,520
Umbreon,LV9,13,8,6,520
Umbreon,LV9,13,9,5,520
Umbreon,LV9,13,10,4,520
Umbreon,LV9,13,11,3,520
Umbreon,LV9,13,12,2,520
Umbreon,LV9,13,15,0,520
Umbreon,LV9,14,0,10,520
Umbreon,LV9,14,1,9,520
Umbreon,LV9,14,2,8,520
Umbreon,LV9,14,3,7,520
Umbreon,LV9,14,4,6,520
Umbreon,LV9,14,5,5,520
Umbreon,LV9,14,8,3,520
Umbreon,LV9,14,9,2,520
Umbreon,LV9,14,10,1,520
Umbreon,LV9,14,11,0,520
Umbreon,LV9,15,0,7,520
Umbreon,LV9,15,1,6,520
Umbreon,LV9,15,2,5,520
Umbreon,LV9,15,3,4,520
Umbreon,LV9,15,4,3,520
Umbreon,LV9,15,5,2,520
Umbreon,LV9,15,6,1,520
